cand,rep,t,dFdt
MMD2,0,425,2.854132132623242e-05
ED,0,425,2.826368386436611e-05
MMD2,0,430,2.5284847270478593e-05
ED,0,430,2.5016469889176267e-05
MMD2,0,435,2.2164046754521045e-05
ED,0,435,2.1905388608672207e-05
MMD2,0,440,1.9193228849154156e-05
ED,0,440,1.8944200731106365e-05
MMD2,0,445,1.6374673082024167e-05
ED,0,445,1.613486607050646e-05
MMD2,0,450,1.3703819439277366e-05
ED,0,450,1.3472654664948722e-05
MMD2,0,455,1.1172486203168283e-05
ED,0,455,1.0949308816452173e-05
MMD2,0,460,8.770830345866567e-06
ED,0,460,8.554966445197809e-06
MMD2,0,465,6.48851259765441e-06
ED,0,465,6.27930243913744e-06
MMD2,0,470,4.315364216145946e-06
ED,0,470,4.1121805880708785e-06
MMD2,0,475,2.241745305739855e-06
ED,0,475,2.0440027934202187e-06
MMD2,0,480,2.587153105700807e-07
ED,0,480,6.587406763014733e-08
MMD2,1,495,1.2636277170613605e-05
ED,1,495,1.6607596297703725e-05
MMD2,1,500,1.1115239149604841e-05
ED,1,500,1.5402116276281097e-05
MMD2,1,505,9.719515127198626e-06
ED,1,505,1.4119747258582867e-05
MMD2,1,510,8.438787979291832e-06
ED,1,510,1.2831180963262463e-05
MMD2,1,515,7.261998275205271e-06
ED,1,515,1.1576109454306386e-05
MMD2,1,520,6.178266176820877e-06
ED,1,520,1.0375175217642219e-05
MMD2,1,525,5.1773783156103685e-06
ED,1,525,9.237511242576542e-06
MMD2,1,530,4.250011889257626e-06
ED,1,530,8.165467978110183e-06
MMD2,1,535,3.387804690567079e-06
ED,1,535,7.1575513932687695e-06
MMD2,1,540,2.5833386141836223e-06
ED,1,540,6.210227861691438e-06
MMD2,1,545,1.8300779180920913e-06
ED,1,545,5.319014770606853e-06
MMD2,1,550,1.1222869539498075e-06
ED,1,550,4.479123785367271e-06
MMD2,1,555,4.5494175054012635e-07
ED,1,555,3.6858263371727147e-06
ED,1,560,2.9346486334097644e-06
ED,1,565,2.2214637533843234e-06
ED,1,570,1.5425230946033324e-06
ED,1,575,8.944533827613684e-07
ED,1,580,2.742353102542804e-07
MMD2,2,585,2.4049373533651177e-06
ED,2,585,5.9909742345783205e-06
MMD2,2,590,8.125235581343779e-07
ED,2,590,2.011176744723283e-06
MMD2,3,100,0.00021600350009119912
ED,3,100,0.0004950103155613231
MMD2,3,105,0.00013813728476807193
ED,3,105,0.00029993273505986485
MMD2,3,110,6.492751627781848e-05
ED,3,110,0.00011677517125165772
MMD2,5,480,4.40311120247826e-05
ED,5,480,4.617819377629932e-05
MMD2,5,485,3.4284904841135814e-05
ED,5,485,3.777953569434419e-05
MMD2,5,490,2.6099826251990948e-05
ED,5,490,3.041527007878519e-05
MMD2,5,495,1.9242932461218404e-05
ED,5,495,2.4026070736596254e-05
MMD2,5,500,1.3502692867899496e-05
ED,5,500,1.851594560308775e-05
MMD2,5,505,8.693679705876679e-06
ED,5,505,1.3777059124508612e-05
MMD2,5,510,4.656969215763525e-06
ED,5,510,9.703085667404363e-06
MMD2,5,515,1.258386702894028e-06
ED,5,515,6.195838971529905e-06
ED,5,520,3.1680439734137614e-06
ED,5,525,5.439682308490035e-07
ED,5,545,2.333280426420257e-06
ED,5,550,4.6381075821287036e-07
MMD2,7,75,7.476044915203007e-05
ED,7,75,0.00012156553298425652
MMD2,11,75,4.158553341489487e-06
MMD2,11,80,0.0002641235586515869
ED,11,80,0.0006467987373407381
MMD2,11,85,0.00016621782128319152
ED,11,85,0.00040062767050521057
MMD2,11,90,0.0001019057659088804
ED,11,90,0.00023686415913951487
MMD2,11,95,3.6024320668779595e-05
ED,11,95,6.822799295540167e-05
MMD2,12,75,7.253255687082489e-06
MMD2,12,110,3.292855917799055e-05
ED,12,110,7.523808226838014e-05
MMD2,12,125,3.8823036582787287e-05
ED,12,125,9.269824115104946e-05
MMD2,12,130,9.565607046689383e-05
ED,12,130,0.00023537895072828354
MMD2,12,135,3.320565259247999e-05
ED,12,135,7.973162595760469e-05
MMD2,12,140,8.84683290029122e-05
ED,12,140,0.00021829366589448107
MMD2,12,145,3.187659555329311e-05
ED,12,145,7.709033207244178e-05
MMD2,12,190,8.745204184937931e-06
ED,12,190,2.076244098993336e-05
MMD2,12,370,2.773297771904511e-05
ED,12,370,6.930586664500671e-05
MMD2,12,375,2.169067796731577e-05
ED,12,375,5.4198659424117794e-05
MMD2,12,380,1.6657070245025156e-05
ED,12,380,4.161452490945289e-05
MMD2,12,385,1.23949845775637e-05
ED,12,385,3.095994249366369e-05
MMD2,12,390,8.759440846223081e-06
ED,12,390,2.187218492916874e-05
MMD2,12,395,5.629539484135062e-06
ED,12,395,1.4048880792608121e-05
MMD2,12,400,2.9010312085764266e-06
ED,12,400,7.229330956005055e-06
MMD2,12,405,4.848782840366179e-07
ED,12,405,1.1908743673603928e-06
MMD2,13,450,4.401132007694155e-05
ED,13,450,4.383402378594219e-05
MMD2,13,455,4.0123695528929205e-05
ED,13,455,3.995534971062125e-05
MMD2,13,460,3.622489648169258e-05
ED,13,460,3.606455067865418e-05
MMD2,13,465,3.237290929039178e-05
ED,13,465,3.2219781913617476e-05
MMD2,13,470,2.8598673567164887e-05
ED,13,470,2.8452085544195806e-05
MMD2,13,475,2.4916252962537124e-05
ED,13,475,2.477559686163384e-05
MMD2,13,480,2.1329357150853754e-05
ED,13,480,2.1194081629814e-05
MMD2,13,485,1.7835495784905207e-05
ED,13,485,1.770509690486686e-05
MMD2,13,490,1.4428601792801021e-05
ED,13,490,1.4302617552934882e-05
MMD2,13,495,1.110066952540656e-05
ED,13,495,1.0978675995122915e-05
MMD2,13,500,7.842761979212078e-06
ED,13,500,7.72437027715857e-06
MMD2,13,505,4.645616380163547e-06
ED,13,505,4.530470141453592e-06
MMD2,13,510,1.4999960448187714e-06
ED,13,510,1.387769202840385e-06
MMD2,13,530,3.3453567742130435e-06
ED,13,530,3.2424500432922586e-06
MMD2,13,535,1.8488503668199778e-06
ED,13,535,1.7480328275328377e-06
MMD2,13,540,3.845559103454887e-07
ED,13,540,2.8562560654795175e-07
MMD2,14,310,1.887202380172748e-05
ED,14,310,1.8164823377271126e-05
MMD2,14,315,1.1653639250430617e-05
ED,14,315,1.0987926865822979e-05
MMD2,14,320,5.566251673382825e-06
ED,14,320,4.939065204291756e-06
MMD2,14,325,3.8786425033641845e-07
ED,15,260,2.1128615606622487e-05
ED,15,265,1.5946187062062874e-05
ED,15,270,1.1896001144947495e-05
ED,15,275,8.626852399268989e-06
ED,15,280,5.909105056872355e-06
ED,15,285,3.590518630163024e-06
ED,15,290,1.5685045796741545e-06
ED,15,330,2.8321395969284748e-06
ED,15,335,1.2795334390204737e-06
ED,15,340,1.2790004186912364e-05
ED,15,345,1.0997065785369485e-05
ED,15,350,9.378386353264598e-06
ED,15,355,7.89209506431952e-06
ED,15,360,6.509912789467324e-06
ED,15,365,5.212354686121121e-06
MMD2,15,370,1.0190134789889722e-05
ED,15,370,2.7953071677666428e-05
MMD2,15,375,9.068563210380465e-06
ED,15,375,2.6071865441522464e-05
MMD2,15,380,7.924060108927629e-06
ED,15,380,2.427702438707287e-05
MMD2,15,385,6.7821691357847375e-06
ED,15,385,2.255926826262554e-05
MMD2,15,390,5.6581553419022874e-06
ED,15,390,2.0911588554400186e-05
MMD2,15,395,4.560706174197428e-06
ED,15,395,1.9328465240379494e-05
MMD2,15,400,3.4943470959475215e-06
ED,15,400,1.7805375084043675e-05
MMD2,15,405,2.4610092040724228e-06
ED,15,405,1.6338480940269128e-05
MMD2,15,410,2.2252587308910838e-05
ED,15,410,3.569202659447056e-05
MMD2,15,415,2.0750004884824532e-05
