L,L_over_tau,rep,T_over_tau,censored
5.0,2.0,0,2.0,0
5.0,2.0,1,2.0,0
5.0,2.0,2,1.4,0
5.0,2.5,0,3.7,0
5.0,2.5,1,3.4000000000000004,0
5.0,2.5,2,2.7,0
5.0,3.0,0,7.500000000000001,0
5.0,3.0,1,6.1000000000000005,0
5.0,3.0,2,5.1000000000000005,0
5.0,3.5,0,17.1,0
5.0,3.5,1,11.200000000000003,0
5.0,3.5,2,10.200000000000001,0
5.0,4.0,0,45.9,0
5.0,4.0,1,22.3,0
5.0,4.0,2,22.3,0
5.0,4.5,0,153.1,0
5.0,4.5,1,54.2,0
5.0,4.5,2,59.2,0
5.0,5.0,0,679.5,0
5.0,5.0,1,237.4,0
5.0,5.0,2,246.4,0
8.0,2.0,0,1.2000000000000002,0
8.0,2.0,1,1.2000000000000002,0
8.0,2.0,2,0.9,0
8.0,2.5,0,2.3000000000000003,0
8.0,2.5,1,2.1000000000000005,0
8.0,2.5,2,1.7000000000000004,0
8.0,3.0,0,4.7,0
8.0,3.0,1,3.8,0
8.0,3.0,2,3.2,0
8.0,3.5,0,10.799999999999999,0
8.0,3.5,1,7.0,0
8.0,3.5,2,6.4,0
8.0,4.0,0,28.900000000000002,0
8.0,4.0,1,14.0,0
8.0,4.0,2,14.100000000000001,0
8.0,4.5,0,96.10000000000002,0
8.0,4.5,1,34.1,0
8.0,4.5,2,37.2,0
8.0,5.0,0,425.5000000000001,0
8.0,5.0,1,149.20000000000002,0
8.0,5.0,2,154.60000000000002,0
