K,d,L,arm,eta_over_tau,ED,diverged
4,1,5.0,fixed-0.1tau,0.10000000000000002,0.04536846259641214,0
4,1,5.0,fixed-0.5tau,0.5,0.00706395454772446,0
4,1,5.0,fixed-1.0tau,1.0,0.004660696112220197,0
4,1,5.0,fixed-2.0tau,2.0,0.021141459163891874,0
4,1,5.0,eta*,2.66666666664525,0.03223980748083344,0
4,2,5.0,fixed-0.1tau,0.10000000000000002,0.050290851026003835,0
4,2,5.0,fixed-0.5tau,0.5,0.054219399452866135,0
4,2,5.0,fixed-1.0tau,1.0,0.06000369574485287,0
4,2,5.0,fixed-2.0tau,2.0,0.05470397542475203,0
4,2,5.0,eta*,2.7210542986283,0.0750763450572256,0
