K,d,L,arm,ED,coverage,mass_err,steps_to_tol
4,1,5.0,single-fine,0.17545089167671613,1.0,0.3375,30
4,1,5.0,single-L,0.029250610713109637,1.0,0.025000000000000022,10
4,1,5.0,paper-multi,0.11268641800185408,1.0,0.26249999999999996,30
4,1,5.0,ladder-eq,0.057218899842225834,1.0,0.2,20
4,1,5.0,anneal,0.005499912949640251,1.0,0.012500000000000011,10
4,1,5.0,single-best,0.006366294308705722,1.0,0.012500000000000011,20
4,2,5.0,single-fine,0.26809535013380037,1.0,0.3,5039
4,2,5.0,single-L,0.021039315908092604,1.0,0.06250000000000001,20
4,2,5.0,paper-multi,0.2261988107632571,1.0,0.2875,5049
4,2,5.0,ladder-eq,0.19675166635825603,1.0,0.2875,5039
4,2,5.0,anneal,0.030592391278985165,1.0,0.06250000000000001,20
4,2,5.0,single-best,0.010599113600060939,1.0,0.05000000000000002,20
8,2,5.0,single-fine,0.10410932330915035,1.0,0.19999999999999998,60
8,2,5.0,single-L,0.021193895275328334,1.0,0.2,20
8,2,5.0,paper-multi,0.07515747920484328,1.0,0.1875,70
8,2,5.0,ladder-eq,0.04593497708101468,1.0,0.3125,50
8,2,5.0,anneal,0.015371579732006424,1.0,0.04375000000000002,20
8,2,5.0,single-best,0.009508869065103731,1.0,0.05000000000000004,20
4,5,5.0,single-fine,0.10673963771613959,1.0,0.1875,60
4,5,5.0,single-L,0.02317188639975365,1.0,0.025000000000000022,20
4,5,5.0,paper-multi,0.09336033969080937,1.0,0.16250000000000003,80
4,5,5.0,ladder-eq,0.07822257887814432,1.0,0.125,60
4,5,5.0,anneal,0.06855261807320367,1.0,0.050000000000000044,20
4,5,5.0,single-best,0.02317188639975365,1.0,0.025000000000000022,20
