K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau
4,1,fine-common,bandwidth-only,0,80,0.015182788278753412,1.0,0.25,1,0,245760,0.04774951934814453,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,fine-common,bandwidth-only,1,80,0.01290644129176366,1.0,0.25,1,0,245760,0.04732346534729004,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,coarse-common,bandwidth-only,0,80,0.011173465370453606,1.0,0.1875,1,0,245760,0.04833173751831055,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,coarse-common,bandwidth-only,1,80,0.01398047564999283,1.0,0.0625,1,0,245760,0.045752763748168945,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,average-common,bandwidth-only/equal-compute,0,40,0.010694642544244903,1.0,0.1875,1,0,245760,0.025714874267578125,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,average-common,bandwidth-only/equal-compute,1,40,0.013014161061468466,1.0,0.1875,1,0,245760,0.025987863540649414,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.020013801151217647,1.0,0.25,1,0,239616,0.017189502716064453,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.02188093089831389,1.0,0.25,1,0,239616,0.01726365089416504,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-oracle-common,bandwidth-only,0,80,0.0061285988774242295,1.0,0.1875,1,0,245760,0.04729413986206055,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-oracle-common,bandwidth-only,1,80,0.004313403553246609,1.0,0.125,1,0,245760,0.04930448532104492,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-estimated-common,bandwidth-only,0,80,0.006125774905786141,1.0,0.1875,1,0,245760,0.04553627967834473,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-estimated-common,bandwidth-only,1,80,0.004310186657510151,1.0,0.125,1,0,245760,0.046547651290893555,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,oracle-grid-common,held-out oracle,0,80,0.01049942671510995,1.0,0.1875,1,0,245760,0.048453330993652344,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,oracle-grid-common,held-out oracle,1,80,0.013007174036760327,1.0,0.0625,1,0,245760,0.05658411979675293,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,fine-joint,joint policy,0,80,0.024055895472796962,1.0,0.25,1,0,245760,0.04923081398010254,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,fine-joint,joint policy,1,80,0.029558200294491632,1.0,0.25,1,0,245760,0.053435564041137695,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,coarse-joint,joint policy,0,80,0.0089925613620645,1.0,0.125,1,0,245760,0.04835176467895508,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,coarse-joint,joint policy,1,80,0.008597166260133848,1.0,0.0625,1,0,245760,0.047976016998291016,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-oracle-joint,joint policy,0,80,0.009302676581892433,1.0,0.1875,1,0,245760,0.047815799713134766,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-oracle-joint,joint policy,1,80,0.010176083502276834,1.0,0.125,1,0,245760,0.046521663665771484,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-estimated-joint,joint policy,0,80,0.009295541607938329,1.0,0.1875,1,0,245760,0.04606819152832031,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,1,anneal-estimated-joint,joint policy,1,80,0.01016042185609245,1.0,0.125,1,0,245760,0.0470881462097168,0.9974251512693397,0.15073090844360845,0.9198563452759556
4,2,fine-common,bandwidth-only,0,80,0.11574479485293643,1.0,0.5,80,1,245760,0.13688898086547852,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,fine-common,bandwidth-only,1,80,0.08502808358672498,1.0,0.4375,80,1,245760,0.13610029220581055,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,coarse-common,bandwidth-only,0,80,0.029990755102927036,1.0,0.1875,43,0,245760,0.13344240188598633,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,coarse-common,bandwidth-only,1,80,0.02299226346131511,1.0,0.0625,48,0,245760,0.1330723762512207,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,average-common,bandwidth-only/equal-compute,0,40,0.06527924664146423,1.0,0.4375,39,0,245760,0.07385373115539551,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,average-common,bandwidth-only/equal-compute,1,40,0.054353667395233396,1.0,0.375,40,1,245760,0.07335257530212402,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.15068383419985687,1.0,0.5,26,1,239616,0.05070018768310547,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.11821660656071153,1.0,0.4375,26,1,239616,0.06056857109069824,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-oracle-common,bandwidth-only,0,80,0.037210738249330744,1.0,0.25,31,0,245760,0.13353919982910156,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-oracle-common,bandwidth-only,1,80,0.02905037466118887,1.0,0.3125,36,0,245760,0.13936209678649902,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-estimated-common,bandwidth-only,0,80,0.03721090068236055,1.0,0.25,31,0,245760,0.13469243049621582,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-estimated-common,bandwidth-only,1,80,0.02905013909826215,1.0,0.3125,36,0,245760,0.13296914100646973,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,oracle-grid-common,held-out oracle,0,80,0.019239532446605923,1.0,0.25,33,0,245760,0.13544845581054688,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,oracle-grid-common,held-out oracle,1,80,0.013186731947798624,1.0,0.1875,37,0,245760,0.13586735725402832,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,fine-joint,joint policy,0,80,0.20978369103306238,1.0,0.5,80,1,245760,0.13631272315979004,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,fine-joint,joint policy,1,80,0.19071492261729017,1.0,0.4375,80,1,245760,0.13722729682922363,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,coarse-joint,joint policy,0,80,0.020224185926214555,1.0,0.125,21,0,245760,0.13262057304382324,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,coarse-joint,joint policy,1,80,0.014701074050423979,1.0,0.0625,24,0,245760,0.13504624366760254,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-oracle-joint,joint policy,0,80,0.03742216300867951,1.0,0.25,27,0,245760,0.13609623908996582,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-oracle-joint,joint policy,1,80,0.028847920340814737,1.0,0.3125,39,0,245760,0.13176250457763672,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-estimated-joint,joint policy,0,80,0.0374341623807779,1.0,0.25,27,0,245760,0.1359398365020752,0.9994804883783404,0.1500990749274625,0.34592146172399046
4,2,anneal-estimated-joint,joint policy,1,80,0.028852866627813833,1.0,0.3125,39,0,245760,0.13631391525268555,0.9994804883783404,0.1500990749274625,0.34592146172399046
8,2,fine-common,bandwidth-only,0,80,0.02530767135736567,0.75,0.34375,1,0,655360,0.15988492965698242,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,fine-common,bandwidth-only,1,80,0.017914172394494665,1.0,0.21875,12,0,655360,0.16099262237548828,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,coarse-common,bandwidth-only,0,80,0.023795941192156222,1.0,0.1875,1,0,655360,0.1624131202697754,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,coarse-common,bandwidth-only,1,80,0.0263373279857273,1.0,0.125,30,0,655360,0.1595442295074463,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,average-common,bandwidth-only/equal-compute,0,40,0.02216620952000503,0.875,0.28125,1,0,655360,0.0926961898803711,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,average-common,bandwidth-only/equal-compute,1,40,0.022394328804974162,1.0,0.1875,17,0,655360,0.09159159660339355,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.024849292409933943,0.875,0.3125,1,0,638976,0.06964492797851562,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.023473617947430858,1.0,0.21875,12,0,638976,0.06904268264770508,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-oracle-common,bandwidth-only,0,80,0.01730639396204081,0.875,0.25,1,0,655360,0.16637611389160156,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-oracle-common,bandwidth-only,1,80,0.012096760752614566,1.0,0.1875,20,0,655360,0.16019654273986816,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-estimated-common,bandwidth-only,0,80,0.017343379285674088,0.875,0.25,1,0,655360,0.1569516658782959,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-estimated-common,bandwidth-only,1,80,0.012078239463415796,1.0,0.1875,20,0,655360,0.15801334381103516,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,oracle-grid-common,held-out oracle,0,80,0.013476304084674595,1.0,0.15625,1,0,655360,0.16005611419677734,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,oracle-grid-common,held-out oracle,1,80,0.010705162611104324,1.0,0.0625,12,0,655360,0.16054630279541016,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,fine-joint,joint policy,0,80,0.03199365507775975,0.75,0.34375,1,0,655360,0.16115427017211914,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,fine-joint,joint policy,1,80,0.0369979532641167,1.0,0.21875,73,0,655360,0.15964055061340332,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,coarse-joint,joint policy,0,80,0.017679978261684104,1.0,0.09375,1,0,655360,0.16025924682617188,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,coarse-joint,joint policy,1,80,0.017484568901036557,1.0,0.09375,17,0,655360,0.1614384651184082,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-oracle-joint,joint policy,0,80,0.01667776831420653,0.875,0.25,1,0,655360,0.16263675689697266,0.9872945114841596,0.14976980408150603,0.34592146172399046
