K,d,tau_regime,arm,seed,eta,eta_over_tau,eta_star,final_ED2,coverage,mass_error,event_time,censored,diverged,kernel_pairs,wall_seconds
4,1,sigma,fixed-0.1tau,0,0.015,0.1,2.217985495746046,0.031726627762479476,1.0,0.33333333333333337,1,0,0,211200,0.0559391975402832
4,1,sigma,fixed-0.1tau,1,0.015,0.1,2.217985495746046,0.0515729751067624,1.0,0.25,100,1,0,211200,0.05579733848571777
4,1,sigma,fixed-0.5tau,0,0.075,0.5,2.217985495746046,0.027530772874270637,1.0,0.33333333333333337,1,0,0,211200,0.054944515228271484
4,1,sigma,fixed-0.5tau,1,0.075,0.5,2.217985495746046,0.04690889661420772,1.0,0.25,25,0,0,211200,0.05626845359802246
4,1,sigma,fixed-1.0tau,0,0.15,1.0,2.217985495746046,0.0274590092478737,1.0,0.33333333333333337,1,0,0,211200,0.05810213088989258
4,1,sigma,fixed-1.0tau,1,0.15,1.0,2.217985495746046,0.04852671734976122,1.0,0.25,15,0,0,211200,0.0571596622467041
4,1,sigma,0.1-eta-star,0,0.22179854957460463,1.4786569971640309,2.217985495746046,0.02736200306271397,1.0,0.33333333333333337,1,0,0,211200,0.06324219703674316
4,1,sigma,0.1-eta-star,1,0.22179854957460463,1.4786569971640309,2.217985495746046,0.04944611428891066,1.0,0.25,11,0,0,211200,0.056055545806884766
4,1,sigma,0.25-eta-star,0,0.5544963739365115,3.696642492910077,2.217985495746046,0.02020608502206822,1.0,0.25,1,0,0,211200,0.05973625183105469
4,1,sigma,0.25-eta-star,1,0.5544963739365115,3.696642492910077,2.217985495746046,0.05186314515500068,1.0,0.25,3,0,0,211200,0.05967855453491211
4,1,sigma,0.5-eta-star,0,1.108992747873023,7.393284985820154,2.217985495746046,0.021944951558743986,1.0,0.25,1,0,0,211200,0.06079840660095215
4,1,sigma,0.5-eta-star,1,1.108992747873023,7.393284985820154,2.217985495746046,0.05393317652326668,1.0,0.25,1,0,0,211200,0.0601506233215332
4,1,sigma,eta-star-boundary,0,2.217985495746046,14.786569971640308,2.217985495746046,0.027075829965035325,1.0,0.25,1,0,0,211200,0.05687594413757324
4,1,sigma,eta-star-boundary,1,2.217985495746046,14.786569971640308,2.217985495746046,0.03856029768216129,1.0,0.16666666666666666,5,0,0,211200,0.05487418174743652
4,1,L,fixed-0.1tau,0,0.1,0.1,3.502132884624106,0.015279766387405802,1.0,0.08333333333333334,1,0,0,211200,0.05733823776245117
4,1,L,fixed-0.1tau,1,0.1,0.1,3.502132884624106,0.007455583773798402,1.0,0.08333333333333334,7,0,0,211200,0.0559389591217041
4,1,L,fixed-0.5tau,0,0.5,0.5,3.502132884624106,0.010106201310032592,1.0,0.08333333333333334,1,0,0,211200,0.05505084991455078
4,1,L,fixed-0.5tau,1,0.5,0.5,3.502132884624106,0.01059596051555367,1.0,0.0,1,0,0,211200,0.057813405990600586
4,1,L,fixed-1.0tau,0,1.0,1.0,3.502132884624106,0.013103250337807237,1.0,0.08333333333333334,1,0,0,211200,0.05640530586242676
4,1,L,fixed-1.0tau,1,1.0,1.0,3.502132884624106,0.024594940256159603,1.0,0.0,1,0,0,211200,0.0612177848815918
4,1,L,0.1-eta-star,0,0.3502132884624106,0.3502132884624106,3.502132884624106,0.010833697613672921,1.0,0.08333333333333334,1,0,0,211200,0.07290196418762207
4,1,L,0.1-eta-star,1,0.3502132884624106,0.3502132884624106,3.502132884624106,0.0074813064986400946,1.0,0.0,2,0,0,211200,0.05646681785583496
4,1,L,0.25-eta-star,0,0.8755332211560265,0.8755332211560265,3.502132884624106,0.011414967890780225,1.0,0.08333333333333334,1,0,0,211200,0.05714893341064453
4,1,L,0.25-eta-star,1,0.8755332211560265,0.8755332211560265,3.502132884624106,0.021392197786911593,1.0,0.0,1,0,0,211200,0.0568394660949707
4,1,L,0.5-eta-star,0,1.751066442312053,1.751066442312053,3.502132884624106,0.038898497013234,1.0,0.08333333333333334,1,0,0,211200,0.057199954986572266
4,1,L,0.5-eta-star,1,1.751066442312053,1.751066442312053,3.502132884624106,0.04297892697450645,1.0,0.08333333333333334,1,0,0,211200,0.055979013442993164
4,1,L,eta-star-boundary,0,3.502132884624106,3.502132884624106,3.502132884624106,0.18479421689991415,0.75,0.33333333333333337,4,0,0,211200,0.05635857582092285
4,1,L,eta-star-boundary,1,3.502132884624106,3.502132884624106,3.502132884624106,0.10392744301494838,1.0,0.41666666666666663,3,0,0,211200,0.05917835235595703
4,2,sigma,fixed-0.1tau,0,0.015,0.1,2.0321040394531176,0.022789644882885263,1.0,0.1666666666666667,12,0,0,211200,0.16326355934143066
4,2,sigma,fixed-0.1tau,1,0.015,0.1,2.0321040394531176,0.043735553653099335,1.0,0.16666666666666666,90,0,0,211200,0.15912914276123047
4,2,sigma,fixed-0.5tau,0,0.075,0.5,2.0321040394531176,0.013765934615208697,1.0,0.16666666666666669,3,0,0,211200,0.15843844413757324
4,2,sigma,fixed-0.5tau,1,0.075,0.5,2.0321040394531176,0.008102093820091527,1.0,0.08333333333333334,17,0,0,211200,0.16042065620422363
4,2,sigma,fixed-1.0tau,0,0.15,1.0,2.0321040394531176,0.016929943175086004,1.0,0.1666666666666667,2,0,0,211200,0.1599569320678711
4,2,sigma,fixed-1.0tau,1,0.15,1.0,2.0321040394531176,0.007793470583389861,1.0,0.08333333333333334,8,0,0,211200,0.15950345993041992
4,2,sigma,0.1-eta-star,0,0.20321040394531176,1.3547360263020785,2.0321040394531176,0.01718842151269484,1.0,0.1666666666666667,1,0,0,211200,0.15864348411560059
4,2,sigma,0.1-eta-star,1,0.20321040394531176,1.3547360263020785,2.0321040394531176,0.007737212325882203,1.0,0.08333333333333334,6,0,0,211200,0.1613636016845703
4,2,sigma,0.25-eta-star,0,0.5080260098632794,3.3868400657551962,2.0321040394531176,0.017812914675256253,1.0,0.1666666666666667,1,0,0,211200,0.15898489952087402
