target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,snis,1,4,16,False,0,2000,0.1100075672875297,0.75,0.5,0.01672529651290418,0.01333943342632743,0.8370012896988215,0,160000,2.9037368297576904
equal,snis,1,4,16,False,1,2000,0.15995929347080085,0.5,1.0,0.014990613199363477,0.13471914640531454,0.7603715118856392,0,160000,3.003265619277954
equal,snis,1,4,16,False,2,2000,0.2182241794721772,0.75,0.5,0.011209753853570599,-0.014381397797241346,0.6753712235747544,0,160000,2.8212811946868896
equal,snis,1,4,16,False,3,2000,0.16435811205515793,0.75,0.5,0.015576164471263095,0.15021891920350702,0.7482707823891008,0,160000,2.814274787902832
equal,snis,1,4,16,False,4,2000,0.13639929419231656,0.75,0.5,0.01915703294503994,0.03805703288258566,0.7548340494733324,0,160000,2.8065998554229736
equal,snis,1,4,16,False,5,2000,0.15055649790740178,0.75,0.5,0.01210064698051261,0.13100312834090616,0.7088619923125451,0,160000,2.7852444648742676
equal,snis,1,4,16,True,0,400,3.2973806656194404,1.0,0.0,0.82948286141055,0.05236246004776317,nan,0,32000,0.5763123035430908
equal,snis,1,4,16,True,1,400,2.9912176721506394,1.0,0.0,0.7348792185059743,0.2559231895894984,nan,0,32000,0.566556453704834
equal,snis,1,4,16,True,2,400,2.7349530559479045,1.0,0.0,0.6536240044816068,0.4478769133360945,nan,0,32000,0.5718832015991211
equal,snis,1,4,16,True,3,400,3.601212133973792,1.0,0.0,0.8301839099126256,0.043412408063370295,nan,0,32000,0.5752382278442383
equal,snis,1,4,16,True,4,400,2.5473247530099994,1.0,0.0,0.7873436295507448,0.11556781938499344,nan,0,32000,0.5657322406768799
equal,snis,1,4,16,True,5,400,3.696600774145883,1.0,0.0,0.8389832028520207,0.05564052913221639,nan,0,32000,0.577444314956665
equal,snis,1,4,64,False,0,2000,0.4092214652384868,0.5,1.0,0.007516761387517887,0.03728470076900267,0.8722757813866993,0,544000,2.789687156677246
equal,snis,1,4,64,False,1,2000,0.13501952889464086,0.75,0.5,0.013847438688064127,0.053332612987953,0.6752839328709134,0,544000,2.793321371078491
equal,snis,1,4,64,False,2,2000,0.16278379637351914,0.75,0.5,0.004491370683747128,-0.029310903572742464,0.6705832416970007,0,544000,2.798495292663574
equal,snis,1,4,64,False,3,2000,0.43098350515845374,0.5,1.0,0.012993393778389246,0.046156542859825844,0.6969199975862114,0,544000,2.7966201305389404
