arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.0047112574531935625,0.057503484855676225,0.19116115372160347,0.9992895126342773,1.078028214354685,1.0,0.185546875,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.18630959999427432,0.0,0.0,0.0,0.16814469862729312
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.0040465201935464545,0.052420608261291975,0.17856970342245507,0.9913226962089539,1.075963832166229,1.0,0.1826171875,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.17580530000122963,0.0,0.0,0.0,0.16460083331912756
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006814913025200431,0.06895145410124606,0.20112381324884193,1.0113742351531982,1.0738849532312797,1.0,0.1923828125,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.43775129999994533,0.25,0.25,6.647240188113798,0.18648366928100585
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006382373777056527,0.06598132346618825,0.19867324069605782,1.0066020488739014,1.074572269051515,1.0,0.1943359375,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.43172950000007404,0.25,0.25,6.569830914928611,0.1840490099042654
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006382373777056527,0.06598132346618825,0.19867324069605782,1.0066020488739014,1.074572269051515,1.0,0.1943359375,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.5085093000016059,0.25,0.25,6.569830914928611,0.1840490099042654
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.009634511291294334,0.10608662426823177,0.23852272393678614,0.8677858710289001,1.7042878083010622,1.0,0.017968750000000047,0.008984375000000003,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.17032119999930728,0.0,0.0,0.0,0.20945865474641323
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.017113445492323187,0.1244827795233056,0.19553448794268585,0.9522808194160461,1.5563125575852907,1.0,0.007421874999999953,0.0037109374999999972,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.17543809999915538,0.0,0.0,0.0,0.2126430317759514
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014622445625167568,0.1259983811531813,0.28862417871032264,0.8357577919960022,1.7585393405966336,1.0,0.027734375000000047,0.013867187500000003,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.4255858999968041,0.25,0.25,7.017149393607383,0.23215462490916253
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.012926513464652789,0.11831102432482414,0.2757631465473494,0.8456937670707703,1.738929028494174,1.0,0.024804687500000047,0.012402343750000003,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.41781889999401756,0.25,0.25,6.778769727758892,0.22885835766792298
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.012926513464652789,0.11831102432482414,0.2757631465473494,0.8456937670707703,1.738929028494174,1.0,0.024804687500000047,0.012402343750000003,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.49795979999908013,0.25,0.25,6.778769727758892,0.22885835766792298
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009566596367028168,0.08064323853715699,0.11339468903608017,0.9219385981559753,1.1253672678338127,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.1752219999980298,0.0,0.0,0.0,0.16906777992844582
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.010433315516624297,0.09124048639227943,0.11422547243237438,0.9791666269302368,1.1238419417255283,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.16999719999876106,0.0,0.0,0.0,0.1818655665963888
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.006647404109391797,0.06419939224688183,0.09842923434946751,0.9140476584434509,1.1196549501559392,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.44454810000024736,0.25,0.25,8.530518910556145,0.19860336408019066
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005432704289588752,0.05685691495324101,0.08548025680327562,0.9174275398254395,1.132430540240398,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.45271320000028936,0.25,0.25,9.249033246855976,0.2121770888566971
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005432704289588752,0.05685691495324101,0.08548025680327562,0.9174275398254395,1.132430540240398,nan,nan,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.5134620000026189,0.25,0.25,9.249033246855976,0.2121770888566971
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0025127612330222426,0.04501414173576717,0.09740467516044077,1.0059893131256104,1.920180524703449,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.1722927000009804,0.0,0.0,0.0,0.15968837719410658
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.006743843086534973,0.06090759430748876,0.10965732417772459,1.0119587182998657,1.888151968660584,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.1738779999941471,0.0,0.0,0.0,0.16606212239712476
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.023147772042692694,0.10770571728888283,0.1445292401134778,1.0348707437515259,1.9080129089528228,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.44004169999971054,0.25,0.25,5.354139634833322,0.18302689623087645
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.022173002994005042,0.10568514893576311,0.1409909700245019,1.0361230373382568,1.9136543246179645,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.4306817000033334,0.25,0.25,5.473086608456056,0.18644039817154406
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.022173002994005042,0.10568514893576311,0.1409909700245019,1.0361230373382568,1.9136543246179645,nan,nan,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.5386866999979247,0.25,0.25,5.473086608456056,0.18644039817154406
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021374783218291782,0.10485669929314179,0.13399604879577262,1.0006465911865234,2.5523865383113176,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0.18499789999623317,0.0,0.0,0.0,0.18449609652161597
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021638552607036843,0.10567743899549566,0.1346238276058158,1.0022132396697998,2.5547303153662666,1.0,0.021484375,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0.17660289999912493,0.0,0.0,0.0,0.18419975005090236
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01706702402607707,0.09364308699228853,0.12355798618010932,0.997860848903656,2.587549092969912,1.0,0.0048828125,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,68608,0,0.4694182000021101,0.25,0.25,3.678052132121188,0.2100992277264595
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.5561757015747395,2.5704038406153518,0.016999798262300914,0.09342658276497501,0.12315644429714408,0.9969843626022339,2.591069441867734,1.0,0.005859375,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0.4109327000041958,0.25,0.25,3.6751448754725202,0.2096435073763132
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.5561757015747395,2.5704038406153518,0.016999798262300914,0.09342658276497501,0.12315644429714408,0.9969843626022339,2.591069441867734,1.0,0.005859375,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,68608,98048,0.5144968000022345,0.25,0.25,3.6751448754725202,0.2096435073763132
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.007376240953143043,0.06830127157532719,0.12126643634943533,1.0036829710006714,2.83653693990269,1.0,0.025976562499999953,0.012988281249999997,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0.17065700000239303,0.0,0.0,0.0,0.20420979149639606
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.009651978431198582,0.07649048118221072,0.12603488478748512,1.0069546699523926,2.839534156989969,1.0,0.026953124999999953,0.013476562499999997,160,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0.1760560999973677,0.0,0.0,0.0,0.20444838069379329
