arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.25795373866925386,0.4009518975107712,0.5860576231764748,0.5157780647277832,1.4706745202556386,0.75,0.5703125,nan,16,1024,2048,32,2048,2048,262144,2031616.0,0,34304,0,0.0179846999963047,0.0,0.0,0.0,0.5369254797697067
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.25847622034189044,0.40113125937798966,0.5845748785281686,0.5182151198387146,1.4738221137859546,0.75,0.56640625,nan,16,1024,2048,32,2048,2048,262144,589824.0,0,34304,72960,0.01819249999971362,0.0,0.0,0.0,0.5384791493415833
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18858900964166425,0.3389830673207696,0.571703249837342,0.581899106502533,1.337168191396511,0.5,0.53515625,nan,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,34304,0,0.04882560000260128,0.25,0.25,7.950160064784894,0.5875087678432465
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18905252060451172,0.3404602774580268,0.5701454392334357,0.584299623966217,1.3334944861002473,0.75,0.52734375,nan,16,1024,2048,32,2048,3072,262144,589824.0,1048576,34304,72960,0.043939699993643444,0.25,0.25,7.930179111972342,0.5886098742485046
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.20457099567344672,0.3538808058782848,0.5681603979540202,0.564746618270874,1.4120823339530524,0.75,0.55859375,nan,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,34304,72960,0.052772700000787154,0.125,0.0,6.883604917394782,0.5702156722545624
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0674624015330001,0.2146550183678224,0.506970448718478,0.7056624293327332,3.3156045162328582,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,2031616.0,0,35328,0,0.021605399997497443,0.0,0.0,0.0,0.7490766644477844
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06726283638336783,0.2137439855877963,0.5068259054402793,0.7074147462844849,3.30328466661916,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,589824.0,0,35328,72960,0.01810249999834923,0.0,0.0,0.0,0.7493513822555542
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.058070228973762905,0.19646870597446325,0.46432901003246047,0.796012282371521,3.1742148542689375,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,35328,0,0.041957899993576575,0.25,0.25,19.27988115221555,0.8445513248443604
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.057328654023827585,0.19533342697518674,0.46368171809646425,0.7965735197067261,3.1960781370998914,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,589824.0,1048576,35328,72960,0.04886589999659918,0.25,0.25,19.35014462210338,0.8455601036548615
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05741152684378692,0.19332875559645948,0.4867545327503025,0.7702215909957886,3.332999432879352,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,35328,72960,0.06137940000189701,0.125,0.0,18.367948569872567,0.7933675348758698
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.3208946893756642,8.81419112995982,0.06684160296243213,0.16174329967130832,0.2790539707891212,0.7716968655586243,5.998159401940151,nan,nan,nan,16,1024,2048,32,2048,2048,262144,2031616.0,0,37376,0,0.01760640000429703,0.0,0.0,0.0,0.9808250665664673
