arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,16,64,64,3,3,3.8960485534231983,1.45194654838736,0.22873376529798595,0.37530300756195173,0.5617527936513724,0.5534881949424744,1.3496792658660013,0.75,0.5390625,nan,16,1024,2048,32,2048,2048,147456,1589248.0,64,16,16,16.0,0,1,0,34304,0,0.014161000006424729,0.0,0.0,0.0,0.5431516170501709
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,16,64,64,3,3,3.8960485534231983,1.45194654838736,0.22894201667181724,0.3753573889030163,0.5614908376662879,0.5531619787216187,1.3529074262827454,0.75,0.53515625,nan,16,1024,2048,32,2048,2048,147456,147456.0,64,16,16,16.0,0,1,0,34304,72960,0.01387830000021495,0.0,0.0,0.0,0.5442016124725342
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,16,64,64,3,3,3.8960485534231983,1.45194654838736,0.17823858104880363,0.33565736644283767,0.5482995230779758,0.6246587634086609,1.3241819629499894,0.75,0.5390625,nan,16,1024,2048,32,2048,3072,147456,1589248.0,64,16,16,16.0,0,1,1048576,34304,0,0.024510299997928087,0.25,0.25,8.037292963210726,0.5945063233375549
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,16,64,64,3,3,3.8960485534231983,1.45194654838736,0.17804642307123286,0.3354142059331821,0.5475147853506572,0.6254339814186096,1.325001420323787,0.75,0.53125,nan,16,1024,2048,32,2048,3072,147456,147456.0,64,16,16,16.0,0,1,1048576,34304,72960,0.023102200000721496,0.25,0.25,8.032722318894056,0.5951586365699768
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,16,64,64,3,3,3.8960485534231983,1.45194654838736,0.1867690327256022,0.3414676071718557,0.5482655075130012,0.6033610701560974,1.3312794376040724,0.75,0.5234375,nan,16,1024,2048,32,2048,3072,245760,294912.0,64,16,16,16.0,0,1,1048576,34304,72960,0.023414700001012534,0.125,0.0,6.9967419360057175,0.5770379304885864
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,16,64,64,10,10,1.7834038959718805,2.2429019074336867,0.07026747886082108,0.21620225907703,0.505470975459663,0.7063038349151611,3.0836057249994884,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,147456,1589248.0,64,16,16,16.0,0,1,0,35328,0,0.014237199997296557,0.0,0.0,0.0,0.7636491060256958
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,16,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06874766388868503,0.2147543301572878,0.5016556746640599,0.7126175761222839,3.0918100874023775,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,147456,147456.0,64,16,16,16.0,0,1,0,35328,72960,0.014330099998915102,0.0,0.0,0.0,0.7687804698944092
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,16,64,64,10,10,1.7834038959718805,2.2429019074336867,0.060297962878034905,0.19825556463927912,0.465551551692662,0.7964385151863098,2.8906327128133644,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,147456,1589248.0,64,16,16,16.0,0,1,1048576,35328,0,0.021154300004127435,0.25,0.25,19.802265545112306,0.8612591028213501
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,16,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06066661607571744,0.19941806494619757,0.4630397003031972,0.8027822375297546,2.889868986322242,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,147456,147456.0,64,16,16,16.0,0,1,1048576,35328,72960,0.020082700000784826,0.25,0.25,19.943993935204706,0.8664277493953705
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,16,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05893182665621888,0.19550191520597204,0.4816554907691644,0.7754212021827698,3.1331772450748114,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,245760,294912.0,64,16,16,16.0,0,1,1048576,35328,72960,0.034747300000162795,0.125,0.0,18.939147900045906,0.8134259283542633
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,16,64,64,36,36,0.3208946893756642,8.81419112995982,0.06896672187334385,0.16352034359752796,0.28193980196127016,0.7753663063049316,5.67875384436637,nan,nan,nan,16,1024,2048,32,2048,2048,147456,1589248.0,64,16,16,16.0,0,1,0,37376,0,0.014432999996643048,0.0,0.0,0.0,1.0050656497478485
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,16,64,64,36,36,0.3208946893756642,8.81419112995982,0.06947475317921725,0.16353633199882575,0.2818216153899494,0.7759379744529724,5.685367234324774,nan,nan,nan,16,1024,2048,32,2048,2048,147456,147456.0,64,16,16,16.0,0,1,0,37376,72960,0.013773200000287034,0.0,0.0,0.0,1.0063598155975342
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,16,64,64,36,36,0.3208946893756642,8.81419112995982,0.06817363764397832,0.1608358109110448,0.27083452588143014,0.8067610859870911,5.459012219813406,nan,nan,nan,16,1024,2048,32,2048,3072,147456,1589248.0,64,16,16,16.0,0,1,1048576,37376,0,0.021641400002408773,0.25,0.25,50.44807001241573,1.1061252653598785
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,16,64,64,36,36,0.3208946893756642,8.81419112995982,0.06765095357343842,0.15982139748972513,0.2716950283676689,0.8049289584159851,5.453781361880441,nan,nan,nan,16,1024,2048,32,2048,3072,147456,147456.0,64,16,16,16.0,0,1,1048576,37376,72960,0.023589099997479934,0.25,0.25,50.511365548548945,1.1088304221630096
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,16,64,64,36,36,0.3208946893756642,8.81419112995982,0.06765095357343842,0.15982139748972513,0.2716950283676689,0.8049289584159851,5.453781361880441,nan,nan,nan,16,1024,2048,32,2048,3072,245760,294912.0,64,16,16,16.0,0,1,1048576,37376,72960,0.027362799999536946,0.25,0.25,50.511365548548945,1.1088304221630096
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,16,64,192,136,136,0.18133241385215962,19.103598422078235,0.08831836993204778,0.15388804534314326,0.2475967941338221,0.8511079549789429,8.285495335299732,nan,nan,nan,16,1024,2048,32,2048,2048,409600,4472832.0,192,16,16,16.0,0,1,0,123392,0,0.015416300004289951,0.0,0.0,0.0,1.4481576085090637
