arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,67584,0,0.14517580000392627,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.8960485534231983,1.45194654838736,0.006388390413691658,0.06810176458711034,0.20874817476806523,1.0080281496047974,1.0850039329263554,1.0,0.21484375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,67584,98048,0.15439619999960996,0.0,0.0,0.0,0.16715143173933028
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.8960485534231983,1.45194654838736,0.006547545904036722,0.06837461569738539,0.2012866832082782,1.0119013786315918,1.077101775724741,1.0,0.1982421875,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,10485760,67584,0,0.22766309999860823,0.25,0.25,7.3505768025845,0.18807915449142457
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.8960485534231983,1.45194654838736,0.006590307197071654,0.06938062686623221,0.20895969736779274,1.0158780813217163,1.0735890233374623,1.0,0.18359375,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,10485760,67584,98048,0.2301764000003459,0.25,0.25,7.161712841002327,0.1855062000453472
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.8960485534231983,1.45194654838736,0.0053829424680682525,0.06195206576541922,0.1874429919030617,0.998691737651825,1.0834767090922766,1.0,0.19140625,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,89617038,32,16,10485760,67584,98048,0.2612176000038744,0.195,0.0,7.058373900024404,0.18548272103071212
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,67584,0,0.14765840000472963,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.7872162686682413,1.4936707724593687,0.018024911088749374,0.12814630660527648,0.20328473975955974,0.9470359683036804,1.5327733747689654,1.0,0.0013671875000000472,0.0006835937500000028,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,67584,98048,0.14590850000240607,0.0,0.0,0.0,0.21667370870709418
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014394765357264472,0.12994656655916983,0.3049717313083477,0.8172218799591064,1.812544394255703,1.0,0.03164062500000005,0.015820312500000003,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,10485760,67584,0,0.20746430000144755,0.25,0.25,6.912135079471362,0.23129927664995192
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.7872162686682413,1.4936707724593687,0.011095593146344118,0.11460785023822452,0.2776026361124061,0.835394561290741,1.7585392268888747,1.0,0.029687500000000047,0.014843750000000003,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,10485760,67584,98048,0.21488790000148583,0.25,0.25,6.822279440867177,0.22958868816494943
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.7872162686682413,1.4936707724593687,0.004689178589488918,0.07402653254910456,0.2411714509523612,0.878669023513794,1.689019202112653,1.0,0.020898437500000047,0.010449218750000003,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1357488167,32,16,10485760,67584,98048,0.2626607000056538,0.2,0.0,6.467645027337506,0.23095556050539018
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,67584,0,0.1499785999985761,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008998481042102213,0.08625386989992422,0.1081674344916001,0.9841355681419373,1.116225119104137,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,67584,98048,0.1437586999963969,0.0,0.0,0.0,0.18513887599110604
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008996429585637067,0.0744483292157967,0.1094496342368064,0.914716899394989,1.1099338761705926,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,10485760,67584,0,0.20806009999796515,0.25,0.25,8.439390564136605,0.19933165423572063
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0058019800085094,0.06305639330805671,0.08945553834971537,0.9393085241317749,1.1214253342336198,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,10485760,67584,98048,0.2029508000050555,0.25,0.25,9.234048596057848,0.21744738407433034
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0058019800085094,0.06305639330805671,0.08945553834971537,0.9393085241317749,1.1214253342336198,nan,nan,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1889403943,32,16,10485760,67584,98048,0.25980510000226786,0.25,0.25,9.234048596057848,0.21744738407433034
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,67584,0,0.16417969999747584,0.0,0.0,0.0,0.16002833917737008
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.9108119718572762,1.4464654118377098,0.006943936579522081,0.07027245937968223,0.11377814947182305,1.0351966619491577,1.8663705632627061,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,67584,98048,0.14316849999886472,0.0,0.0,0.0,0.1649631956592202
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0037546811793607304,0.05019850639731388,0.09417670544492177,1.0164581537246704,1.940870624131656,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,10485760,67584,0,0.20392100000026403,0.25,0.25,5.532653913477727,0.17922208476811646
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.9108119718572762,1.4464654118377098,0.003475961353994972,0.04901197733903367,0.08801552524655983,1.0147813558578491,1.9425236451623518,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,10485760,67584,98048,0.2254672999988543,0.25,0.25,5.637084442614415,0.18187242802232503
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0217537441502742,0.1062774673483414,0.13841596530080255,1.029195785522461,1.9061106981056644,nan,nan,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,3387850064,32,16,10485760,67584,98048,0.2604962000041269,0.2375,0.0,5.458848918923047,0.1890569355338812
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,68608,0,0.14976289999322034,0.0,0.0,0.0,0.1938877899199724
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021740504420513673,0.10510613674671215,0.13663223111464434,0.9979115128517151,2.582482241274097,1.0,0.025390625,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,68608,98048,0.14818509999895468,0.0,0.0,0.0,0.1937722761183977
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017611469205770724,0.0948318902013638,0.1257492614588984,1.0029455423355103,2.5864205273412884,1.0,0.0263671875,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,10485760,68608,0,0.21225249999406515,0.25,0.25,3.787772904093605,0.2177615474909544
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017249752533476048,0.09373616493526825,0.12486753121799847,1.001747965812683,2.593827484711453,1.0,0.0234375,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,10485760,68608,98048,0.21252760000061244,0.25,0.25,3.780307290158169,0.2177379745990038
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01755629390418001,0.09478328697073321,0.12577344976381466,1.0035691261291504,2.5927857128772063,1.0,0.0234375,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,189739325,16,8,10485760,68608,98048,0.2668282999948133,0.2375,0.0,3.7741705445747256,0.21684293821454048
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,68608,0,0.14500249999400694,0.0,0.0,0.0,0.21398065090179444
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.7834038959718805,2.2429019074336867,0.006961950121726179,0.06753993328594558,0.12239975552423134,1.0042507648468018,2.8721345850644084,1.0,0.030859374999999953,0.015429687499999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,68608,98048,0.14979670000320766,0.0,0.0,0.0,0.21645164638757705
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.7834038959718805,2.2429019074336867,0.010808250172843703,0.07752845586842616,0.1296620364028737,1.0295912027359009,2.8158324196251483,1.0,0.030859374999999953,0.015429687499999997,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,10485760,68608,0,0.21636270000453806,0.25,0.25,4.70559372665089,0.24663900025188923
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.7834038959718805,2.2429019074336867,0.00796423957471104,0.06896311595812299,0.13509991515005867,1.005517601966858,2.946722703247092,1.0,0.027929687499999953,0.013964843749999997,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,10485760,68608,98048,0.21082960000057938,0.25,0.25,4.715384700566443,0.24667058922350407
