arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,5,0,67584,0,0.1452458999992814,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.8960485534231983,1.45194654838736,0.0062253718793015,0.06745492154986676,0.2118086624722893,1.004385232925415,1.0805112206320433,1.0,0.2158203125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,5,0,67584,98048,0.15471299999626353,0.0,0.0,0.0,0.0,0.16817310582846404
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.8960485534231983,1.45194654838736,0.006289574695677258,0.06775806528694923,0.21334532956147598,0.9999969005584717,1.0780038538580567,1.0,0.20703125,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,5,5,2621440,67584,0,0.17819479999889154,0.0625,0.0,0.25,1.733923318447966,0.17545082718133925
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.8960485534231983,1.45194654838736,0.006204219078615791,0.06662522330295727,0.20649009429572715,0.9963292479515076,1.0826951339347257,1.0,0.2060546875,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,5,5,2621440,67584,98048,0.16458179999608546,0.0625,0.0,0.25,1.5946141650756616,0.17336054444313048
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.8960485534231983,1.45194654838736,0.006025405141519835,0.06528173797375554,0.20333689530942722,0.9961164593696594,1.082900802658257,1.0,0.2021484375,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,89617038,32,16,5,5,2621440,67584,98048,0.1814756000021589,0.05500000000000001,0.0,0.22000000000000003,1.5690734782031497,0.17251409646123647
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,5,0,67584,0,0.15531080000073416,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01436945257335731,0.11948534198391098,0.22262351844450548,0.9112983345985413,1.6566438048948062,1.0,0.011132812500000047,0.005566406250000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,5,0,67584,98048,0.14721840000129305,0.0,0.0,0.0,0.0,0.21166549138724805
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.7872162686682413,1.4936707724593687,0.017084948948699274,0.12758620675289065,0.2338689888842024,0.9013704657554626,1.6229222228295321,1.0,0.010156250000000047,0.005078125000000003,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,5,5,2621440,67584,0,0.16987000000517583,0.0625,0.0,0.25,1.5190416447028503,0.221524952724576
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.7872162686682413,1.4936707724593687,0.016344353318341387,0.1268230212233078,0.2176891703731088,0.932374894618988,1.5511293399068597,1.0,0.004296875000000047,0.0021484375000000028,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,5,5,2621440,67584,98048,0.17641790000197943,0.0625,0.0,0.25,1.4954562829396152,0.2226125717163086
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.7872162686682413,1.4936707724593687,0.016344353318341387,0.1268230212233078,0.2176891703731088,0.932374894618988,1.5511293399068597,1.0,0.004296875000000047,0.0021484375000000028,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1357488167,32,16,5,5,2621440,67584,98048,0.17788779999682447,0.0625,0.0,0.25,1.4954562829396152,0.2226125717163086
