arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,34304,0,0.015514699996856507,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24175382602597617,0.3857996013722801,0.5692853481182202,0.5409784913063049,1.348091198187408,0.75,0.53515625,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,34304,72960,0.015206299998681061,0.0,0.0,0.0,0.0,0.541168749332428
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.18384965706578038,0.33752223431557965,0.5640190330315606,0.5981471538543701,1.2893259858431334,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.2184169664978981,0.9929257035255432,0.15585214644670486,1.8193203210830688,0.02384239691309631,0.1552693098783493,34304,0,0.05662889999803156,0.25,0.25,0.25,6.702625801420588,0.5884076058864594
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.18304272767707452,0.3369905922150069,0.5587196449154612,0.6024957299232483,1.290713260835355,0.75,0.5078125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.2158321514725685,0.9934163093566895,0.15585214644670486,1.8193203210830688,0.02417014422826469,0.18173490464687347,34304,72960,0.048453100003825966,0.25,0.25,0.25,6.721703082688226,0.5914980471134186
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.1928349620672578,0.3446259060763894,0.5499017402689124,0.5909966230392456,1.3158448714435498,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.1608998030424118,0.9941007494926453,0.15585214644670486,1.8193203210830688,0.025789553998038173,0.17988726496696472,34304,72960,0.05219999999826541,0.125,0.0,0.125,6.089354476834441,0.5763896703720093
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,35328,0,0.01502489999984391,0.0,0.0,0.0,0.0,0.7585066854953766
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0643706493954661,0.21027851528269492,0.5024074578284655,0.7080926895141602,3.366789436635179,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,35328,72960,0.01676460000453517,0.0,0.0,0.0,0.0,0.7582897841930389
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055166177956368134,0.19041170018170606,0.4587760670651224,0.830788254737854,3.1303837800181715,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.4577256739139557,0.8935195207595825,0.6408268511295319,3.570643186569214,0.12426557717844844,0.4957735240459442,35328,0,0.05011940000258619,0.25,0.25,0.25,26.15130047040176,0.859862893819809
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055375746749445565,0.1909369938152543,0.4584940241322539,0.8314203023910522,3.1420893275196473,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.4536075294017792,0.8937925100326538,0.6408268511295319,3.570643186569214,0.12322117714211345,0.49477440118789673,35328,72960,0.04748360000667162,0.25,0.25,0.25,26.09910706295822,0.8602605760097504
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05159757023430034,0.1823591367052859,0.4743436481399493,0.7837246656417847,3.4139947257496255,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.37654924392700195,0.9621842503547668,0.6408268511295319,3.570643186569214,0.12200408754870296,0.5040475130081177,35328,72960,0.05278260000341106,0.125,0.0,0.125,25.012382186148244,0.8096368610858917
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,37376,0,0.016340700000000652,0.0,0.0,0.0,0.0,0.987597644329071
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.0659841281175435,0.16021164869042434,0.27231603057454795,0.7864633202552795,6.0505560629455495,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,37376,72960,0.021826200005307328,0.0,0.0,0.0,0.0,0.9948750138282776
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06847482946953676,0.1619522921560183,0.2587573123316154,0.8330832123756409,5.722839688566769,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.5257137566804886,0.822587251663208,1.4847866892814636,7.888912677764893,0.35129350051283836,1.286780834197998,37376,0,0.045245799999975134,0.25,0.25,0.25,94.10249519986311,1.0930962264537811
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.07005974655512937,0.1639621386314659,0.25770385816489055,0.8396324515342712,5.775750547233399,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.522714376449585,0.822587251663208,1.4847866892814636,7.888912677764893,0.35312091931700706,1.3115119934082031,37376,72960,0.05084050000004936,0.25,0.25,0.25,94.72944940637615,1.1006816029548645
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.07005974655512937,0.1639621386314659,0.25770385816489055,0.8396324515342712,5.775750547233399,nan,nan,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.522714376449585,0.822587251663208,1.4847866892814636,7.888912677764893,0.35312091931700706,1.3115119934082031,37376,72960,0.06503820000216365,0.25,0.25,0.25,94.72944940637615,1.1006816029548645
