arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1490230999988853,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005046753969251805,0.059280702794478314,0.19505713816413067,0.9952072501182556,1.0771221182000243,1.0,0.197265625,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.15879270000004908,0.0,0.0,0.0,0.0,0.16520930994302035
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006205495880762024,0.07064117832734446,0.21419480435007066,1.01290762424469,1.0698274550912772,1.0,0.18359375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.14174018510384484,1.9032431840896606,67584,0,0.292876300001808,0.25,0.25,0.25,6.508508974485468,0.18786683827638626
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006379685209487951,0.07029218483867328,0.22077710155598237,1.0087335109710693,1.0730431319680973,1.0,0.197265625,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.1429923475603573,1.835863471031189,67584,98048,0.30724860000191256,0.25,0.25,0.25,6.438645031134118,0.18481325954198838
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005937281084302581,0.065705579670578,0.20229913473034378,0.9906327724456787,1.0792534160095357,1.0,0.208984375,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.1463227950851433,1.934173583984375,67584,98048,0.34843860000546556,0.20750000000000002,0.0,0.20750000000000002,6.33247306694778,0.18420164845883846
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.18935229999624426,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01575455402290782,0.12084476565938408,0.20241036683153818,0.9369375109672546,1.5404863726558056,1.0,0.0003906250000000472,0.00019531250000000278,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.1451524000003701,0.0,0.0,0.0,0.0,0.21887575201690196
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01613456221794296,0.12090811783355657,0.2030741364363294,0.9388635754585266,1.5385508974185695,1.0,0.002343750000000047,0.0011718750000000028,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.2352600315120071,2.4491560459136963,67584,0,0.2881528999932925,0.25,0.25,0.25,6.595531170577532,0.23666351176798345
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.017348690149372903,0.12245865891259483,0.19684059778307572,0.9460179209709167,1.5208941669385116,1.0,0.0003906250000000472,0.00019531250000000278,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.23640377796255052,2.5213944911956787,67584,98048,0.2903347999963444,0.25,0.25,0.25,6.642361953586809,0.23617934621870518
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.006626530141304432,0.08468407667787858,0.20401976775095934,0.9039220809936523,1.5660636299918873,1.0,0.004296875000000047,0.0021484375000000028,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.2285428849514574,2.399073600769043,67584,98048,0.3408830000043963,0.20750000000000002,0.0,0.20750000000000002,6.28908717650898,0.23611062318086623
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1685873000024003,0.0,0.0,0.0,0.0,0.169986866787076
