arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,0,0.01529100000334438,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24063918761666114,0.38499169958297436,0.569597978850454,0.5410272479057312,1.3538316661459076,0.75,0.53515625,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,72960,0.015112200002477039,0.0,0.0,0.0,0.0,0.5398671925067902
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.18350766902989557,0.3373812685514,0.5624601598436042,0.5995725393295288,1.2887289927181527,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,176128,131072,45056,1816576.0,1441792.0,374784.0,64,32,32,32.0,1,1,89617038,32,16,2,2,131072,1048576,64,6,12288,79872.0,4096,2,1048576,0.042285580188035965,0.9982450008392334,0.007467135670594871,0.08039611950516701,0.060897309333086014,32.60915756225586,0.21107887476682663,2.0319502353668213,0.03330994851421565,0.23708698153495789,34304,0,0.039859800002886914,0.25,0.25,0.25,6.767727396642351,0.5892677903175354
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.1815777270077823,0.3357283369655353,0.5571199121121471,0.6071701049804688,1.2955725438691066,0.75,0.50390625,nan,16,1024,2048,32,2048,3072,176128,131072,45056,374784.0,0.0,374784.0,64,32,32,32.0,1,1,89617038,32,16,2,2,131072,1048576,64,6,12288,79872.0,4096,2,1048576,0.04197503626346588,0.9982984662055969,0.007503834902308881,0.08063969016075134,0.05927174165844917,32.60915756225586,0.21107887476682663,2.0319502353668213,0.03345085016917437,0.22734017670154572,34304,72960,0.03209419999620877,0.25,0.25,0.25,6.762853989411532,0.5907224118709564
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.19224444035554944,0.34404539139706786,0.5497013024567652,0.5920913219451904,1.3209983449559826,0.75,0.52734375,nan,16,1024,2048,32,2048,3072,372736,131072,241664,669696.0,0.0,669696.0,64,32,32,32.0,1,1,89617038,32,16,2,2,131072,1048576,64,6,12288,79872.0,4096,2,1048576,0.035763051360845566,0.9990927577018738,0.009808453149162233,0.08187492191791534,0.07028564065694809,32.60915756225586,0.21107887476682663,2.0319502353668213,0.03751630045007914,0.249414324760437,34304,72960,0.036467699996137526,0.125,0.0,0.125,6.120323250732934,0.5756453573703766
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,0,0.015562699998554308,0.0,0.0,0.0,0.0,0.7585066854953766
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06394702260819995,0.20931712149940102,0.5007621607030156,0.7097052335739136,3.362481653074277,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,72960,0.01584980000188807,0.0,0.0,0.0,0.0,0.7595611810684204
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.054964251248027285,0.18997992108476558,0.4585252302651279,0.8315592408180237,3.1233859587307515,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,176128,131072,45056,1816576.0,1441792.0,374784.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,131072,1048576,64,6,12288,79872.0,8192,2,1048576,0.16527637839317322,0.988499104976654,0.029595421452540904,0.16469788923859596,0.1238851249217987,2300.58935546875,0.7892727553844452,4.215043067932129,0.1587714129127562,0.7054621577262878,35328,0,0.03115030000481056,0.25,0.25,0.25,25.244834931287908,0.8589285314083099
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05484574207257653,0.18973486042616852,0.45743020270260143,0.8332167267799377,3.125477610609483,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,176128,131072,45056,374784.0,0.0,374784.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,131072,1048576,64,6,12288,79872.0,8192,2,1048576,0.16492076218128204,0.9884170889854431,0.029746549029368907,0.164706502109766,0.12427570670843124,2300.58935546875,0.7892727553844452,4.215043067932129,0.15898823970928788,0.7051026821136475,35328,72960,0.03439369999978226,0.25,0.25,0.25,25.242399643632602,0.861456960439682
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.051164222224003186,0.18131306880931053,0.4718224331051761,0.7865415215492249,3.4027385119085163,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,372736,131072,241664,669696.0,0.0,669696.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,131072,1048576,64,6,12288,79872.0,8192,2,1048576,0.15229251980781555,0.9903272390365601,0.0288255883497186,0.1601637490093708,0.11350026726722717,2300.58935546875,0.7892727553844452,4.215043067932129,0.15402539307251573,0.6682495474815369,35328,72960,0.03808920000301441,0.125,0.0,0.125,24.386533952095277,0.8110740482807159
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37376,0,0.015520300003117882,0.0,0.0,0.0,0.0,0.987597644329071
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06538060499473453,0.15987241705040786,0.27175201678158156,0.7841223478317261,6.008298454565225,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37376,72960,0.015523900001426227,0.0,0.0,0.0,0.0,0.9945224523544312
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06656758676499841,0.15958685198796738,0.25586259258052896,0.8379479646682739,5.7633671398926305,nan,nan,nan,16,1024,2048,32,2048,3072,176128,131072,45056,1816576.0,1441792.0,374784.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,131072,1048576,64,6,12288,79872.0,16384,2,1048576,0.5429444164037704,0.876030683517456,0.17699085269123316,0.25808719359338284,0.5106192231178284,149398768.0,1.7162572145462036,9.944417953491211,0.43269825354218483,1.4890259504318237,37376,0,0.033430800001951866,0.25,0.25,0.25,85.86938083980324,1.0953547358512878
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,64,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06521527382551184,0.15820359276928203,0.2520505421042097,0.8430299758911133,5.731920255515607,nan,nan,nan,16,1024,2048,32,2048,3072,176128,131072,45056,374784.0,0.0,374784.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,131072,1048576,64,6,12288,79872.0,16384,2,1048576,0.5445605516433716,0.876030683517456,0.17821952793747187,0.2608309891074896,0.5193299055099487,147059168.0,1.7162572145462036,9.944417953491211,0.44021591916680336,1.5337411165237427,37376,72960,0.03466320000006817,0.25,0.25,0.25,86.80735293315853,1.1005546152591705
