arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.15625400000135414,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005743852353438994,0.06447080835989645,0.2085380548552136,1.000802755355835,1.0778982326177535,1.0,0.2021484375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.1501678999993601,0.0,0.0,0.0,0.0,0.16872200164943935
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.007685822152006638,0.07312748392035444,0.2071127091321597,1.0177052021026611,1.0768685185324678,1.0,0.1982421875,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.18031793124973775,2.40400767326355,0.1441744525800459,1.599897027015686,67584,0,0.22109809999528807,0.25,0.25,0.25,7.221057729026661,0.18791982345283031
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.009733509297795928,0.0797012969609578,0.20650814458217154,1.0293718576431274,1.0731498513555116,1.0,0.1748046875,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.18031793124973775,2.40400767326355,0.14665784024400635,1.7149115800857544,67584,98048,0.18616739999561105,0.25,0.25,0.25,6.943609962680388,0.1860070049762726
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.004255089402733114,0.05543746466825982,0.17132366722077155,0.9877065420150757,1.0829555370152362,1.0,0.193359375,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.18031793124973775,2.40400767326355,0.15081231490476057,1.8943451642990112,67584,98048,0.23869009999907576,0.195,0.0,0.195,7.105761165739369,0.1852469366043806
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.16338420000101905,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.016022400928915825,0.12357667055251896,0.19836371274644313,0.9485377073287964,1.5870554333523341,1.0,0.0015624999999999528,0.0007812499999999972,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.1503716999941389,0.0,0.0,0.0,0.0,0.21672179251909257
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014265077491513622,0.13204268501451039,0.3064425535209496,0.8143084645271301,1.8030892794424738,1.0,0.03359375000000005,0.016796875000000003,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3086717091500759,3.6577188968658447,0.23576725511811675,2.5388705730438232,67584,0,0.18577189999632537,0.25,0.25,0.25,7.035297139617168,0.2307984448969364
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.011337665934640029,0.11516820390514086,0.26917379302624134,0.840394914150238,1.7587858828826064,1.0,0.023828125000000047,0.011914062500000003,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3086717091500759,3.6577188968658447,0.23470783322118222,2.440918445587158,67584,98048,0.18817380000109551,0.25,0.25,0.25,6.870776859363888,0.23003370836377143
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.00400543349776461,0.06880142903608562,0.19120101688032098,0.9128317832946777,1.5746780722487221,1.0,0.0013671875000000472,0.0006835937500000028,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3086717091500759,3.6577188968658447,0.23440297967754303,2.3532888889312744,67584,98048,0.23452679999900283,0.205,0.0,0.205,6.819733041445501,0.23550268597900867
