arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.03787509999528993,0.0,0.0,0.03787509999528993,64,64,3,3,3.8960485534231983,1.45194654838736,0.08424465930138147,0.2292989368110679,0.356485704120285,1.000925898551941,1.0570234376285568,1.0,0.19921875,nan,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.03787509999528993,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.035131900003761984,0.00030669999978272244,0.011991500003205147,0.047430100006749853,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.020888893865048885,0.9997843503952026,0.001967700110981241,0.04561409540474415,0.012442599050700665,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,4,4,34304,0,0.035131900003761984,0.25,0.25,0.25,8.1296067753319,0.5909262597560883
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.015453699998033699,0.00030669999978272244,0.011991500003205147,0.027751900001021568,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34304,0,0.015453699998033699,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.03849690000060946,0.00030669999978272244,0.013329499997780658,0.05213309999817284,64,64,3,3,3.8960485534231983,1.45194654838736,0.19423571267582274,0.3465451011550956,0.5515460376950012,0.5895494222640991,1.3194285732200668,0.75,0.515625,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.017091378569602966,0.9999328255653381,0.002489611186319962,0.046772148460149765,0.011834326200187206,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.02655017445795238,0.19589397311210632,4,4,34304,72960,0.03849690000060946,0.125,0.0,0.125,7.065225529821798,0.5725215971469879
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,4,2026072201,1.0,0.15,0.020150099997408688,0.00030669999978272244,0.013329499997780658,0.03378629999497207,64,64,3,3,3.8960485534231983,1.45194654838736,0.24149289454570733,0.38582807321802215,0.5686237771690597,0.5419803261756897,1.3498353458281591,0.75,0.53125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34304,72960,0.020150099997408688,0.0,0.0,0.0,0.0,0.5399439334869385
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,5,2026072201,1.0,0.15,0.03319829999963986,0.00030669999978272244,0.013329499997780658,0.04683449999720324,64,64,3,3,3.8960485534231983,1.45194654838736,0.1828076932404863,0.33767702770358743,0.5548449296474198,0.606935977935791,1.2836843049948803,0.75,0.51171875,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.02088587637990713,0.9997855424880981,0.0019611188035923988,0.04554613120853901,0.012341685593128204,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023920905543491244,0.1572432667016983,4,4,34304,72960,0.03319829999963986,0.25,0.25,0.25,8.164695317432999,0.5936281085014343
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.03410299999814015,0.0002490999977453612,0.007146100004320033,0.04149820000020554,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05589206272697256,0.19137798585802937,0.4634921468499181,0.7964504957199097,3.131101632972776,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.05829773098230362,0.9972789883613586,0.01662674266844988,0.1122344397008419,0.04021213576197624,26.62895393371582,0.6408268511295319,3.570643186569214,0.12343906192108989,0.5156524181365967,4,4,35328,72960,0.03410299999814015,0.25,0.25,0.25,19.312688917563744,0.8523292243480682
paper-neural-optimized,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.03790569999546278,0.0,0.0,0.03790569999546278,64,64,10,10,1.7834038959718805,2.2429019074336867,0.1655279550006914,0.3444067851556674,0.6384210041263431,0.6665589213371277,2.597606034094851,0.5,0.10000000000000005,0.05,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.03790569999546278,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.032864600005268585,0.0002490999977453612,0.005713099999411497,0.03882680000242544,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.060643792152404785,0.996943473815918,0.016665028408169746,0.11233498528599739,0.03997359052300453,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,4,4,35328,0,0.032864600005268585,0.25,0.25,0.25,19.61842124958582,0.8522603809833527
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.0393536999981734,0.0002490999977453612,0.007146100004320033,0.04674890000023879,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05635036220197742,0.19137305208320193,0.48663161755523665,0.7668630480766296,3.393612481659844,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.06163027882575989,0.9972047209739685,0.016263717785477638,0.1115000806748867,0.03647240623831749,26.62895393371582,0.6408268511295319,3.570643186569214,0.11999907670542598,0.4763979911804199,4,4,35328,72960,0.0393536999981734,0.125,0.0,0.125,18.35713743135055,0.8013100624084473
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,4,2026072201,1.0,0.15,0.01574310000432888,0.0002490999977453612,0.005713099999411497,0.02170530000148574,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35328,0,0.01574310000432888,0.0,0.0,0.0,0.0,0.7585066854953766
