arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,0,2026072201,1.0,0.15,0.35029100000247126,0.0,0.0,0.35029100000247126,64,64,3,3,3.9524546530682136,1.4312255916968142,0.020912487262296553,0.11875527967564267,0.16157804848890367,1.058330774307251,1.454576908164149,1.0,0.1669921875,nan,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.35029100000247126,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,1,2026072201,1.0,0.15,0.22265899999911198,0.00062929999694461,0.05035930000303779,0.2736475999990944,64,64,3,3,3.9524546530682136,1.4312255916968142,0.009975537352031827,0.07838734080499249,0.1409384072789788,0.9873771071434021,1.4768076344809469,1.0,0.0693359375,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,0,0.22265899999911198,0.25,0.25,0.25,6.802180107850158,0.16388484351336957
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,2,2026072201,1.0,0.15,0.16966440000396688,0.00062929999694461,0.05035930000303779,0.22065300000394927,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008410041915512645,0.0722285154890025,0.12351220278544556,0.9813894033432007,1.4729386265293218,1.0,0.0888671875,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,0,0.16966440000396688,0.0,0.0,0.0,0.0,0.14474139269441366
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,3,2026072201,1.0,0.15,0.2666196999998647,0.00062929999694461,0.04353160000027856,0.31078059999708785,64,64,3,3,3.9524546530682136,1.4312255916968142,0.009864840568703626,0.07741387245969165,0.13498891123680043,0.9908612966537476,1.4725487690439616,1.0,0.0693359375,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,98048,0.2666196999998647,0.1875,0.0,0.1875,6.822288852984333,0.15979371070861817
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,4,2026072201,1.0,0.15,0.14910909999889554,0.00062929999694461,0.04353160000027856,0.1932699999961187,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008184833811950343,0.07059614792244238,0.12365610144084453,0.9784578084945679,1.470939124180025,1.0,0.08203125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,98048,0.14910909999889554,0.0,0.0,0.0,0.0,0.14479336757212877
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,5,2026072201,1.0,0.15,0.2116604000038933,0.00062929999694461,0.04353160000027856,0.25582130000111647,64,64,3,3,3.9524546530682136,1.4312255916968142,0.010126534108880092,0.07869425536922191,0.13792919267061987,0.9877407550811768,1.4729948769166656,1.0,0.0712890625,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,98048,0.2116604000038933,0.25,0.25,0.25,6.805665828215249,0.16388502456247805
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,0,2026072201,1.0,0.15,0.2309739999982412,0.00018010000349022448,0.04031710000708699,0.2714712000088184,64,64,3,3,3.716130289633486,1.5222432499938814,0.00681709961970367,0.07777210679339021,0.1628968508885306,0.9896646738052368,1.4990542251040269,1.0,0.017187499999999953,0.008593749999999997,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,98048,0.2309739999982412,0.25,0.25,0.25,7.040917198595477,0.21647236570715905
paper-neural-optimized,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,1,2026072201,1.0,0.15,0.34038210000289837,0.0,0.0,0.34038210000289837,64,64,3,3,3.716130289633486,1.5222432499938814,0.029184519686534793,0.17441168703760052,0.4910641137511851,0.7401696443557739,1.9637218108003767,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.34038210000289837,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,2,2026072201,1.0,0.15,0.21188969999639085,0.00018010000349022448,0.05094439999811584,0.2630141999979969,64,64,3,3,3.716130289633486,1.5222432499938814,0.006530576496667662,0.0780536997409978,0.1721756309836333,0.9926140904426575,1.484753508104216,1.0,0.020117187499999953,0.010058593749999997,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,0,0.21188969999639085,0.25,0.25,0.25,7.1906272536208915,0.21752871088683606
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,0,3,2026072201,1.0,0.15,0.2643705000009504,0.00018010000349022448,0.04031710000708699,0.30486770001152763,64,64,3,3,3.716130289633486,1.5222432499938814,0.010335801864456817,0.09601660081452401,0.20920275318844475,1.0203648805618286,1.5194395261958396,1.0,0.03671874999999995,0.018359374999999997,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,67584,98048,0.2643705000009504,0.22999999999999998,0.0,0.22999999999999998,6.235325432269014,0.22095938473939897
