arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.032658900003298186,0.0,0.0,0.032658900003298186,64,64,3,3,3.8960485534231983,1.45194654838736,0.08424465930138147,0.2292989368110679,0.356485704120285,1.000925898551941,1.0570234376285568,1.0,0.19921875,nan,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.032658900003298186,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.06135590000485536,0.00028949999978067353,0.004829100005736109,0.06647450001037214,64,64,3,3,3.8960485534231983,1.45194654838736,0.18364967612169236,0.3382731970193547,0.5602558099702968,0.6024906039237976,1.282455374409782,0.75,0.515625,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.022029688756447285,0.17331205308437347,4,4,28.5,0,34304,0,0.06135590000485536,0.25,0.25,0.25,8.003477135615672,0.5906881988048553
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.014733299998624716,0.00028949999978067353,0.004829100005736109,0.0198519000041415,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,34304,0,0.014733299998624716,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,3,2026072201,1.0,0.15,0.06064969999715686,0.00028949999978067353,0.005996799998683855,0.06693599999562139,64,64,3,3,3.8960485534231983,1.45194654838736,0.19350379592313294,0.3450478776744768,0.550907605241074,0.5898677110671997,1.3259132154145965,0.75,0.5234375,nan,16,1024,2048,32,2048,3072,425984,131072,294912,675840.0,0.0,675840.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.02287928032455966,0.13915741443634033,4,4,28.75,0,34304,72960,0.06064969999715686,0.125,0.0,0.125,6.943847979459332,0.5746853053569794
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,4,2026072201,1.0,0.15,0.014007300000230316,0.00028949999978067353,0.005996799998683855,0.020293599998694845,64,64,3,3,3.8960485534231983,1.45194654838736,0.24124393257426435,0.3851660648998921,0.567641799811274,0.5422045588493347,1.354057910087897,0.75,0.52734375,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,34304,72960,0.014007300000230316,0.0,0.0,0.0,0.0,0.5418093353509903
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,5,2026072201,1.0,0.15,0.058184500005154405,0.00028949999978067353,0.005996799998683855,0.06447080000361893,64,64,3,3,3.8960485534231983,1.45194654838736,0.18174161028511415,0.336517415980522,0.5532091952248069,0.6104340553283691,1.292510858783047,0.75,0.49609375,nan,16,1024,2048,32,2048,3072,229376,131072,98304,380928.0,0.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.022239986981730908,0.1413254588842392,4,4,28.75,0,34304,72960,0.058184500005154405,0.25,0.25,0.25,8.021978030711065,0.5930491089820862
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.06401919999916572,0.0003085999996983446,0.006310500000836328,0.0706382999997004,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05569266797791572,0.19123462264919888,0.46203378149686075,0.8009272217750549,3.1355314466837574,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,98304,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.1126199271529913,0.4596191942691803,4,4,30.0,0,35328,72960,0.06401919999916572,0.25,0.25,0.25,19.3906477185742,0.8519153594970703
paper-neural-optimized,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.03267740000592312,0.0,0.0,0.03267740000592312,64,64,10,10,1.7834038959718805,2.2429019074336867,0.1655279550006914,0.3444067851556674,0.6384210041263431,0.6665589213371277,2.597606034094851,0.5,0.10000000000000005,0.05,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.03267740000592312,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.056784199994581286,0.0003085999996983446,0.005565699997532647,0.06265849999181228,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055773617021131816,0.19157025973284392,0.4617140979326074,0.7999784350395203,3.1417332119091306,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.1130236592143774,0.45980921387672424,4,4,30.0,0,35328,0,0.056784199994581286,0.25,0.25,0.25,19.309304639481073,0.8520745933055878
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,3,2026072201,1.0,0.15,0.06226759999844944,0.0003085999996983446,0.006310500000836328,0.06888669999898411,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05542412813601105,0.18942344310709824,0.4842185881016652,0.7685437798500061,3.3824189187689275,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,425984,131072,294912,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.10915897600352764,0.5028794407844543,4,4,30.0,0,35328,72960,0.06226759999844944,0.125,0.0,0.125,17.962380729092207,0.803178071975708
