arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-crossfit,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.058271400004741736,0.00029999999969732016,0.005185599999094848,0.0028392000021995045,0.06659620000573341,64,64,3,3,3.8960485534231983,1.45194654838736,0.1942654772756245,0.34649395058949845,0.5570697032881204,0.5850875973701477,1.318861808454885,0.75,0.52734375,nan,16,1024,2048,32,2048,3072,425984,196608,65536,229376,3002368.0,1441792.0,1560576.0,32,2,4,131072,1179648.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.023256689484696835,0.14091536402702332,4,4,29.0,0,51712,0,0.058271400004741736,0.125,0.0,0.125,6.938943876455902,0.5710481405258179,0.5,0.06376523929884295,0.75
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.013531099997635465,0.00029999999969732016,0.005185599999094848,0.0,0.019016699996427633,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,0,32768,1736704.0,1441792.0,294912.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,34304,0,0.013531099997635465,0.0,0.0,0.0,0.0,0.5381669253110886,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.04298620000190567,0.00029999999969732016,0.005185599999094848,0.0,0.04847180000069784,64,64,3,3,3.8960485534231983,1.45194654838736,0.18364967612169236,0.3382731970193547,0.5602558099702968,0.6024906039237976,1.282455374409782,0.75,0.515625,nan,16,1024,2048,32,2048,3072,229376,131072,0,98304,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.022029688756447285,0.17331205308437347,4,4,28.5,0,34304,0,0.04298620000190567,0.25,0.25,0.25,8.003477135615672,0.5906881988048553,0.0,0.0,0.0
cta-exact-crossfit,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.05633260000467999,0.00020770000264747068,0.005103499999677297,0.0025228000013157725,0.06416660000832053,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05474888440466996,0.18808304293781228,0.48420950576894706,0.7655344605445862,3.4153174755134743,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,425984,196608,65536,229376,3002368.0,1441792.0,1560576.0,32,2,4,131072,1179648.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.1078335028141737,0.520686686038971,4,4,30.25,0,53248,0,0.05633260000467999,0.125,0.0,0.125,17.925145253114042,0.8019485175609589,0.5,0.062355799197648915,0.875
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.044824299999163486,0.00020770000264747068,0.005103499999677297,0.0,0.050135500001488253,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055773617021131816,0.19157025973284392,0.4617140979326074,0.7999784350395203,3.1417332119091306,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,0,98304,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.1130236592143774,0.45980921387672424,4,4,30.0,0,35328,0,0.044824299999163486,0.25,0.25,0.25,19.309304639481073,0.8520745933055878,0.0,0.0,0.0
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.012948999996297061,0.00020770000264747068,0.005103499999677297,0.0,0.01826019999862183,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,0,32768,1736704.0,1441792.0,294912.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,35328,0,0.012948999996297061,0.0,0.0,0.0,0.0,0.7585066854953766,0.0,0.0,0.0
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04329090000101132,0.0003221000006305985,0.005059399998572189,0.0,0.04867240000021411,64,64,36,36,0.3208946893756642,8.81419112995982,0.0674073916124538,0.16091042172785663,0.26776268385304813,0.8046989440917969,5.745098886860756,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,0,98304,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.3160933628678322,1.1045235395431519,4,4,26.25,0,37376,0,0.04329090000101132,0.25,0.25,0.25,47.500084265769814,1.0905449986457825,0.0,0.0,0.0
cta-exact-crossfit,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.05758349999814527,0.0003221000006305985,0.005059399998572189,0.0028689000027952716,0.06583390000014333,64,64,36,36,0.3208946893756642,8.81419112995982,0.0674073916124538,0.16091042172785663,0.26776268385304813,0.8046989440917969,5.745098886860756,nan,nan,nan,16,1024,2048,32,2048,3072,425984,196608,65536,229376,3002368.0,1441792.0,1560576.0,32,2,4,131072,1179648.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.3160933628678322,1.1045235395431519,4,4,26.25,0,56320,0,0.05758349999814527,0.25,0.25,0.25,47.500084265769814,1.0905449986457825,1.0,0.11146728215634018,1.0
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.015340999998443294,0.0003221000006305985,0.005059399998572189,0.0,0.020722499997646082,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,0,32768,1736704.0,1441792.0,294912.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,37376,0,0.015340999998443294,0.0,0.0,0.0,0.0,0.987597644329071,0.0,0.0,0.0
cta-exact-crossfit,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.058479899998928886,0.021355799995944835,0.013987599995743949,0.0029789000036544167,0.09680219999427209,64,192,136,136,0.18133241385215962,19.103598422078235,0.07368698576514188,0.1401045968669787,0.2418282569026122,0.8535605669021606,9.05400891916475,nan,nan,nan,16,1024,2048,32,2048,3072,688128,458752,65536,229376,5885952.0,4325376.0,1560576.0,32,2,4,131072,1179648.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,32768,1,524288,0.4226010739803314,0.9984101057052612,0.051010653376579285,0.05610572546720505,0.053961124271154404,205.809814453125,2.347807288169861,7.593757629394531,0.6466662809252739,1.8956162929534912,4,4,27.25,0,144384,0,0.058479899998928886,0.125,0.0,0.125,19.763373768528297,1.428461492061615,0.5,0.03259229569491295,0.875
