arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-crossfit,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.5238653000051272,0.0002888999952119775,0.049612500006332994,0.026666500001738314,0.6004332000084105,64,64,3,3,3.8960485534231983,1.45194654838736,0.004740389857501581,0.057031776979105386,0.16330967157972748,0.983940839767456,1.0858985430607913,1.0,0.2021484375,nan,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.006324326153844595,0.9999881386756897,0.0007583462429465726,0.03235967643558979,0.00437711039558053,1.3903502225875854,0.09617921933531762,1.5541969537734985,0.08157780283945612,0.7626273036003113,4,4,28.625,0,101888,0,0.5238653000051272,0.2,0.0,0.2,7.114279904797501,0.18913987912237645,0.95,0.08054028666250612,0.9125
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.13921159999881638,0.0002888999952119775,0.049612500006332994,0.0,0.18911300000036135,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,67584,0,0.13921159999881638,0.0,0.0,0.0,0.0,0.16945426966995,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.3979514000020572,0.0002888999952119775,0.049612500006332994,0.0,0.44785280000360217,64,64,3,3,3.8960485534231983,1.45194654838736,0.006786643139748305,0.06891271729284987,0.199760648767515,1.0130294561386108,1.0763444180997053,1.0,0.193359375,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.006830843165516853,0.9999813437461853,0.0007276295364135876,0.03228395991027355,0.0045963614247739315,1.3903502225875854,0.09617921933531762,1.5541969537734985,0.0765745822514873,0.5470143556594849,4,4,28.475,0,67584,0,0.3979514000020572,0.25,0.25,0.25,7.288585061422614,0.1878220308572054,0.0,0.0,0.0
cta-exact-crossfit,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.5050704999957816,0.00018730000010691583,0.04981709999992745,0.027374400000553578,0.5824492999963695,64,64,3,3,3.7872162686682413,1.4936707724593687,0.0054733152572468136,0.08166906059565338,0.20644623122164502,0.8869582414627075,1.6305543390282717,1.0,0.009179687500000047,0.004589843750000003,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.003365999786183238,0.9999847412109375,0.0004896985919913277,0.03375659603625536,0.0016925527015700936,2.4042251110076904,0.17135520800948142,2.2064971923828125,0.13393242695601656,1.1145150661468506,4,4,28.425,0,101888,0,0.5050704999957816,0.22999999999999998,0.0,0.22999999999999998,6.802262252678609,0.23922280706465243,0.95,0.12059890112664333,0.975
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.3788418999974965,0.00018730000010691583,0.04981709999992745,0.0,0.4288462999975309,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014561061079675586,0.13042519382530313,0.29853622503049265,0.8237501978874207,1.7901330040876549,1.0,0.030664062500000047,0.015332031250000003,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.004637460224330425,0.9999752044677734,0.0005073358333902434,0.03339593391865492,0.0018112481338903308,2.398406505584717,0.17135520800948142,2.2064971923828125,0.13674413283588366,1.2526596784591675,4,4,28.675,0,67584,0,0.3788418999974965,0.25,0.25,0.25,6.993979874365517,0.23088540993630885,0.0,0.0,0.0
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.13047090000327444,0.00018730000010691583,0.04981709999992745,0.0,0.1804753000033088,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,67584,0,0.13047090000327444,0.0,0.0,0.0,0.0,0.21411947049200536,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.3672851000010269,0.00019379999866941944,0.04936219999945024,0.0,0.41684109999914654,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008578817067400824,0.07256849382385913,0.10771941656150534,0.9140215516090393,1.1102622291184618,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0024862393038347363,0.9999967217445374,0.0008323268411913887,0.02888312842696905,0.0026411395519971848,1.801769733428955,0.2214045088738203,7.683732509613037,0.09824147957842796,0.636876106262207,4,4,27.55,0,67584,0,0.3672851000010269,0.25,0.25,0.25,8.41430904790176,0.19922729395329952,0.0,0.0,0.0
cta-exact-crossfit,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.48790689999441383,0.00019379999866941944,0.04936219999945024,0.028040000004693866,0.5655028999972274,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008578817067400824,0.07256849382385913,0.10771941656150534,0.9140215516090393,1.1102622291184618,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0024862393038347363,0.9999967217445374,0.0008323268411913887,0.02888312842696905,0.0026411395519971848,1.801769733428955,0.2214045088738203,7.683732509613037,0.09824147957842796,0.636876106262207,4,4,27.55,0,101888,0,0.48790689999441383,0.25,0.25,0.25,8.41430904790176,0.19922729395329952,1.0,0.17037161525736758,1.0
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.1261443000039435,0.00019379999866941944,0.04936219999945024,0.0,0.17570030000206316,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,67584,0,0.1261443000039435,0.0,0.0,0.0,0.0,0.169986866787076,0.0,0.0,0.0
cta-exact-crossfit,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.507110400001693,0.000189200000022538,0.04933259999961592,0.02657580000231974,0.5832080000036513,64,64,3,3,3.9108119718572762,1.4464654118377098,0.012759090344174329,0.08874672874272674,0.12614763696413872,1.0287667512893677,1.893814844655952,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0030745038529857993,0.999995768070221,0.0007120201553334482,0.029077979736030102,0.0021594513673335314,4.960704326629639,0.20279818251729012,4.279098987579346,0.15336705893278121,2.66546368598938,4,4,29.35,0,101888,0,0.507110400001693,0.2375,0.0,0.2375,5.1049920535713555,0.18348992355167865,0.95,0.1235780450100102,0.975
