arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.3751916999972309,0.00026539999817032367,0.05053050000424264,0.0,0.42598759999964386,64,64,3,3,3.8960485534231983,1.45194654838736,0.006786643139748305,0.06891271729284987,0.199760648767515,1.0130294561386108,1.0763444180997053,1.0,0.193359375,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.006830843165516853,0.9999813437461853,0.0007276295364135876,0.03228395991027355,0.0045963614247739315,1.3903502225875854,0.09617921933531762,1.5541969537734985,0.0765745822514873,0.5470143556594849,4,4,28.475,0,67584,0,0.3751916999972309,0.25,0.25,0.25,7.288585061422614,0.1878220308572054,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.42598349999752827,0.00023289999808184803,0.0578622999964864,0.0,0.4840786999920965,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014561061079675586,0.13042519382530313,0.29853622503049265,0.8237501978874207,1.7901330040876549,1.0,0.030664062500000047,0.015332031250000003,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.004637460224330425,0.9999752044677734,0.0005073358333902434,0.03339593391865492,0.0018112481338903308,2.398406505584717,0.17135520800948142,2.2064971923828125,0.13674413283588366,1.2526596784591675,4,4,28.675,0,67584,0,0.42598349999752827,0.25,0.25,0.25,6.993979874365517,0.23088540993630885,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.38289480000094045,0.00031060000037541613,0.05150829999911366,0.0,0.4347137000004295,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008578817067400824,0.07256849382385913,0.10771941656150534,0.9140215516090393,1.1102622291184618,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0024862393038347363,0.9999967217445374,0.0008323268411913887,0.02888312842696905,0.0026411395519971848,1.801769733428955,0.2214045088738203,7.683732509613037,0.09824147957842796,0.636876106262207,4,4,27.55,0,67584,0,0.38289480000094045,0.25,0.25,0.25,8.41430904790176,0.19922729395329952,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.37315810000291094,0.0001919999995152466,0.04882190000353148,0.0,0.42217200000595767,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0035808798167824563,0.0485954044709535,0.09322174037474167,1.011757731437683,1.9422593510315989,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0035107817966490984,0.999993622303009,0.0007499309213017114,0.02841605246067047,0.002369599649682641,4.9724555015563965,0.20279818251729012,4.279098987579346,0.15525993444025515,1.5958623886108398,4,4,29.325,0,67584,0,0.37315810000291094,0.25,0.25,0.25,5.515540735101577,0.17889205496758223,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.3770396999971126,0.0002119999990100041,0.05211639999470208,0.0,0.4293680999908247,64,64,10,10,1.5561757015747395,2.5704038406153518,0.0176720376197137,0.09507955263245677,0.12583885057334931,1.0031962394714355,2.5838592272440852,1.0,0.0263671875,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,189739325,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.019398685544729233,0.9998092651367188,0.006878517335280776,0.04235408455133438,0.014945173636078835,1.1118624210357666,0.304199755191803,1.995874047279358,0.29973838864825664,1.5306161642074585,4,4,23.575,0,68608,0,0.3770396999971126,0.25,0.25,0.25,3.7593512224872576,0.2176728792488575,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.368166399995971,0.00021659999765688553,0.049036899996281136,0.0,0.417419899989909,64,64,10,10,1.7834038959718805,2.2429019074336867,0.012405873711388349,0.08284956794251594,0.132851778700379,1.0309251546859741,2.818781728929427,1.0,0.029882812499999953,0.014941406249999997,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.03322610631585121,0.9992889761924744,0.01726732822135091,0.09783763438463211,0.028800738975405693,2.4085090160369873,0.571800947189331,2.857255458831787,0.5092863230034709,2.0877299308776855,4,4,30.175,0,68608,0,0.368166399995971,0.25,0.25,0.25,4.5851158688859766,0.24762990772724153,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.379871600001934,0.00020980000408599153,0.04975259999628179,0.0,0.42983400000230176,64,64,10,10,1.6114097194634855,2.4822985437445357,0.008978370870811325,0.07180002624053047,0.11566287994587814,0.9598893523216248,1.7636267175301348,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,341785966,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.03637055866420269,0.9993643760681152,0.011008589761331677,0.06958983279764652,0.019195780158042908,16.290000915527344,0.5793282672762871,8.530755996704102,0.3433594827307388,1.4954944849014282,4,4,26.025,0,68608,0,0.379871600001934,0.25,0.25,0.25,9.073945020005295,0.2280069701373577,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.3780213999998523,0.00021070000366307795,0.04862680000223918,0.0,0.42685890000575455,64,64,10,10,1.624482796269459,2.4623221675143587,0.006496190047907469,0.057387117023935515,0.12522453028895267,0.9500345587730408,2.9147680986454088,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,7042142,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.032182637602090836,0.9992660880088806,0.012307272292673588,0.07862639985978603,0.023284660652279854,9.835389137268066,0.5197478204965591,6.4737162590026855,0.4602823491441086,2.3545539379119873,4,4,30.3,0,68608,0,0.3780213999998523,0.25,0.25,0.25,4.4498931038335945,0.24443621188402176,0.0,0.0,0.0
cta-exact-hybrid,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,32,-1,256,128,256,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.4825377999950433,0.00033769999572541565,0.04897420000634156,0.0,0.5318496999971103,64,64,36,36,0.34290171550029463,8.248506778741264,0.018526144187811067,0.07795473382490713,0.09615235098530799,1.0073071718215942,2.980563335880631,1.0,0.0498046875,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22622277.592530765,18772037.592530765,3850240.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1702271446,8,4,20,20,5242880,10485760,256,variance-per-node,0.0625,8,655360,901120.0,163840,2,1048576,0.03946513682603836,0.9988729357719421,0.023205810226500034,0.05695178918540478,0.05366579815745354,1.229166865348816,0.5350500285625458,2.1183996200561523,0.6632406512275338,1.5295718908309937,2,2,30.875,0,70656,0,0.4825377999950433,0.25,0.25,0.25,4.026028012716067,0.2812604162842035,0.0,0.0,0.0
cta-exact-hybrid,NPR-d8-rare-gmm,rare-gmm,8,0,concentrated,0.016,0.5,0.25,32,-1,256,128,256,256,8,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.4931992999991053,0.00032189999910769984,0.04998390000400832,0.0,0.5435051000022213,64,64,36,36,0.2896196383303909,9.76600599687094,0.019658157305052715,0.08843276381171168,0.12278543993494048,1.0071533918380737,5.28277646216555,1.0,0.06113281249999995,0.030566406249999997,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22622277.592530765,18772037.592530765,3850240.0,0,0,0,0,0.0,64,32,32,32.0,10,10,4079959381,8,4,20,20,5242880,10485760,256,variance-per-node,0.0625,8,655360,901120.0,163840,2,1048576,0.12385619804263115,0.9918477535247803,0.04647172475233674,0.10664297081530094,0.09360882639884949,3.3948912620544434,1.0208502054214477,2.5755317211151123,0.8688032297417522,1.9183087348937988,2,2,31.6,0,70656,0,0.4931992999991053,0.25,0.25,0.25,3.976518850231708,0.29024761244654657,0.0,0.0,0.0
