arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04399109999940265,0.0003037999995285645,0.004823800001759082,0.0,0.049118700000690296,64,64,3,3,3.8960485534231983,1.45194654838736,0.17439074301653124,0.35581583986222837,0.5135583115044153,0.7124279737472534,1.4525427024604274,0.75,0.5234375,nan,16,1024,2048,32,2048,3072,229376,131072,0,98304,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0008296142914332449,0.9999999403953552,0.0006578455795533955,0.01984296925365925,0.0013994945911690593,0.22054190933704376,0.08435674756765366,0.9393599033355713,0.03812495153397322,0.21235425770282745,4,4,29.0,0,34304,0,0.04399109999940265,0.25,0.25,0.25,7.176901745030037,0.5523985028266907,0.0,0.0,0.0
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.031062300004123244,0.0,0.0,0.0,0.031062300004123244,64,64,3,3,3.8960485534231983,1.45194654838736,0.15193657388032156,0.33142951687399286,0.43060640172288145,0.9852274656295776,1.0069064904276281,1.0,0.4296875,nan,32,2048,2048,32,2048,2048,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.031062300004123244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cta-exact-fixed-control,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,2,2026072201,1.0,0.15,0.03146340000239434,0.0003037999995285645,0.004823800001759082,0.0,0.036591000003681984,64,64,3,3,3.8960485534231983,1.45194654838736,0.17443384964154607,0.3558836765078316,0.5131605691615002,0.7127966284751892,1.4516997387528945,0.75,0.5234375,nan,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014527685008943081,0.9999814629554749,0.0011733921710401773,0.04242974519729614,0.0032514086924493313,3.8441054821014404,0.15585214644670486,1.8193203210830688,0.04301039036363363,0.23396272957324982,4,4,7.0,0,34304,0,0.03146340000239434,0.25,0.25,0.25,7.277197474545577,0.5528377890586853,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04345420000026934,0.0002069000038318336,0.0052064999981666915,0.0,0.048867600002267864,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06568176196161835,0.20479992943722813,0.4845286862779634,0.8057293891906738,3.1782922544910766,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,0,98304,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.0291132852435112,0.9996663331985474,0.015459290705621243,0.09337328374385834,0.016837460920214653,2.5657689571380615,0.5605930984020233,2.282465934753418,0.1442912518978119,0.4080871641635895,4,4,28.75,0,35328,0,0.04345420000026934,0.25,0.25,0.25,17.454115677353613,0.7602850198745728,0.0,0.0,0.0
cta-exact-fixed-control,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,1,2026072201,1.0,0.15,0.03412090000347234,0.0002069000038318336,0.0052064999981666915,0.0,0.03953430000547087,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06651654523901351,0.2062198173683499,0.4837577595315583,0.8110450506210327,3.1720881713119256,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.042231641709804535,0.9991428852081299,0.012391394935548306,0.11062304675579071,0.013943574391305447,26.702539443969727,0.6408268511295319,3.570643186569214,0.16058016568422318,0.6211928129196167,4,4,7.0,0,35328,0,0.03412090000347234,0.25,0.25,0.25,17.10779377028662,0.7630385458469391,0.0,0.0,0.0
paper-neural-optimized,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.0320928000001004,0.0,0.0,0.0,0.0320928000001004,64,64,10,10,1.7834038959718805,2.2429019074336867,0.12983542865814757,0.29844300380024535,0.5687209877087556,0.7578701376914978,2.737849970314735,0.5,0.10000000000000005,0.05,32,2048,2048,32,2048,2048,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0320928000001004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cta-exact-fixed-control,NPR-d8-correlated-t,correlated-t,8,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,0,2026072201,1.0,0.15,0.03826850000041304,0.0004926999972667545,0.005235500000708271,0.0,0.04399669999838807,64,64,36,36,0.3208946893756642,8.81419112995982,0.05549237090469461,0.14699575466292822,0.2544334231732751,0.8039157390594482,4.753890706612988,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,16384,1,524288,0.22223348915576935,0.988500714302063,0.050321005284786224,0.17768177390098572,0.05936475470662117,1045.170166015625,1.4847866892814636,7.888912677764893,0.47535403072834015,1.330335021018982,4,4,7.0,0,37376,0,0.03826850000041304,0.25,0.25,0.25,16.72699386148071,0.9325319230556488,0.0,0.0,0.0
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,broad,0.016,0.5,0.25,32,-1,256,128,256,256,8,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.059348100003262516,0.0004926999972667545,0.005235500000708271,0.0,0.06507630000123754,64,64,36,36,0.3208946893756642,8.81419112995982,0.056829817858154996,0.14950328357625364,0.256328699664341,0.8004565834999084,4.786297597246825,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,0,98304,1826816.0,1441792.0,385024.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,524288,1048576,256,variance-per-node,0.0625,8,65536,90112.0,16384,1,524288,0.0845201388001442,0.9971988201141357,0.03248247504234314,0.10427552461624146,0.03620791807770729,6.21769905090332,0.9501815438270569,4.183297157287598,0.31831295043230057,0.7310017943382263,2,2,31.0,0,37376,0,0.059348100003262516,0.25,0.25,0.25,18.25263120660434,0.9303761720657349,0.0,0.0,0.0
paper-neural-optimized,NPR-d8-correlated-t,correlated-t,8,0,broad,0.016,0.5,0.25,32,-1,256,128,256,256,8,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.029636899998877198,0.0,0.0,0.0,0.029636899998877198,64,64,36,36,0.3208946893756642,8.81419112995982,0.08247898517984531,0.19249287085039488,0.316449034342459,0.7293065786361694,3.722170218252719,nan,nan,nan,32,2048,2048,32,2048,2048,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.029636899998877198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,broad,0.016,0.5,0.25,32,-1,256,128,256,256,8,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.05530250000447268,0.029482300000381656,0.021536200001719408,0.0,0.10632100000657374,64,192,136,136,0.18133241385215962,19.103598422078235,0.0669784727165963,0.13533786992695232,0.23447240760989965,0.8395181894302368,9.292720892350612,nan,nan,nan,16,1024,2048,32,2048,3072,491520,393216,0,98304,4710400.0,4325376.0,385024.0,0,0,0,0,0.0,192,32,32,32.0,0,1,680165851,12,2,2,2,524288,1048576,256,variance-per-node,0.0625,8,65536,90112.0,32768,1,524288,0.16152946650981903,0.9964389204978943,0.11525371670722961,0.13770686089992523,0.1327562779188156,10.877086639404297,1.8080421090126038,4.721035957336426,0.7724139541387558,1.7174932956695557,2,2,30.75,0,123392,0,0.05530250000447268,0.25,0.25,0.25,12.786835825921997,1.179071456193924,0.0,0.0,0.0
