arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,component_core_coverage,rare_core_mass,rare_bridge_mass,outside_component_core_mass,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,registered_global_rollout_steps,registered_global_rollout_step_size,rollout_local_after_global,per_particle_local_safety,tail_balanced_amortization,tail_balance_fraction,mean_global_rollout_displacement_rms,mean_local_positive_weight_fraction,maximum_teacher_rare_core_count,steps_with_teacher_rare_core,final_teacher_rare_core_count,maximum_run_rare_core_count,maximum_teacher_rare_nearest_count,final_teacher_rare_nearest_count,maximum_run_rare_nearest_count,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-fixed-control,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,0,2026072201,1.0,0.15,0.03567369999655057,0.00028670000028796494,0.004691199996159412,0.0,0.040651599992997944,64,64,3,3,3.8960485534231983,1.45194654838736,0.17443384964154607,0.3558836765078316,0.5131605691615002,0.7127966284751892,1.4516997387528945,0.75,0.5234375,nan,0.0,0.00390625,0.166015625,0.677734375,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014527685008943081,0.9999814629554749,0.0011733921710401773,0.04242974519729614,0.0032514086924493313,3.8441054821014404,0.15585214644670486,1.8193203210830688,0.04301039036363363,0.23396272957324982,4,4,7.0,0,34304,0,0.03567369999655057,0.25,0.25,0.25,7.277197474545577,0.5528377890586853,1,0.5,0,0,0,0.0,0.4964134246110916,1.0,31,1,31,0,102,102,15,0.0,0.0,0.0
cta-exact-rollout2,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,1,2026072201,1.0,0.15,0.037805599997227546,0.00028670000028796494,0.004691199996159412,0.0,0.04278349999367492,64,64,3,3,3.8960485534231983,1.45194654838736,0.14973207173062475,0.33479800612246213,0.4305034233275375,0.8636688590049744,1.2096657359084022,0.75,0.40234375,nan,0.0,0.07421875,0.1640625,0.63671875,16,1024,2048,32,2048,3072,210944,131072,0,79872,2117632.0,1441792.0,675840.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.009802024811506271,0.9999785423278809,0.0017063183477148414,0.043087564408779144,0.01377905160188675,1.0087461471557617,0.15585214644670486,1.8193203210830688,0.13604192808270454,1.3286361694335938,4,4,7.0,0,34304,0,0.037805599997227546,0.25,0.25,0.25,5.722239828470135,0.8455285727977753,2,0.5,1,0,0,0.0,0.697921097278595,1.0,93,2,93,13,126,126,97,0.0,0.0,0.0
cta-exact-gated-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,2,2026072201,1.0,0.15,0.03472350000083679,0.00028670000028796494,0.004691199996159412,0.0,0.03970139999728417,64,64,3,3,3.8960485534231983,1.45194654838736,0.17443384964154607,0.3558836765078316,0.5131605691615002,0.7127966284751892,1.4516997387528945,0.75,0.5234375,nan,0.0,0.00390625,0.166015625,0.677734375,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014527685008943081,0.9999814629554749,0.0011733921710401773,0.04242974519729614,0.0032514086924493313,3.8441054821014404,0.15585214644670486,1.8193203210830688,0.04301039036363363,0.23396272957324982,4,4,7.0,0,34304,0,0.03472350000083679,0.25,0.25,0.25,7.277197474545577,0.5528377890586853,1,0.5,0,0,0,0.0,0.4964134246110916,1.0,31,1,31,0,102,102,15,0.0,0.0,0.0
cta-exact-rollout4-safe-balanced,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,3,2026072201,1.0,0.15,0.04566049999993993,0.00028670000028796494,0.004691199996159412,0.0,0.05063839999638731,64,64,3,3,3.8960485534231983,1.45194654838736,0.13856375080007455,0.3173398260515891,0.4072773133599815,0.9090561270713806,1.1639516746910294,0.75,0.33203125,nan,0.0,0.109375,0.150390625,0.623046875,16,1024,2048,32,2048,3072,473088,131072,0,342016,3002368.0,1441792.0,1560576.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.030732925981283188,0.9997885823249817,0.0008956415113061666,0.03843063861131668,0.010377186350524426,0.6074382066726685,0.15585214644670486,1.8193203210830688,0.13289033249020576,1.4530128240585327,4,4,7.0,0,34304,0,0.04566049999993993,0.10468750447034836,0.07451172173023224,0.10468750447034836,16.36161983147007,1.0205912292003632,4,0.5,1,1,1,0.1,0.9212542176246643,0.7822265625,105,2,105,9,128,128,97,0.0,0.0,0.0
cta-exact-fixed-control,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,0,2026072201,1.0,0.15,0.03563870000652969,0.00023270000383490697,0.0046356999955605716,0.0,0.04050710000592517,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06651654523901351,0.2062198173683499,0.4837577595315583,0.8110450506210327,3.1720881713119256,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.0078125,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.042231641709804535,0.9991428852081299,0.012391394935548306,0.11062304675579071,0.013943574391305447,26.702539443969727,0.6408268511295319,3.570643186569214,0.16058016568422318,0.6211928129196167,4,4,7.0,0,35328,0,0.03563870000652969,0.25,0.25,0.25,17.10779377028662,0.7630385458469391,1,0.5,0,0,0,0.0,0.6689928770065308,1.0,0,0,0,0,1,1,0,0.0,0.0,0.0
cta-exact-gated-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,1,2026072201,1.0,0.15,0.0360279000014998,0.00023270000383490697,0.0046356999955605716,0.0,0.04089630000089528,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06651654523901351,0.2062198173683499,0.4837577595315583,0.8110450506210327,3.1720881713119256,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.0078125,16,1024,2048,32,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.042231641709804535,0.9991428852081299,0.012391394935548306,0.11062304675579071,0.013943574391305447,26.702539443969727,0.6408268511295319,3.570643186569214,0.16058016568422318,0.6211928129196167,4,4,7.0,0,35328,0,0.0360279000014998,0.25,0.25,0.25,17.10779377028662,0.7630385458469391,1,0.5,0,0,0,0.0,0.6689928770065308,1.0,0,0,0,0,1,1,0,0.0,0.0,0.0
cta-exact-rollout2,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,2,2026072201,1.0,0.15,0.03705440000339877,0.00023270000383490697,0.0046356999955605716,0.0,0.04192280000279425,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05738752569358807,0.20839891512674996,0.40045510414726515,0.9812116026878357,3.490273554568523,0.5,0.09609375000000005,0.048046875,0.5,0.0,0.001953125,0.107421875,16,1024,2048,32,2048,3072,210944,131072,0,79872,2117632.0,1441792.0,675840.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.10880588740110397,0.9948347210884094,0.0324653685092926,0.17701740562915802,0.09616892039775848,15.862470626831055,0.6408268511295319,3.570643186569214,0.5428502261638641,1.8730589151382446,4,4,7.0,0,35328,0,0.03705440000339877,0.25,0.25,0.25,11.748673024662713,1.0171315371990204,2,0.5,1,0,0,0.0,0.949560284614563,1.0,3,2,3,0,16,16,0,0.0,0.0,0.0
cta-exact-rollout4-safe-balanced,NPR-d4-rare-gmm,rare-gmm,4,0,broad,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,3,2026072201,1.0,0.15,0.04781619999994291,0.00023270000383490697,0.0046356999955605716,0.0,0.05268459999933839,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06755416322346841,0.22520393573030087,0.3853761799116607,1.03851318359375,3.2532866729503978,0.5,0.06093750000000005,0.030468750000000003,0.5,0.0,0.01953125,0.17578125,16,1024,2048,32,2048,3072,473088,131072,0,342016,3002368.0,1441792.0,1560576.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.14386752247810364,0.9906593561172485,0.03518620878458023,0.18540656566619873,0.1323702037334442,9.26652717590332,0.6408268511295319,3.570643186569214,0.6420908272266388,2.507430076599121,4,4,7.0,0,35328,0,0.04781619999994291,0.06518555246293545,0.04746093973517418,0.06518555246293545,13.32784915590341,1.1814342737197876,4,0.5,1,1,1,0.1,1.141588181257248,0.6201171875,5,2,4,0,30,26,0,0.0,0.0,0.0
cta-exact-rollout4-safe-balanced,NPR-d8-correlated-t,correlated-t,8,0,broad,0.016,0.5,0.25,32,-1,256,128,256,256,8,1,variance-per-node,0.0,0,2026072201,1.0,0.15,0.07149240000580903,0.0005078000031062402,0.00481190000573406,0.0,0.07681210001464933,64,64,36,36,0.3208946893756642,8.81419112995982,0.06141746448632368,0.152520004427951,0.21417953684194388,0.9487833380699158,4.937929552193674,nan,nan,nan,nan,nan,nan,nan,16,1024,2048,32,2048,3072,524288,131072,0,393216,3006464.0,1441792.0,1564672.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,524288,1048576,256,variance-per-node,0.0,8,65536,90112.0,16384,1,524288,0.10004796087741852,0.9964876770973206,0.07426819950342178,0.2018636167049408,0.10447821021080017,4.914515018463135,0.9501815438270569,4.183297157287598,0.8726879358291626,1.702048659324646,2,2,30.5,0,37376,0,0.07149240000580903,0.07050781045109034,0.02255859412252903,0.07050781045109034,7.595179427191229,1.305518090724945,4,0.5,1,1,1,0.1,1.284356713294983,0.5498046875,0,0,0,0,0,0,0,0.0,0.0,0.0
cta-exact-gated-hybrid,NPR-d8-correlated-t,correlated-t,8,0,broad,0.016,0.5,0.25,32,-1,256,128,256,256,8,1,variance-per-node,0.0,1,2026072201,1.0,0.15,0.05316809999931138,0.0005078000031062402,0.00481190000573406,0.0,0.05848780000815168,64,64,36,36,0.3208946893756642,8.81419112995982,0.056829817858154996,0.14950328357625364,0.256328699664341,0.8004565834999084,4.786297597246825,nan,nan,nan,nan,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,0,98304,1826816.0,1441792.0,385024.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,524288,1048576,256,variance-per-node,0.0,8,65536,90112.0,16384,1,524288,0.0845201388001442,0.9971988201141357,0.03248247504234314,0.10427552461624146,0.03620791807770729,6.21769905090332,0.9501815438270569,4.183297157287598,0.31831295043230057,0.7310017943382263,2,2,31.0,0,37376,0,0.05316809999931138,0.25,0.25,0.25,18.25263120660434,0.9303761720657349,1,0.5,0,0,0,0.0,0.8012296259403229,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
