arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,component_core_coverage,rare_core_mass,rare_bridge_mass,outside_component_core_mass,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,registered_global_rollout_steps,registered_global_rollout_step_size,rollout_local_after_global,per_particle_local_safety,tail_balanced_amortization,tail_balance_fraction,mean_global_rollout_displacement_rms,mean_local_positive_weight_fraction,maximum_teacher_rare_core_count,steps_with_teacher_rare_core,final_teacher_rare_core_count,maximum_run_rare_core_count,maximum_teacher_rare_nearest_count,final_teacher_rare_nearest_count,maximum_run_rare_nearest_count,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-rollout4-safe-balanced,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,0,2026072201,1.0,0.15,0.42535119999956805,0.0002649000016390346,0.05171080000582151,0.0,0.4773269000070286,64,64,3,3,3.8960485534231983,1.45194654838736,0.005453314068878834,0.056390810025017384,0.13870750919444644,0.97768235206604,1.0614906838458984,1.0,0.181640625,nan,1.0,0.21875,0.0234375,0.07666015625,160,10240,20480,320,20480,30720,4730880,1310720,0,3420160,34377797.592530765,18772037.592530765,15605760.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.037145414389669895,0.9990938305854797,0.0018611645209603012,0.04826783388853073,0.0227656327188015,1.1214570999145508,0.13132727071642875,1.987346887588501,0.1134684968739748,1.7693291902542114,4,4,7.0,0,67584,0,0.42535119999956805,0.0527490243781358,0.015527344308793545,0.0527490243781358,19.624691731154048,0.3621867708861828,4,0.5,1,1,1,0.1,0.33973272815346717,0.448046875,125,20,122,129,129,129,151,0.0,0.0,0.0
cta-exact-rollout2,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,1,2026072201,1.0,0.15,0.3328421999976854,0.0002649000016390346,0.05171080000582151,0.0,0.38481790000514593,64,64,3,3,3.8960485534231983,1.45194654838736,0.03360449355358752,0.1254393971007381,0.22601116320489745,1.064157485961914,1.057868640649776,1.0,0.1279296875,nan,1.0,0.22998046875,0.0244140625,0.1015625,160,10240,20480,320,20480,30720,2109440,1310720,0,798720,25530437.592530765,18772037.592530765,6758400.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.014380506705492735,0.9998729825019836,0.0021864939481019974,0.047025203704833984,0.017553962767124176,1.9648069143295288,0.13132727071642875,1.987346887588501,0.10669495537877083,1.3054120540618896,4,4,7.0,0,67584,0,0.3328421999976854,0.25,0.25,0.25,9.7296093109316,0.2939319871366024,2,0.5,1,0,0,0.0,0.2546043056994677,1.0,125,20,120,126,131,128,150,0.0,0.0,0.0
cta-exact-fixed-control,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,2,2026072201,1.0,0.15,0.2968387000000803,0.0002649000016390346,0.05171080000582151,0.0,0.3488144000075408,64,64,3,3,3.8960485534231983,1.45194654838736,0.006372914759106729,0.06723542549452853,0.20014628049178307,1.0105931758880615,1.0773700174974392,1.0,0.2021484375,nan,1.0,0.224609375,0.03173828125,0.09326171875,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.018003134056925774,0.9999029040336609,0.0016921425121836364,0.04397875629365444,0.006552725099027157,5.441664695739746,0.13132727071642875,1.987346887588501,0.10122429903130978,1.4523706436157227,4,4,7.0,0,67584,0,0.2968387000000803,0.25,0.25,0.25,7.330414028697999,0.1882508497685194,1,0.5,0,0,0,0.0,0.1664379883557558,1.0,120,19,118,119,134,131,148,0.0,0.0,0.0
cta-exact-rollout4-safe,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,3,2026072201,1.0,0.15,0.4151657999973395,0.0002649000016390346,0.05171080000582151,0.0,0.46714150000480004,64,64,3,3,3.8960485534231983,1.45194654838736,0.008511737154246246,0.07618856403683903,0.1440214173832044,0.9488757252693176,1.0683706530986046,1.0,0.1982421875,nan,1.0,0.2099609375,0.0322265625,0.099609375,160,10240,20480,320,20480,30720,4730880,1310720,0,3420160,34377797.592530765,18772037.592530765,15605760.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.06296055857092142,0.9977157115936279,0.0024956074194051325,0.05136973597109318,0.027288390323519707,1.1214570999145508,0.13132727071642875,1.987346887588501,0.12247172594070435,1.9250311851501465,4,4,7.0,0,67584,0,0.4151657999973395,0.05535156356636435,0.0062500000931322575,0.05535156356636435,19.52845912837453,0.37060618698596953,4,0.5,1,1,0,0.0,0.34730675145983697,0.45087890625,125,20,121,128,129,129,152,0.0,0.0,0.0
cta-exact-gated-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,4,2026072201,1.0,0.15,0.29074219999893103,0.0002649000016390346,0.05171080000582151,0.0,0.3427179000063916,64,64,3,3,3.8960485534231983,1.45194654838736,0.006372914759106729,0.06723542549452853,0.20014628049178307,1.0105931758880615,1.0773700174974392,1.0,0.2021484375,nan,1.0,0.224609375,0.03173828125,0.09326171875,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.018003134056925774,0.9999029040336609,0.0016921425121836364,0.04397875629365444,0.006552725099027157,5.441664695739746,0.13132727071642875,1.987346887588501,0.10122429903130978,1.4523706436157227,4,4,7.0,0,67584,0,0.29074219999893103,0.25,0.25,0.25,7.330414028697999,0.1882508497685194,1,0.5,0,0,0,0.0,0.1664379883557558,1.0,120,19,118,119,134,131,148,0.0,0.0,0.0
cta-exact-rollout4,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,5,2026072201,1.0,0.15,0.37549639999633655,0.0002649000016390346,0.05171080000582151,0.0,0.4274721000037971,64,64,3,3,3.8960485534231983,1.45194654838736,0.023752482666549612,0.11387464949470937,0.17299845608872153,0.9526160359382629,1.0709308849294483,1.0,0.2294921875,nan,1.0,0.21044921875,0.03173828125,0.115234375,160,10240,20480,320,20480,30720,2764800,1310720,0,1454080,31428677.592530765,18772037.592530765,12656640.0,0,0,0,0,0.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.05340664181858301,0.9975588917732239,0.002309850591700524,0.05069773271679878,0.021949969232082367,1.1214570999145508,0.13132727071642875,1.987346887588501,0.119191275537014,1.639050006866455,4,4,7.0,0,67584,0,0.37549639999633655,0.25,0.25,0.25,20.122731317394198,0.3901240214705467,4,0.5,1,0,0,0.0,0.3484951466321945,1.0,124,20,120,126,130,128,159,0.0,0.0,0.0
cta-exact-rollout4,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,0,2026072201,1.0,0.15,0.38209610000194516,0.00018249999993713573,0.05072400000062771,0.0,0.43300260000251,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01909253286122725,0.1385026149347475,0.2114250192303223,1.1152409315109253,1.3573984150160094,1.0,0.04550781249999995,0.022753906249999997,1.0,0.03466796875,0.0380859375,0.09765625,160,10240,20480,320,20480,30720,2764800,1310720,0,1454080,31428677.592530765,18772037.592530765,12656640.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.17713451385498047,0.9837071299552917,0.002004191279411316,0.065956249833107,0.08284880965948105,4.503509521484375,0.22988930493593215,3.1668126583099365,0.22847356274724007,2.7608633041381836,4,4,7.0,0,67584,0,0.38209610000194516,0.25,0.25,0.25,14.888740186654829,0.5018959090113639,4,0.5,1,0,0,0.0,0.4426767110824585,1.0,23,20,21,18,28,26,49,0.0,0.0,0.0
cta-exact-rollout4-safe-balanced,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,1,2026072201,1.0,0.15,0.4037238000018988,0.00018249999993713573,0.05072400000062771,0.0,0.4546303000024636,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01121953255597985,0.09940782060216256,0.19022674862464375,1.0406574010849,1.361957086959945,1.0,0.04941406249999995,0.024707031249999997,1.0,0.04052734375,0.0341796875,0.06787109375,160,10240,20480,320,20480,30720,4730880,1310720,0,3420160,34377797.592530765,18772037.592530765,15605760.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.17621619254350662,0.9843121767044067,0.00219165429007262,0.06741447746753693,0.08284880965948105,4.503509521484375,0.22988930493593215,3.1668126583099365,0.22190209925174714,2.701658248901367,4,4,7.0,0,67584,0,0.4037238000018988,0.06546386936679482,0.02626953274011612,0.06546386936679482,14.80206561782472,0.46634883210062983,4,0.5,1,1,1,0.1,0.43611196875572206,0.50751953125,22,20,21,23,27,26,43,0.0,0.0,0.0
cta-exact-rollout2,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,2,2026072201,1.0,0.15,0.32029090000287397,0.00018249999993713573,0.05072400000062771,0.0,0.3711974000034388,64,64,3,3,3.7872162686682413,1.4936707724593687,0.021883511366472153,0.1308777460869655,0.1750361910365283,0.9943704605102539,1.5519047932906465,1.0,0.029882812499999953,0.014941406249999997,0.5,0.0244140625,0.04052734375,0.08935546875,160,10240,20480,320,20480,30720,2109440,1310720,0,798720,25530437.592530765,18772037.592530765,6758400.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.11304094642400742,0.9917111992835999,0.0023960083490237594,0.06709851324558258,0.07972075790166855,9.650754928588867,0.22988930493593215,3.1668126583099365,0.2069293737411499,2.2211689949035645,4,4,7.0,0,67584,0,0.32029090000287397,0.25,0.25,0.25,8.128409737836186,0.39094305261969564,2,0.5,1,0,0,0.0,0.3345541998744011,1.0,23,20,16,23,31,26,50,0.0,0.0,0.0
cta-exact-rollout4-safe,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,3,2026072201,1.0,0.15,0.4003413000027649,0.00018249999993713573,0.05072400000062771,0.0,0.45124780000332976,64,64,3,3,3.7872162686682413,1.4936707724593687,0.006428120871279308,0.08170914003057991,0.15898840214185636,1.0624558925628662,1.3764031659196434,1.0,0.04257812499999995,0.021289062499999997,1.0,0.03369140625,0.03759765625,0.08837890625,160,10240,20480,320,20480,30720,4730880,1310720,0,3420160,34377797.592530765,18772037.592530765,15605760.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.17679301649332047,0.9837440848350525,0.001979048363864422,0.06533701345324516,0.08284880965948105,4.503509521484375,0.22988930493593215,3.1668126583099365,0.22084900140762329,2.8209481239318848,4,4,7.0,0,67584,0,0.4003413000027649,0.06676758211106062,0.02578125149011612,0.06676758211106062,15.160148082923413,0.47388453781604767,4,0.5,1,1,0,0.0,0.44243972674012183,0.546875,23,20,20,21,28,26,50,0.0,0.0,0.0
