arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,component_core_coverage,rare_core_mass,rare_bridge_mass,outside_component_core_mass,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,diagnostic_generator_forward_calls,diagnostic_generator_example_evals,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,tail_priority_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,registered_global_rollout_steps,registered_global_rollout_step_size,rollout_local_after_global,per_particle_local_safety,tail_balanced_amortization,tail_balance_fraction,tail_projected_extremeness_weight,mean_tail_balanced_count,mean_student_loss,mean_tail_student_loss,mean_bulk_student_loss,mean_global_rollout_displacement_rms,mean_local_positive_weight_fraction,maximum_teacher_rare_core_count,steps_with_teacher_rare_core,final_teacher_rare_core_count,maximum_run_rare_core_count,maximum_post_student_rare_core_count,final_post_student_rare_core_count,steps_retaining_teacher_rare_core,mean_teacher_to_post_student_rare_core_ratio,maximum_teacher_rare_nearest_count,final_teacher_rare_nearest_count,maximum_run_rare_nearest_count,maximum_post_student_rare_nearest_count,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-adaptive-rollout-rank-balanced,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,0,2026072201,1.0,0.15,0.033590999999432825,0.00026790000265464187,0.004686399995989632,0.0,0.0385452999980771,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,0.25,0.0,0.130859375,0.498046875,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014867683872580528,0.9999961853027344,0.0004148309235461056,0.03691382333636284,0.0006146212690509856,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,4,4,7.0,0,34304,0,0.033590999999432825,0.25,0.25,0.25,8.1296067753319,0.5909262597560883,1,0.5,0,0,0,0.0,0.0,0.0,0.08172084065154195,0.0,0.0,0.5480405390262604,1.0,20,1,20,0,0,0,0,0.0,97,97,1,68,0.0,0.0,0.0
cta-exact-adaptive-rollout,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,1,2026072201,1.0,0.15,0.042881800000031944,0.00026790000265464187,0.004686399995989632,0.0,0.04783609999867622,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,0.25,0.0,0.130859375,0.498046875,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014867683872580528,0.9999961853027344,0.0004148309235461056,0.03691382333636284,0.0006146212690509856,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,4,4,7.0,0,34304,0,0.042881800000031944,0.25,0.25,0.25,8.1296067753319,0.5909262597560883,1,0.5,0,0,0,0.0,0.0,0.0,0.08172084065154195,0.0,0.0,0.5480405390262604,1.0,20,1,20,0,0,0,0,0.0,97,97,1,68,0.0,0.0,0.0
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,128,0,256,8,1,dense,0.0,2,2026072201,1.0,0.15,0.028267899993807077,0.0,0.0,0.0,0.028267899993807077,64,64,3,3,3.8960485534231983,1.45194654838736,0.08424465930138147,0.2292989368110679,0.356485704120285,1.000925898551941,1.0570234376285568,1.0,0.19921875,nan,0.25,0.203125,0.111328125,0.4609375,32,2048,2048,32,0,0,2048,2048,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.028267899993807077,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout-safe,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,3,2026072201,1.0,0.15,0.03284180000628112,0.00026790000265464187,0.004686399995989632,0.0,0.03779610000492539,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,0.25,0.0,0.130859375,0.498046875,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014867683872580528,0.9999961853027344,0.0004148309235461056,0.03691382333636284,0.0006146212690509856,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,4,4,7.0,0,34304,0,0.03284180000628112,0.25,0.25,0.25,8.1296067753319,0.5909262597560883,1,0.5,0,0,0,0.0,0.0,0.0,0.08172084065154195,0.0,0.0,0.5480405390262604,1.0,20,1,20,0,0,0,0,0.0,97,97,1,68,0.0,0.0,0.0
cta-exact-adaptive-rollout-safe-rank-balanced,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,4,2026072201,1.0,0.15,0.03408520000084536,0.00026790000265464187,0.004686399995989632,0.0,0.039039499999489635,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,0.25,0.0,0.130859375,0.498046875,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,4096,1,524288,0.014867683872580528,0.9999961853027344,0.0004148309235461056,0.03691382333636284,0.0006146212690509856,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,4,4,7.0,0,34304,0,0.03408520000084536,0.25,0.25,0.25,8.1296067753319,0.5909262597560883,1,0.5,0,0,0,0.0,0.0,0.0,0.08172084065154195,0.0,0.0,0.5480405390262604,1.0,20,1,20,0,0,0,0,0.0,97,97,1,68,0.0,0.0,0.0
paper-neural-optimized,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,0,128,0,256,8,1,dense,0.0,0,2026072201,1.0,0.15,0.03155630000401288,0.0,0.0,0.0,0.03155630000401288,64,64,10,10,1.7834038959718805,2.2429019074336867,0.1655279550006914,0.3444067851556674,0.6384210041263431,0.6665589213371277,2.597606034094851,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.0,32,2048,2048,32,0,0,2048,2048,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.03155630000401288,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout-rank-balanced,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,1,2026072201,1.0,0.15,0.033762599996407516,0.000214299994695466,0.004800500006240327,0.0,0.03877739999734331,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.00390625,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.04226432740688324,0.9991512894630432,0.00464695505797863,0.07938965409994125,0.004800168331712484,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,4,4,7.0,0,35328,0,0.033762599996407516,0.25,0.25,0.25,19.61842124958582,0.8522603809833527,1,0.5,0,0,0,0.0,0.0,0.0,0.14717698679305613,0.0,0.0,0.7699030935764313,1.0,0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout-safe-rank-balanced,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,2,2026072201,1.0,0.15,0.03438589999859687,0.000214299994695466,0.004800500006240327,0.0,0.03940069999953266,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.00390625,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.04226432740688324,0.9991512894630432,0.00464695505797863,0.07938965409994125,0.004800168331712484,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,4,4,7.0,0,35328,0,0.03438589999859687,0.25,0.25,0.25,19.61842124958582,0.8522603809833527,1,0.5,0,0,0,0.0,0.0,0.0,0.14717698679305613,0.0,0.0,0.7699030935764313,1.0,0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,3,2026072201,1.0,0.15,0.0341647000022931,0.000214299994695466,0.004800500006240327,0.0,0.039179500003228895,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.00390625,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.04226432740688324,0.9991512894630432,0.00464695505797863,0.07938965409994125,0.004800168331712484,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,4,4,7.0,0,35328,0,0.0341647000022931,0.25,0.25,0.25,19.61842124958582,0.8522603809833527,1,0.5,0,0,0,0.0,0.0,0.0,0.14717698679305613,0.0,0.0,0.7699030935764313,1.0,0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout-safe,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,1,fixed-level,0.0,4,2026072201,1.0,0.15,0.034137500006181654,0.000214299994695466,0.004800500006240327,0.0,0.039152300007117447,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,0.5,0.0,0.0,0.00390625,16,1024,2048,32,16,1024,2048,3072,178176,131072,0,47104,1822720.0,1441792.0,380928.0,0.0,0,0,0,0,0.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,fixed-level,0.0,7,14336,86016.0,8192,1,524288,0.04226432740688324,0.9991512894630432,0.00464695505797863,0.07938965409994125,0.004800168331712484,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,4,4,7.0,0,35328,0,0.034137500006181654,0.25,0.25,0.25,19.61842124958582,0.8522603809833527,1,0.5,0,0,0,0.0,0.0,0.0,0.14717698679305613,0.0,0.0,0.7699030935764313,1.0,0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0.0,0.0
