all_reportable_components_reached,arm,best_before_handoff_ed2,best_ed2,best_ed2_step,cell,diverged,ed2,family,finisher,five_step_ed2_change,floor_activations,handoff,handoff_ed2,init,label_free_event_censored,label_free_event_time,mass_l1,minimum_component_occupancy,occupancy_event_censored,occupancy_event_time,output_mean,output_q01,output_q10,output_q50,output_q90,output_q99,output_std,quantile_cdf_error,reference_mode,seed,sw1,target,tau,wall_seconds
0.0,paper-0.5,0.56740169803335,0.08595967714303976,42,CF-A01-rare005/missing,0,0.11623929408238554,separated-unequal-rare,paper,nan,0,continuous,0.56740169803335,missing,1,60,0.35000000000000003,0.0,1,60,-1.3552187109861502,-3.860680532067305,-2.9094306687008116,-1.246454068765439,0.0632457184316224,0.35770761814042207,1.0829581482965507,0.08833165322580645,reused_masked,0,0.38668434803936547,CF-A01-rare005,0.5,0.07384080000338145
0.0,qld-v1,0.10605211582474783,0.10456599068055894,60,CF-A01-rare005/missing,0,0.10456599068055894,separated-unequal-rare,paper,-0.000890243997660578,0,carry,0.10605211582474783,missing,1,60,0.34609375000000003,0.0,1,60,-1.4274935926321382,-3.3197496638845605,-2.7822204348242914,-1.2198918300414316,-0.25580953712028626,-0.10674592542594374,0.9635915499496952,0.1045866935483871,reused_masked,0,0.3914326645696515,CF-A01-rare005,0.5,0.1150723000173457
0.0,qld-full,0.10605211582474783,0.10224939464151461,47,CF-A01-rare005/missing,0,0.13898117357422302,separated-unequal-rare,qld,-0.0038027211832332153,0,carry,0.10605211582474783,missing,1,60,0.39687500000000003,0.0,1,60,-1.2674825298562562,-3.2803082967474553,-2.675450118972627,-1.067377298138081,-0.030945046070445986,0.1334289125838962,1.0083645565158212,0.10956401209677419,,0,0.42273152458936375,CF-A01-rare005,,0.14993770001456141
0.0,qld-paper-reset,0.10605211582474783,0.09812291070770018,44,CF-A01-rare005/missing,0,0.1237340568166434,separated-unequal-rare,paper,-0.0034485894748783608,0,reset,0.10605211582474783,missing,1,60,0.36953125000000003,0.0,1,60,-1.409198756912225,-2.903619756617857,-2.7033102142509278,-1.2527717494868775,-0.4249957418760273,-0.32174726668502734,0.8632445713234408,0.10798891129032258,reused_masked,0,0.416210832538807,CF-A01-rare005,0.5,0.18339560000458732
0.0,qld-mean-crossfit-t0.2,0.10605211582474783,0.09867447699485399,44,CF-A01-rare005/missing,0,0.11325733947622374,separated-unequal-rare,mean,0.03741992636941616,0,reset,0.10605211582474783,missing,1,60,0.5015624999999999,0.0,1,60,-1.698811164482621,-2.882064165670245,-2.625839768671075,-1.5879084222350495,-0.902494485181694,-0.8160595698366048,0.6533593450051423,0.1042086693548387,crossfit,0,0.4211734192965547,CF-A01-rare005,0.2,0.21845960000064224
0.0,qld-sharp-deleted-t0.2,0.10605211582474783,0.09887677718273347,44,CF-A01-rare005/missing,0,0.11844739296178841,separated-unequal-rare,sharp,0.031161058864720648,0,reset,0.10605211582474783,missing,1,60,0.52109375,0.0,1,60,-1.6920079485460429,-2.7773799144403175,-2.5599024166763567,-1.5494999739942914,-0.9734826165191748,-0.8961443012485469,0.6153365628438943,0.1061617943548387,reused_deleted,0,0.4246896832246496,CF-A01-rare005,0.2,0.25112060000537895
0.0,qld-sharp-crossfit-t0.2,0.10605211582474783,0.09649429636589213,44,CF-A01-rare005/missing,0,0.1146767471536081,separated-unequal-rare,sharp,0.028793337475971903,0,reset,0.10605211582474783,missing,1,60,0.52109375,0.0,1,60,-1.6844488953324626,-2.7871757277628704,-2.570837123052452,-1.5678945755226468,-0.9379671897554961,-0.8740314379795288,0.6280525147786992,0.09979838709677419,crossfit,0,0.41735030257986383,CF-A01-rare005,0.2,0.28333100001327693
0.0,qld-kgrad-crossfit-t0.2,0.10605211582474783,0.09599641599488407,44,CF-A01-rare005/missing,0,0.1251240813941903,separated-unequal-rare,kgrad,0.037913347876260994,0,reset,0.10605211582474783,missing,1,60,0.55234375,0.0,1,60,-1.6594857765592264,-2.6650001712858864,-2.5020853656227273,-1.5258289981558812,-1.014712757525383,-0.9359426064910509,0.5846469862119296,0.10301159274193548,crossfit,0,0.4237055650992168,CF-A01-rare005,0.2,0.3181928000121843
0.0,qld-mean-crossfit-t0.5,0.10605211582474783,0.10411310915899463,44,CF-A01-rare005/missing,0,0.11398176713961705,separated-unequal-rare,mean,0.029657552518373542,0,reset,0.10605211582474783,missing,1,60,0.46640624999999997,0.0,1,60,-1.742770245279572,-2.9731698099973234,-2.7230785070160746,-1.6386816742630481,-0.8817722568541357,-0.7900457516019858,0.6958013166345552,0.10509072580645161,crossfit,0,0.4296926237842969,CF-A01-rare005,0.5,0.3480107999930624
0.0,qld-sharp-deleted-t0.5,0.10605211582474783,0.10037045293835978,44,CF-A01-rare005/missing,0,0.10348440275821091,separated-unequal-rare,sharp,0.010400271217563706,0,reset,0.10605211582474783,missing,1,60,0.53671875,0.0,1,60,-1.6527979374782134,-2.9305142335765333,-2.7450989696763206,-1.5100385107623708,-0.7856105105396065,-0.6774197325806185,0.7472039436250957,0.09003276209677419,reused_deleted,0,0.39835815676850894,CF-A01-rare005,0.5,0.3841684000217356
0.0,qld-sharp-crossfit-t0.5,0.10605211582474783,0.09846232662836663,44,CF-A01-rare005/missing,0,0.10314899147798506,separated-unequal-rare,sharp,0.011713743668926746,0,reset,0.10605211582474783,missing,1,60,0.5015624999999999,0.0,1,60,-1.6895300557208923,-3.0019892714783296,-2.7203883944400027,-1.5849446836888805,-0.782472536505045,-0.685679394880281,0.7285773292478424,0.0911038306451613,crossfit,0,0.39972047874222394,CF-A01-rare005,0.5,0.4164472999982536
0.0,qld-kgrad-crossfit-t0.5,0.10605211582474783,0.09647308862501558,44,CF-A01-rare005/missing,0,0.11674402725239452,separated-unequal-rare,kgrad,0.02613960936800419,0,reset,0.10605211582474783,missing,1,60,0.5171875,0.0,1,60,-1.6923968924637687,-2.765938281679036,-2.5613942673836054,-1.57130105914451,-0.9739713586899392,-0.9012306513123653,0.618083309755038,0.1022555443548387,crossfit,0,0.42124199330696077,CF-A01-rare005,0.5,0.4493378000042867
