arm,cell,seed,ed2,family,init
paper,NCJG-gaussian-1d/broad,0,0.004213567908957883,gaussian,broad
paper,NCJG-gaussian-1d/broad,1,0.006091215535789951,gaussian,broad
paper,NCJG-gaussian-1d/broad,2,0.0005366298462465835,gaussian,broad
paper,NCJG-gaussian-1d/broad,3,0.000756470977624546,gaussian,broad
paper,NCJG-gaussian-1d/broad,4,0.004180784374166913,gaussian,broad
paper,NCJG-gaussian-1d/broad,5,0.007010378111616533,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,0,0.0029728759101399493,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,1,0.00348477432678318,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,2,0.0010230818089096427,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,3,0.0005315052792175257,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,4,0.003077356501938522,gaussian,broad
pow-g0.0,NCJG-gaussian-1d/broad,5,0.007745007779836444,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,0,0.003893662216094995,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,1,0.0037076953078334363,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,2,0.000826272312683396,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,3,0.0005860358705502833,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,4,0.004268006179736661,gaussian,broad
pow-g0.5,NCJG-gaussian-1d/broad,5,0.00716028260649304,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,0,0.004213567908958105,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,1,0.006091215535790062,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,2,0.0005366298462468055,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,3,0.0007564709776244349,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,4,0.004180784374166913,gaussian,broad
pow-g1.0,NCJG-gaussian-1d/broad,5,0.0070103781116162,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,0,0.004778462620195212,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,1,0.0038262074819398473,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,2,0.0007997593473406672,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,3,0.0010072921748474073,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,4,0.004078117370677425,gaussian,broad
pow-g1.5,NCJG-gaussian-1d/broad,5,0.007599431349089247,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,0,0.005036221566870003,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,1,0.00325434277384129,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,2,0.0010757874250186816,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,3,0.001242337367581503,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,4,0.004071777443998892,gaussian,broad
pow-g2.0,NCJG-gaussian-1d/broad,5,0.008914889340246535,gaussian,broad
paper,NCJG-gaussian-1d/missing,0,0.0029011697419191185,gaussian,missing
paper,NCJG-gaussian-1d/missing,1,0.004563066857354525,gaussian,missing
paper,NCJG-gaussian-1d/missing,2,0.001048181910497048,gaussian,missing
paper,NCJG-gaussian-1d/missing,3,0.000987144898567549,gaussian,missing
paper,NCJG-gaussian-1d/missing,4,0.0027562274004109266,gaussian,missing
paper,NCJG-gaussian-1d/missing,5,0.0013927481618014603,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,0,0.002499086872408407,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,1,0.004371327031109096,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,2,0.0008329360723499102,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,3,0.001452458752323249,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,4,0.002702701843090849,gaussian,missing
pow-g0.0,NCJG-gaussian-1d/missing,5,0.001515207233007576,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,0,0.0026417090660273423,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,1,0.004569302493149352,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,2,0.0008844992300068855,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,3,0.0012271777158302521,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,4,0.002712516645740015,gaussian,missing
pow-g0.5,NCJG-gaussian-1d/missing,5,0.0013342614818145915,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,0,0.0029011697419191185,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,1,0.004563066857354525,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,2,0.001048181910496826,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,3,0.000987144898567549,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,4,0.0027562274004110376,gaussian,missing
pow-g1.0,NCJG-gaussian-1d/missing,5,0.0013927481618014603,gaussian,missing
pow-g1.5,NCJG-gaussian-1d/missing,0,0.003275379479463325,gaussian,missing
