arm,target,family,dimension,init,cell,seed,ed2,sw1,mode_coverage,mass_error,support_coverage,residual,event_time,censored,diverged,degenerate_rows,training_kernel_pairs,total_kernel_pairs,generator_forwards,wall_seconds,particle_spread,spread_ratio,tau,eta,sigma_ratio,sigma,gain,crossfit,mask,norm_clip,pq_p10,pq_median,delta_norm_median,ess_pos_median,ess_neg_median,field_norm_median,self_leverage_mean
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,0,0.008572429892265365,0.05606282744358546,nan,nan,0.9208984375,0.03781998700788875,1,0,0,0,2150400,2155776,0,0.20097510000050534,0.8401309173616854,1.2281951519501424,0.35,0.0525,0.0,0.0,paper,0,1,,0.23215015070621514,0.5863358044248721,0.06217448780576966,33.36739442381194,24.644809416891228,0.029721422694391115,nan
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,1,0.007105969876245344,0.04840331189934195,nan,nan,0.908203125,0.04138271951058597,1,0,0,0,2150400,2155776,0,0.21077399999194313,0.8190490747788274,1.172990786699601,0.35,0.0525,0.0,0.0,paper,0,1,,0.19045556310388442,0.5804455382563002,0.0748333563479752,33.04728943335084,25.348540522351346,0.03918312243812057,nan
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,2,0.007017739062236239,0.04778999096633131,nan,nan,0.8955078125,0.043723062270625564,1,0,0,0,2150400,2155776,0,0.20593530000769533,0.8275741132140626,1.1767980624302872,0.35,0.0525,0.0,0.0,paper,0,1,,0.19187327227936418,0.5708905277718487,0.07493697600071864,34.16900211368795,24.845338985076317,0.037767576913598486,nan
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,3,0.007294829037378214,0.051044703675050436,nan,nan,0.9111328125,0.058513185418401246,1,0,0,0,2150400,2155776,0,0.20000110000546556,0.8347823811367188,1.2008131515125988,0.35,0.0525,0.0,0.0,paper,0,1,,0.26576238697352295,0.5934075044880259,0.09959622567582305,30.88768843926845,25.24291928718324,0.047235156597788056,nan
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,4,0.010777108226109222,0.06310622791367258,nan,nan,0.8994140625,0.03794766352381966,1,0,0,0,2150400,2155776,0,0.19564820000960026,0.8740732228590418,1.2933080195644382,0.35,0.0525,0.0,0.0,paper,0,1,,0.20524938339180468,0.5978979396535529,0.0471203733494773,32.245453924912525,24.56124992028013,0.026627344982688077,nan
paper,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,5,0.006737089458081269,0.04755726934727722,nan,nan,0.9072265625,0.03502009255258569,1,0,0,0,2150400,2155776,0,0.19878659999812953,0.8228658505846757,1.1961661632758949,0.35,0.0525,0.0,0.0,paper,0,1,,0.19484491887172078,0.5783162120427014,0.049953852783722746,37.161204718952106,24.98239982386543,0.02481649266751789,nan
normalized-only,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,0,0.016548643310561495,0.09396416578003138,nan,nan,0.921875,0.09084122552053688,1,0,0,0,2150400,2155776,0,0.19959779999044258,0.9974407380217538,1.458167832512337,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.16703199460429885,0.5717292285143134,0.06660177419774296,32.082576327711216,24.313308875853597,0.06660177419774296,nan
normalized-only,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,1,0.014532675411082496,0.08110563569582327,nan,nan,0.8935546875,0.12028804912920699,1,0,0,0,2150400,2155776,0,0.19879470000159927,0.9812390677707679,1.405269136474665,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.09868279002992017,0.59567109275324,0.0788946960720327,31.13849815038307,24.186379277708035,0.0788946960720327,nan
normalized-only,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,2,0.01271555307013883,0.0746382201744673,nan,nan,0.880859375,0.14454560927359592,1,0,0,0,2150400,2155776,0,0.19822279999789316,0.9529498964266305,1.355080558709948,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.18012209077458294,0.5721335570658437,0.07379419966797825,33.91701075679517,24.878932137050136,0.07379419966797825,nan
normalized-only,NCJT-gaussian-2d-aniso,gaussian,2,covered,NCJT-gaussian-2d-aniso/covered,3,0.014154466402996446,0.0840469209979676,nan,nan,0.892578125,0.1250479956696592,1,0,0,0,2150400,2155776,0,0.19862869998905808,0.9963393332952446,1.4332087042386652,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.18718680274038196,0.5869900669246476,0.09998526999044935,30.487518327147626,23.843329568796925,0.09998526999044935,nan
