stream,order,repeat,implementation,chunks,merged,n,retained_items,serialized_bytes,max_rank_error,mean_rank_error,quantile_rmse,monotone,observed_support,serialized_replay
gaussian,shuffled,0,apache,1,0,19200,344,1436,0.010624999999999996,0.005461425781250003,0.046445414423942566,1,1,1
gaussian,shuffled,0,local-fixed-capacity,1,0,19200,75,300,0.012552083333333325,0.006021321614583333,0.11055603623390198,1,1,1
gaussian,shuffled,1,apache,1,0,19200,344,1436,0.008802083333333321,0.0028491210937500056,0.03643971309065819,1,1,1
gaussian,shuffled,1,local-fixed-capacity,1,0,19200,75,300,0.007864583333333341,0.0034391276041666674,0.02949592098593712,1,1,1
gaussian,shuffled,2,apache,1,0,19200,344,1436,0.007239583333333355,0.002531738281249997,0.03265884146094322,1,1,1
gaussian,shuffled,2,local-fixed-capacity,1,0,19200,75,300,0.009583333333333388,0.004003092447916668,0.04796867445111275,1,1,1
gaussian,shuffled,3,apache,1,0,19200,344,1436,0.009218750000000053,0.0032584635416666686,0.035691119730472565,1,1,1
gaussian,shuffled,3,local-fixed-capacity,1,0,19200,75,300,0.007708333333333345,0.0034098307291666637,0.028397180140018463,1,1,1
gaussian,shuffled,4,apache,1,0,19200,344,1436,0.012447916666666666,0.0038045247395833343,0.042555682361125946,1,1,1
gaussian,shuffled,4,local-fixed-capacity,1,0,19200,75,300,0.011093750000000013,0.00486490885416667,0.06739788502454758,1,1,1
gaussian,shuffled,5,apache,1,0,19200,344,1436,0.007031250000000044,0.002609049479166671,0.033608756959438324,1,1,1
gaussian,shuffled,5,local-fixed-capacity,1,0,19200,75,300,0.00708333333333333,0.0033292643229166667,0.02615353837609291,1,1,1
gaussian,shuffled,6,apache,1,0,19200,344,1436,0.010468750000000027,0.0027913411458333343,0.03329800069332123,1,1,1
gaussian,shuffled,6,local-fixed-capacity,1,0,19200,75,300,0.007604166666666662,0.0033927408854166653,0.027985751628875732,1,1,1
gaussian,shuffled,7,apache,1,0,19200,344,1436,0.00854166666666667,0.002659505208333331,0.029873020946979523,1,1,1
gaussian,shuffled,7,local-fixed-capacity,1,0,19200,75,300,0.009531249999999991,0.003979492187499998,0.04507564753293991,1,1,1
gaussian,shuffled,8,apache,1,0,19200,344,1436,0.011927083333333331,0.004660644531249999,0.048783592879772186,1,1,1
gaussian,shuffled,8,local-fixed-capacity,1,0,19200,75,300,0.007708333333333317,0.0034098307291666676,0.027096739038825035,1,1,1
