arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,30,30,0.018467900008545257,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.03753855706115283,0.2988642278865347,0.86,0.5510937499999999,30,1,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,30,30,0.024826500011840835,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.03779439254551176,0.2968145312178562,0.86,0.5745312499999999,30,1,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,30,30,0.017079899989767,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.030637430806563337,0.26622531875153965,0.86,0.5120312499999999,30,1,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,30,30,0.015106199993169867,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.0649021412641897,0.32253854000481075,0.86,0.37906249999999997,30,1,0
paper-4,paper,4.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,30,30,0.011538199993083254,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.18181027765088542,0.5377955617684607,0.56,0.88,30,1,0
qld-v1,qld,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.7,30,30,0.006538300003740005,30,960,960,960,18432,6720.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.04061976875771611,0.29232033247837264,0.86,0.38687499999999997,30,1,0
rsr-M1024-f0.70-e,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,examples,1024,0.7,1,1,0.004586299997754395,64,2048,1024,1024,0,20480.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.9733782752372737,1.363562210607436,0.0,1.44,1,1,0
rsr-M1024-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,1024,0.7,30,30,0.0925456000113627,1353,43296,21792,21792,18432,430080.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.03611825602685004,0.2497939451570754,0.86,0.45734375,30,1,0
rsr-M512-f0.70-e,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,examples,512,0.7,1,1,0.0024476999969920143,32,1024,512,512,0,9216.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.9733394238421389,1.363520421734272,0.0,1.44,1,1,0
rsr-M512-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,512,0.7,30,30,0.05588549999811221,681,21792,11040,11040,18432,193536.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.032432987618466136,0.2462027079669188,0.86,0.44953125,30,1,0
