arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,400,400,0.654892500009737,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012940135709264666,0.1531127094934163,1.0,0.08878906250000002,100,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,0,0.0,400,400,0.4270010999898659,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.011842598470700239,0.13786795632815724,1.0,0.0640625,50,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,0,0.0,400,400,0.6919927999988431,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012944645781945985,0.1488212335115702,1.0,0.08222656250000002,50,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,400,400,0.7639229000051273,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.02523463738585252,0.1626057771680749,1.0,0.09031250000000002,100,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,0,0.0,400,400,0.617632199995569,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012419901776399733,0.15026235473697477,1.0,0.07343749999999996,100,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,0,0.0,400,400,0.3921855999942636,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.014935281546164747,0.16313985421656405,1.0,0.13574218750000003,100,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,400,400,0.6794912000041222,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.02874689712312062,0.1686927389108414,1.0,0.11062500000000003,200,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,0,0.0,400,400,0.6896861999994144,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.011924113595340735,0.15292779967905556,1.0,0.06972656249999998,150,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,0,0.0,400,400,0.521338199992897,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.019381341095712212,0.16972012736377304,1.0,0.17136718750000002,350,0,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,400,400,0.5611295999988215,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.03372044430221521,0.1829799235288247,0.86,0.1677734375,400,1,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,0,0.0,400,400,0.44159689999651164,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01733915690849286,0.18151827360754322,0.86,0.173515625,400,1,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,0,0.0,400,400,0.578055600009975,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.028980088516761038,0.19559950859384642,1.0,0.21894531250000004,400,0,0
paper-4,paper,4.0,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,400,400,0.596952699997928,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.03498222939072537,0.19194486981395595,0.86,0.2665234375,400,1,0
