arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,1024,0.7,0,0.0,4096,1,7.375,7,708.4287122053491,1200,1200,3.7322554999991553,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.011268632971095371,0.15752531425647515,1.0,0.05898437499999998,150,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,1024,0.7,0,0.0,4096,1,7.0625,7,725.136797411284,1200,1200,3.859913099993719,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.011975359356003468,0.1465616857234037,1.0,0.07166015625,50,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,1024,0.7,0,0.0,4096,1,7.1875,7,725.4771086239393,1200,1200,3.89257880000514,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.011888573714136319,0.1413813054913475,1.0,0.03220703125000002,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,3,update,1024,0.7,0,0.0,4096,1,7.0625,7,780.0188658662439,1200,1200,3.8738249000016367,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.010670938312668854,0.13420001155973207,1.0,0.07457031250000001,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,4,update,1024,0.7,0,0.0,4096,1,6.5,7,730.4048129415471,1200,1200,3.823276499999338,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.012608204454308547,0.1475077800111469,1.0,0.04343750000000002,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,5,update,1024,0.7,0,0.0,4096,1,6.75,7,767.8204786312688,1200,1200,3.8349108999973396,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.020611852479935244,0.15167050691821707,1.0,0.054785156249999994,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,6,update,1024,0.7,0,0.0,4096,1,7.4375,7,737.6158121694979,1200,1200,3.6281128999980865,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.01128335081743792,0.13799188035942125,1.0,0.029277343750000018,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,7,update,1024,0.7,0,0.0,4096,1,6.75,7,767.2406016838181,1200,1200,4.042457999996259,13800,1766400,906240,906240,11796480,17203200.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.010374866898333446,0.14072725377799541,1.0,0.08630859375,100,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,update,0,0.0,0,0.0,0,0,nan,0,nan,1200,1200,2.275232200001483,1200,153600,153600,153600,39321600,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.013925068463356505,0.1335747164236834,1.0,0.06302734374999996,100,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,update,0,0.0,0,0.0,0,0,nan,0,nan,1200,1200,1.8642122000019299,1200,153600,153600,153600,39321600,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.01411434597767891,0.12933651471073432,1.0,0.038632812499999974,50,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,0,0.0,0,0.0,0,0,nan,0,nan,1200,1200,2.2615914000052726,1200,153600,153600,153600,39321600,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.012878877461969696,0.137450536419446,1.0,0.06580078125,50,0,0
