arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
gated-M1024-f0.70-u,gated,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,0,update,1024,0.7,0,0.0,4096,1,2.0625,11,1105.141435965358,400,400,1.4134926000115229,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.3130295128787828,0.8801421610529757,0.5599999999999999,0.8603515624999998,400,1,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,1,update,1024,0.7,0,0.0,4096,1,2.375,11,1084.2400320226511,400,400,1.5298292999941623,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.3270915562809189,0.9002968239462623,0.6799999999999998,0.9276953124999998,400,1,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,2,update,1024,0.7,0,0.0,4096,1,2.75,11,1032.8148614973786,400,400,1.3435528999980306,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.2939816140102125,0.9688278786105335,0.6799999999999998,0.9335546874999998,400,1,0
paper-0.5,paper,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,0,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.960248599993065,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.023576331940378115,0.2560858311919776,0.9799999999999998,0.20109375,350,0,0
paper-0.5,paper,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,1,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.7082593999948585,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.08281827230920458,0.5160989953492893,0.82,0.22734374999999993,400,1,0
paper-0.5,paper,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,2,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.8924562000029255,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.021699848929764176,0.19232337191069615,0.9799999999999998,0.1452734374999999,350,0,0
qld-v1,qld,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,0,update,0,0.7,0,0.0,0,0,nan,0,nan,400,400,0.43409750000864733,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.4948310884541596,1.2720740235417214,0.5599999999999999,1.2245703125,400,1,0
qld-v1,qld,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,1,update,0,0.7,0,0.0,0,0,nan,0,nan,400,400,0.4267154999979539,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.38105764097152806,0.97850072315111,0.6799999999999998,0.9462890624999998,400,1,0
qld-v1,qld,0.5,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,2,update,0,0.7,0,0.0,0,0,nan,0,nan,400,400,0.31490019999910146,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.33644200163841287,1.0572823960314492,0.6799999999999998,0.9521093749999998,400,1,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,0,update,1024,0.7,0,0.0,4096,0,128.0,0,0.0,400,400,0.44134450001001824,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.002829455272828074,0.03362014274140903,1.0,0.0380859375,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,1,update,1024,0.7,0,0.0,4096,0,128.0,0,0.0,400,400,0.34413559999666177,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.008556493486517658,0.058212276754102524,1.0,0.171875,100,0,0
gated-M1024-f0.70-u,gated,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,2,update,1024,0.7,0,0.0,4096,0,128.0,0,0.0,400,400,0.3627635999873746,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.009301673342856809,0.07474246772033409,1.0,0.2109375,100,0,0
paper-0.5,paper,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,0,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.5605226000043331,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.005582861126008143,0.06442658154469043,1.0,0.2314453125,300,0,0
paper-0.5,paper,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,1,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.6025489999883575,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.00940578124777447,0.07446413781520088,1.0,0.4267578125,300,0,0
paper-0.5,paper,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,2,update,0,0.0,0,0.0,0,0,nan,0,nan,400,400,0.7613014000089606,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.006418111899648249,0.0736030813000786,1.0,0.3447265625,300,0,0
qld-v1,qld,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,0,update,0,0.7,0,0.0,0,0,nan,0,nan,400,400,0.4060533000010764,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.002829455272828074,0.03362014274140903,1.0,0.0380859375,100,0,0
qld-v1,qld,0.5,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,1,update,0,0.7,0,0.0,0,0,nan,0,nan,400,400,0.3425753000046825,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.1"": 0, ""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0}",0.008556493486517658,0.058212276754102524,1.0,0.171875,100,0,0
