tau,eta_frac,target,median_ed2
0.05,0.05,V-1d-K3,0.34870491443927965
0.05,0.05,V-2d-K5,0.327705408387587
0.05,0.05,V-2d-K4-uneq,0.3074087492389501
0.05,0.05,V-3d-K4,0.16175542841582036
0.05,0.05,V-2d-K4-wide,0.22428932269155788
0.05,0.15,V-1d-K3,0.3459424040950555
0.05,0.15,V-2d-K5,0.3218117019120996
0.05,0.15,V-2d-K4-uneq,0.30096587785350715
0.05,0.15,V-3d-K4,0.15583610527327652
0.05,0.15,V-2d-K4-wide,0.2196916131449398
0.05,0.4,V-1d-K3,0.34070582843305475
0.05,0.4,V-2d-K5,0.30914297473915053
0.05,0.4,V-2d-K4-uneq,0.2870408241463931
0.05,0.4,V-3d-K4,0.14262319751047892
0.05,0.4,V-2d-K4-wide,0.20859871815850806
0.1,0.05,V-1d-K3,0.33992830026592047
0.1,0.05,V-2d-K5,0.3108792206873634
0.1,0.05,V-2d-K4-uneq,0.28789030546329886
0.1,0.05,V-3d-K4,0.14903293009371976
0.1,0.05,V-2d-K4-wide,0.21230323838323972
0.1,0.15,V-1d-K3,0.3246541945553044
0.1,0.15,V-2d-K5,0.2731358343830188
0.1,0.15,V-2d-K4-uneq,0.2458959130177667
0.1,0.15,V-3d-K4,0.12045511992355584
0.1,0.15,V-2d-K4-wide,0.18517718641649727
0.1,0.4,V-1d-K3,0.3046286037912419
0.1,0.4,V-2d-K5,0.1997664233879506
0.1,0.4,V-2d-K4-uneq,0.16817916207400896
0.1,0.4,V-3d-K4,0.0674370416989788
0.1,0.4,V-2d-K4-wide,0.12946129836568465
0.2,0.05,V-1d-K3,0.308491821504402
0.2,0.05,V-2d-K5,0.26141101409340384
0.2,0.05,V-2d-K4-uneq,0.2352183891821784
0.2,0.05,V-3d-K4,0.12798381517655033
0.2,0.05,V-2d-K4-wide,0.18043264504226886
0.2,0.15,V-1d-K3,0.2376595032681782
0.2,0.15,V-2d-K5,0.13846056436589493
0.2,0.15,V-2d-K4-uneq,0.11506631520628219
0.2,0.15,V-3d-K4,0.06795919290625319
0.2,0.15,V-2d-K4-wide,0.10328349450111518
0.2,0.4,V-1d-K3,0.15351337475420535
0.2,0.4,V-2d-K5,0.021845590107429036
0.2,0.4,V-2d-K4-uneq,0.01338561072676514
0.2,0.4,V-3d-K4,0.018807902880536798
0.2,0.4,V-2d-K4-wide,0.020762519535778567
0.35,0.05,V-1d-K3,0.260482320101045
0.35,0.05,V-2d-K5,0.21803185612028364
0.35,0.05,V-2d-K4-uneq,0.1902396350284603
0.35,0.05,V-3d-K4,0.11629338880208018
0.35,0.05,V-2d-K4-wide,0.1518646382397486
0.35,0.15,V-1d-K3,0.12986376326742188
0.35,0.15,V-2d-K5,0.06068003194763594
0.35,0.15,V-2d-K4-uneq,0.052680307574425767
0.35,0.15,V-3d-K4,0.04811011807051935
0.35,0.15,V-2d-K4-wide,0.050482860646188676
0.35,0.4,V-1d-K3,0.03451569030124879
0.35,0.4,V-2d-K5,0.016261895896988232
0.35,0.4,V-2d-K4-uneq,0.013078513246022161
0.35,0.4,V-3d-K4,0.02366904367869127
0.35,0.4,V-2d-K4-wide,0.011247284296600046
0.6,0.05,V-1d-K3,0.21129877726876167
0.6,0.05,V-2d-K5,0.19200003503750063
0.6,0.05,V-2d-K4-uneq,0.1598496751009406
0.6,0.05,V-3d-K4,0.10957836384129094
0.6,0.05,V-2d-K4-wide,0.132092011350609
0.6,0.15,V-1d-K3,0.0680455032279238
0.6,0.15,V-2d-K5,0.040142078684281435
0.6,0.15,V-2d-K4-uneq,0.036772953690771826
0.6,0.15,V-3d-K4,0.04236413197118116
0.6,0.15,V-2d-K4-wide,0.028605408459799975
0.6,0.4,V-1d-K3,0.01738889371556651
0.6,0.4,V-2d-K5,0.026338745804848296
0.6,0.4,V-2d-K4-uneq,0.022708876994537386
0.6,0.4,V-3d-K4,0.03386891820187732
0.6,0.4,V-2d-K4-wide,0.01900305170229033
1.0,0.05,V-1d-K3,0.17595443500971164
1.0,0.05,V-2d-K5,0.17629404090444245
1.0,0.05,V-2d-K4-uneq,0.14087337622716523
1.0,0.05,V-3d-K4,0.10405305171055756
1.0,0.05,V-2d-K4-wide,0.11860457639409594
1.0,0.15,V-1d-K3,0.05187192969551602
1.0,0.15,V-2d-K5,0.037455587629024345
1.0,0.15,V-2d-K4-uneq,0.0348727433602426
1.0,0.15,V-3d-K4,0.03974611621294177
1.0,0.15,V-2d-K4-wide,0.021128954923750998
1.0,0.4,V-1d-K3,0.017648959453558377
1.0,0.4,V-2d-K5,0.03732205860702997
1.0,0.4,V-2d-K4-uneq,0.03478625642045419
1.0,0.4,V-3d-K4,0.04608619342328424
1.0,0.4,V-2d-K4-wide,0.02707238116898214
1.75,0.05,V-1d-K3,0.14873026913722975
1.75,0.05,V-2d-K5,0.15985013073885734
1.75,0.05,V-2d-K4-uneq,0.12572831792660888
1.75,0.05,V-3d-K4,0.09609432607381807
1.75,0.05,V-2d-K4-wide,0.10430455955662454
1.75,0.15,V-1d-K3,0.04964149942353646
1.75,0.15,V-2d-K5,0.03897528985126386
1.75,0.15,V-2d-K4-uneq,0.03649824278595537
1.75,0.15,V-3d-K4,0.03729461351693475
