cell,family,seed,base_ed2,mod_ed2,base_sw1,mod_sw1,base_time,base_cens,mod_time,mod_cens,base_pairs,mod_pairs,base_div,mod_div
H-1d-K4-eq/missing,gauss,0,0.005165779647418489,0.00428557205526614,0.07985400108494925,0.07065215620896495,96,0,85,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,1,0.005415866402217029,0.0038148152225097043,0.08460886084225475,0.06770688734325339,82,0,68,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,2,0.003846789573374254,0.0029247339109423898,0.06709435756103643,0.058652592432883205,88,0,72,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,3,0.004212877543984028,0.0034071587779216372,0.077742213042633,0.06845387668586315,81,0,67,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,4,0.004518057972347833,0.003506384348859637,0.07708396132149531,0.06867545907441194,85,0,70,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,5,0.004001583253240515,0.003224168669315519,0.06769784956770648,0.05907998912533199,76,0,61,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,6,0.003742244929459737,0.0032625784738238295,0.06621035965018948,0.06148476001065101,88,0,78,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,7,0.002992902707519507,0.0022665286018588304,0.06268760752451212,0.05443883855835714,107,0,93,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,8,0.0033330476937376563,0.002756094744247317,0.06565811489385012,0.05933212445077914,87,0,76,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,9,0.0030677088667052654,0.002596933223298681,0.0635141121739012,0.05825642391152197,86,0,78,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,10,0.0027611002311869193,0.0022328753636218224,0.05949828468919868,0.05169707889502309,93,0,77,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,11,0.006766628287286913,0.005200592643623603,0.09627538815468757,0.08304069658996985,85,0,72,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,12,0.002840618653760174,0.0021418131518822214,0.056814680681420204,0.047680498110636696,89,0,74,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,13,0.004263531410576782,0.0034118024859348672,0.08122098152350675,0.07177824152165471,87,0,71,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,14,0.0034844166833318813,0.002708530513089835,0.05806794134410386,0.051131815148005626,88,0,78,0,2150400,2150400,0,0
