arm,target,family,dimension,instance,initialization,learning_rate,conditioned_direction_count,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
paper-neural,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.5569517230652792,0.031155914602754464,0.13464497470207262,0.16944613965841826,0.9913082122802734,1.4758701676722539,0.8333333333333334,0.353515625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.3551819999993313,4610,,,,
minibatch-sw,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.5569517230652792,0.04696451692652426,0.1723573576061972,0.22879563569216227,0.8516759276390076,1.6224909747544534,1.0,0.396484375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.5286960000012186,4610,,,,
kll-small-rsr,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.5569517230652792,0.021481449739589653,0.12548439970602965,0.16190722654038525,0.978300929069519,1.6174501718281793,1.0,0.2548828125,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.26158449999638833,4610,,,,
cta-exact-hybrid,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.5569517230652792,0.0067320493281304294,0.06783270379641018,0.10621388042981059,0.9822761416435242,1.6749214335821336,1.0,0.0634765625,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,0,0,0.4733762000032584,4610,0.25,0.25,4.966558494723036,0.16666749641299247
cta-kll-hybrid,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.5569517230652792,0.006572956266855279,0.06719795945745967,0.10534902868673834,0.9816255569458008,1.6705636202877048,1.0,0.0732421875,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.4455919000029098,4610,0.25,0.25,4.933326647278452,0.16598388515412807
paper-neural,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,broad,0.016,64,1.5569517230652792,0.023840289639703638,0.13165959852822606,0.19964227082169797,0.9416398406028748,1.7449438274445837,1.0,0.1044921875,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.3606819000051473,4610,,,,
minibatch-sw,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,broad,0.016,64,1.5569517230652792,0.031068014385509546,0.14017391490949455,0.2003172408722042,0.8951045870780945,1.7392788375237904,1.0,0.1240234375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.5196233000024222,4610,,,,
kll-small-rsr,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,broad,0.016,64,1.5569517230652792,0.03094488046774968,0.14966928699850823,0.19555518877490854,0.9839655756950378,1.6090083410478166,1.0,0.2587890625,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.2582317999986117,4610,,,,
cta-exact-hybrid,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,broad,0.016,64,1.5569517230652792,0.010173261825620283,0.0824818950100851,0.1380742226040683,0.9762711524963379,1.7332682493782972,1.0,0.08072916666666669,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,0,0,0.42064189999655355,4610,0.25,0.25,3.694070425622461,0.1479234028607607
cta-kll-hybrid,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,broad,0.016,64,1.5569517230652792,0.010515637422655377,0.08419268648683507,0.13936610743394343,0.9753619432449341,1.7355124735939258,1.0,0.08170572916666669,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.43003390000376385,4610,0.25,0.25,3.6446091305140507,0.1470411155372858
paper-neural,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,concentrated,0.016,64,1.4718631268313742,0.039342672877150875,0.17797752860775048,0.29350256805603736,1.0900704860687256,1.546312354257644,1.0,0.2431640625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.35610129999986384,4610,,,,
minibatch-sw,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,concentrated,0.016,64,1.4718631268313742,0.036075892553711686,0.16414259313832305,0.20985679520252207,1.0201542377471924,1.8569804794009073,1.0,0.115234375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.5713934000013978,4610,,,,
kll-small-rsr,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,concentrated,0.016,64,1.4718631268313742,0.01672160695090552,0.09899879397288067,0.1584456177167856,0.9458363056182861,1.7901226363835212,1.0,0.0546875,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.2756156000032206,4610,,,,
cta-exact-hybrid,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,concentrated,0.016,64,1.4718631268313742,0.007049525666163792,0.06877197836335229,0.11021496887204399,1.0007790327072144,1.638740527116675,1.0,0.037109375,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,0,0,0.5139622000060626,4610,0.25,0.25,4.37039281753073,0.16496586985886097
cta-kll-hybrid,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,concentrated,0.016,64,1.4718631268313742,0.0066877884940281795,0.0670412511216534,0.10902038884128679,0.9996376633644104,1.6404310334000456,1.0,0.0302734375,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.4999714000005042,4610,0.25,0.25,4.329760915776726,0.16436602044850587
paper-neural,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,broad,0.016,64,1.4718631268313742,0.03704068079592249,0.1638520249643772,0.2543066765503671,0.9639493227005005,1.492311582616922,1.0,0.205078125,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.36709780000091996,4610,,,,
minibatch-sw,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,broad,0.016,64,1.4718631268313742,0.03630758098216891,0.1527793687712552,0.21418478679407288,0.9473063945770264,1.8616844510271449,1.0,0.1083984375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.5299765999952797,4610,,,,
kll-small-rsr,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,broad,0.016,64,1.4718631268313742,0.018186988727014963,0.11363193760089214,0.16130970875549638,0.9596413969993591,1.6769357140548073,1.0,0.09375,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.26109790000191424,4610,,,,
cta-exact-hybrid,NCT-d2-balanced-gmm-i1,balanced-gmm,2,1,broad,0.016,64,1.4718631268313742,0.009986750437706693,0.08408376652044468,0.1462374099413247,1.0174708366394043,1.5624789634100578,1.0,0.1337890625,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,0,0,0.48234129999764264,4610,0.25,0.25,3.780588785650189,0.16379067711532116
