arm,lr_multiplier,learning_rate,target,family,dimension,replication,initialization,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters
exact-atlas-rsr,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7772791106331045,0.6767256224485726,0.9017431156591648,0.10670539736747742,1.7447749268969523,0.75,0.5,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.028810399999201763,4610
exact-atlas-rsr,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.5812291831413803,0.5898847284346811,0.8062143402315806,0.2301068753004074,1.59740867662614,0.75,0.6875,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.02606079999532085,4610
exact-atlas-rsr,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.2543504343195937,0.4055944394661737,0.5858591221128091,0.583329975605011,1.3992020940662286,0.75,0.578125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.026433799997903407,4610
exact-atlas-rsr,8.0,0.008,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.29428935648878163,0.4984893636991778,0.6162947165969349,1.2422388792037964,1.283750178859766,0.75,0.3515625,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.025308500000392087,4610
exact-atlas-rsr,16.0,0.016,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.201907588172896,0.3822743232883974,0.5236746536206802,0.7964128255844116,1.2119718683352008,0.75,0.45703125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.02599259999988135,4610
kll-small-rsr,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.24302842920744405,0.3954698751332691,0.5682527704558353,0.6021682620048523,1.3881440395006952,0.75,0.5234375,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04357400000299094,4610
kll-small-rsr,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.22086386805298996,0.42946162258622256,0.5243977277863149,1.069388508796692,1.2376200574543696,0.75,0.3125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.044380900006217416,4610
kll-small-rsr,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.17285800579264965,0.3514252957301637,0.4908557139932106,0.7608726620674133,1.0894893864136719,1.0,0.3046875,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04324300000007497,4610
exact-atlas-rsr,1.0,0.001,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.7689909901103458,0.6796389475304814,0.9928173182914125,0.09925194084644318,2.341955013504409,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.02504380000027595,4740
exact-atlas-rsr,2.0,0.002,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.5668669839481684,0.5997988751121022,0.9022207702626798,0.20446686446666718,2.108636393706023,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.025073100005101878,4740
exact-atlas-rsr,4.0,0.004,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.2254738071934299,0.3879814154571504,0.6751352306596767,0.49947184324264526,1.786250738247056,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.025173200003337115,4740
exact-atlas-rsr,8.0,0.008,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.1723606756853724,0.34498547393296836,0.5164131856211959,1.15824294090271,1.8798859376171655,1.0,0.017187499999999953,0.008593749999999997,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.02564709999569459,4740
exact-atlas-rsr,16.0,0.016,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.13182909596674763,0.3073222565374224,0.4651128310377019,1.1154048442840576,2.613469649951171,0.5,0.06875000000000005,0.034375,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.025737500000104774,4740
kll-small-rsr,1.0,0.001,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.2201559298643887,0.3810600769281992,0.6655264539657233,0.5222449898719788,1.6391861489650548,0.5,0.10000000000000005,0.05,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.047940700002072845,4740
kll-small-rsr,2.0,0.002,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.11815618782665593,0.2823401272408123,0.4663438892026163,1.0079379081726074,2.1309009841931363,0.5,0.08046875000000005,0.040234375,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04538509999838425,4740
