arm,kind,target,family,dimension,replication,initialization,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.21375216793684482,0.410357802252292,0.5282712460934896,0.8883784413337708,1.00020192654456,0.5,0.9453125,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.060129900004540104,0.0,512,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.186788674943545,0.387306088493336,0.48553703733993875,0.9069319367408752,1.2194213810097427,0.75,0.28125,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08063720000063768,0.0,512,4610
exact-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7772791106331045,0.6767256224485726,0.9017431156591648,0.10670539736747742,1.7447749268969523,0.75,0.5,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.025896899998770095,0.004769500003021676,512,4610
kll-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7896725322680744,0.6808458634138067,0.901482339830913,0.10571318864822388,1.7412834176783936,0.75,0.5,nan,8,1024,2048,64,2048,2048,262144,458752.0,0,34304,72960,0,0.027586299998802133,0.007627700004377402,512,4610
kll-small-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.24275365199845966,0.3952226094292882,0.568188406375843,0.6024335622787476,1.3850740710762997,0.75,0.51953125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04572870000265539,0.007627700004377402,512,4610
kll-paper-hybrid,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7846998484261367,0.6799139531216236,0.9054768475230108,0.10185904055833817,1.7388520649886203,0.75,0.5,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,34304,72960,0,0.039099900001019705,0.007627700004377402,512,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.002139345225676159,0.031184749442216,0.08512559362854301,0.9920639644851248,1.089381208367866,1.0,0.140625,nan,30,128,128,1,2048,2048,622592,3162112.0,0,34304,0,0,0.030031000002054498,0.004769500003021676,0,0
paper-neural,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.2062904449766676,0.3743539610895794,0.6915124285744796,0.5219177007675171,2.6445555313445315,0.5,0.10000000000000005,0.05,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06517299999541137,0.0,512,4740
minibatch-sw,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.08225608901660353,0.2357919798048398,0.46150662169090906,0.8576012849807739,2.239352080585484,0.5,0.10000000000000005,0.05,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.09364920000371058,0.0,512,4740
exact-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.7689909901103458,0.6796389475304814,0.9928173182914125,0.09925194084644318,2.341955013504409,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.02529340000182856,0.005675100001099054,512,4740
kll-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.7689022894635564,0.679617337510416,0.9930478394818748,0.0993780717253685,2.3397083029848855,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,458752.0,0,35328,72960,0,0.02908659999957308,0.0059631000040099025,512,4740
kll-small-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.21995142730199335,0.3816226907901254,0.6661245203756032,0.5225797295570374,1.639197172978039,0.5,0.10000000000000005,0.05,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04595619999599876,0.0059631000040099025,512,4740
kll-paper-hybrid,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.7770526234475539,0.6825872727261256,0.9970064832007515,0.09562672674655914,2.3322956924442155,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,3072,262144,458752.0,262144,35328,72960,0,0.038381599995773286,0.0059631000040099025,512,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.02051444165472338,0.12297150492830368,0.24005431720035375,0.98731786427751,2.7879580116786395,1.0,0.024999999999999953,0.012499999999999997,30,128,128,1,2048,2048,622592,3162112.0,0,35328,0,0,0.007519200000388082,0.005675100001099054,0,0
paper-neural,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.2593660145285517,0.32390872272548354,0.5008488548931836,0.512460470199585,2.111584004198975,nan,nan,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06336049999663373,0.0,512,5256
minibatch-sw,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.1358333520134094,0.22538006494732493,0.2862065475019433,0.9320290088653564,2.416769161469007,nan,nan,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08198459999402985,0.0,512,5256
exact-atlas-rsr,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,1.0523245989570862,0.6173437848421647,0.8586370932199453,0.09729070961475372,3.5400504414631753,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.024370799997996073,0.005201200001465622,512,5256
kll-atlas-rsr,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,1.052768674846659,0.6174254956269456,0.8586464894732476,0.09733572602272034,3.542196769509801,nan,nan,nan,8,1024,2048,64,2048,2048,262144,458752.0,0,37376,72960,0,0.023966300002939533,0.006117299999459647,512,5256
kll-small-rsr,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.3087844828868551,0.3408376515265539,0.5264929871610514,0.48424622416496277,2.1872512479744315,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,37376,72960,0,0.04128140000102576,0.006117299999459647,512,5256
kll-paper-hybrid,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,1.063950467555438,0.6201604879714225,0.8619509805449245,0.09377939254045486,3.5622632373319902,nan,nan,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,37376,72960,0,0.034925700005260296,0.006117299999459647,512,5256
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.023315510481619395,0.0920698063763718,0.11826745906485056,0.9462611014259951,4.575735418270005,nan,nan,nan,30,128,128,1,2048,2048,622592,3162112.0,0,37376,0,0,0.00705759999982547,0.005201200001465622,0,0
paper-neural,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.7474268797935091,0.44451028631755507,0.6289650241459065,0.4049672782421112,1.9978209807651448,nan,nan,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.059466800004884135,0.0,512,6288
minibatch-sw,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.3136059616942939,0.2795451418541641,0.3206022271489979,0.9044650793075562,1.9899493695223662,nan,nan,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08585269999457523,0.0,512,6288
exact-atlas-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,1.7200505261831314,0.661849946948356,0.873456708904786,0.09389151632785797,4.190589606844325,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.025303900001745205,0.005590799999481533,512,6288
kll-atlas-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,1.721876352162007,0.6620818194328996,0.8735422361572879,0.0940278097987175,4.200821648545957,nan,nan,nan,8,1024,2048,64,2048,2048,262144,458752.0,0,41472,72960,0,0.02591519999987213,0.006313700003374834,512,6288
kll-small-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.6629969095916168,0.4135726061418103,0.5761914359238484,0.4401678740978241,1.99208390401633,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,41472,72960,0,0.04315589999896474,0.006313700003374834,512,6288
kll-paper-hybrid,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,1.7352030613877725,0.6643273769256283,0.876489860606132,0.09081170707941055,4.238020288311058,nan,nan,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,41472,72960,0,0.031037900000228547,0.006313700003374834,512,6288
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.05312788731030693,0.12022036767450071,0.09158020858024955,0.9824314632656936,7.5866685378054814,nan,nan,nan,30,128,128,1,2048,2048,622592,3162112.0,0,41472,0,0,0.007389900005364325,0.005590799999481533,0,0
