arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.07760696696792158,0.18649849758871712,0.24024637409657995,1.0260745286941528,1.0113779528032854,1.0,0.28515625,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.0594517999998061,0.0,512,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.06372559698155777,0.20191365478089085,0.30491513512567686,0.921461284160614,1.1117068447402876,0.75,0.4453125,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08115700000053039,0.0,512,4610
exact-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.18544491908097482,0.3777420138549858,0.45681492219158176,1.0192607641220093,1.2305675665298834,0.75,0.51953125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.02376219999860041,0.004626399997505359,512,4610
kll-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.18213080131160275,0.36696121062534254,0.44496538634390237,1.0379505157470703,1.1605575136204498,0.75,0.63671875,nan,8,1024,2048,64,2048,2048,262144,458752.0,0,34304,72960,0,0.023507199999585282,0.005807399997138418,512,4610
kll-small-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.11523660610739084,0.27563280563210274,0.3754742251634693,0.7814341187477112,1.1896458187727152,0.75,0.5078125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.041487500006041955,0.005807399997138418,512,4610
kll-paper-hybrid,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.1981891686723598,0.37266969835669356,0.4944131390669211,0.7397480010986328,1.521864167631361,0.75,0.5234375,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,34304,72960,0,0.03310880000208272,0.005807399997138418,512,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,nan,nan,0.002139345225676159,0.031184749442216,0.08512559362854301,0.9920639644851248,1.089381208367866,1.0,0.140625,nan,30,128,128,1,2048,2048,622592,3162112.0,0,34304,0,0,0.006990599998971447,0.004626399997505359,0,0
paper-neural,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,16.0,0.016,0.1752563311187303,0.3438426025823557,0.6123149702083915,0.7664852142333984,3.053066896133471,0.5,0.10000000000000005,0.05,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.062353499997698236,0.0,512,4740
minibatch-sw,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,16.0,0.016,0.14726674182991095,0.31331918613063836,0.4831537589101929,0.9349743723869324,2.1699708104826367,0.5,0.07265625000000005,0.036328125,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08256690000416711,0.0,512,4740
exact-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,32.0,0.032,0.0913011107919588,0.25203664187326985,0.4631881613527541,0.8716419339179993,2.805964546634379,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.02419720000034431,0.004497599999012891,512,4740
