arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,16.0,0.016,0.014961323057132603,0.0823897059239105,0.15019051944881345,0.9362170100212097,1.951350122928936,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.588575400004629,0.0,2048,4740
minibatch-sw,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,16.0,0.016,0.020625440384105964,0.092404045904894,0.1471974237698668,0.9425657391548157,2.0772748842004383,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8051769999947282,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,32.0,0.032,0.015056492716468917,0.0954061285699853,0.20467600786888812,0.8610312938690186,1.9821412911862792,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.27730309999606106,0.07684149999840884,2048,4740
kll-atlas-rsr,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,32.0,0.032,0.017387392194377682,0.09930676642264476,0.20340543672711717,0.8692302107810974,2.0368581238410406,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.2593784000055166,0.059423300001071766,2048,4740
kll-small-rsr,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,16.0,0.016,0.012201626244300101,0.08398116455445934,0.16597158511232887,0.871767520904541,2.11205830238895,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.4048886999953538,0.059423300001071766,2048,4740
kll-paper-hybrid,neural,NPR-d4-correlated-t,correlated-t,4,0,concentrated,32.0,0.032,0.043279872756232685,0.155702300373985,0.22732691168472652,0.9964793920516968,1.8144571831570386,nan,nan,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.7400850999983959,0.059423300001071766,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-correlated-t,correlated-t,4,0,concentrated,nan,nan,0.0024321284375483643,0.03720871991969585,0.05547532044686922,0.9466125816361065,1.9561184064619817,nan,nan,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.18423030000121798,0.07684149999840884,0,0
paper-neural,neural,NPR-d4-correlated-t,correlated-t,4,0,broad,16.0,0.016,0.023956399445432375,0.11651494870281662,0.21671368037837474,0.8278258442878723,1.5232266930924159,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6427392999976291,0.0,2048,4740
minibatch-sw,neural,NPR-d4-correlated-t,correlated-t,4,0,broad,16.0,0.016,0.02819640999309403,0.12166140000928831,0.19032686529791312,0.8994055390357971,2.261292732011628,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8158425000001444,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-correlated-t,correlated-t,4,0,broad,32.0,0.032,0.016830899654549647,0.09704226613292959,0.19927084538783416,0.8666841387748718,1.7982186511417388,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.25427350000245497,0.07684149999840884,2048,4740
