arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.02095430486638583,0.10008607537424788,0.1702358023019594,0.991233229637146,1.1021572952585872,0.75,0.265625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.580121799997869,0.0,2048,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.0449196502249809,0.15813199545324869,0.2645608991344235,0.9794517755508423,1.0418291118545564,1.0,0.2783203125,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.7512627999967663,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.07517949435995619,0.19331771248792376,0.2775042906689323,1.0300610065460205,1.061650101960499,0.5,0.5859375,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.30923640000401065,0.07532820000051288,2048,4610
kll-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.0649126408920242,0.18029715440980457,0.2636244374945073,1.019317626953125,1.0645289732671641,0.5,0.57421875,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.2504436000017449,0.0874824999991688,2048,4610
kll-small-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,16.0,0.016,0.09080369059571036,0.20761764089493256,0.27497953438408984,0.8523749113082886,1.1915977294561242,0.75,0.404296875,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.3968717999960063,0.0874824999991688,2048,4610
kll-paper-hybrid,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,32.0,0.032,0.12060506848429964,0.26251104411565734,0.35059206924611863,1.119152307510376,1.0663707801846891,0.5,0.6513671875,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.6837680000026012,0.0874824999991688,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,nan,nan,0.002747742222344751,0.04698534687129943,0.2042805520882123,0.9976759314797442,1.0759202369422292,1.0,0.16015625,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.1954016999952728,0.07532820000051288,0,0
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,16.0,0.016,0.05411099658094165,0.13040531889090456,0.1703901544732346,0.9272919297218323,1.0414895613187571,1.0,0.1435546875,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6043206000031205,0.0,2048,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,16.0,0.016,0.0607529883925253,0.1841627115855184,0.2719996403565851,0.8570868372917175,1.0694651030304858,1.0,0.42578125,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8800125000052503,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,32.0,0.032,0.08761522350554851,0.2415235716906626,0.3380387200988276,1.1740041971206665,1.039912769167719,0.75,0.4326171875,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.22613209999690298,0.07532820000051288,2048,4610
kll-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,32.0,0.032,0.07239500000397636,0.2243576251386332,0.321905437486117,1.162657380104065,1.0470658789420855,1.0,0.4033203125,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.27099870000529336,0.0874824999991688,2048,4610
kll-small-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,16.0,0.016,0.052266221724039275,0.1599103818444899,0.2345783780241125,0.9182948470115662,1.1388084076113951,0.75,0.3046875,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.3921568000005209,0.0874824999991688,2048,4610
kll-paper-hybrid,neural,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,32.0,0.032,0.09945894528724275,0.22158116538097233,0.31049817305279076,0.8859501481056213,1.0124505929272813,0.75,0.5458984375,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.7143739999955869,0.0874824999991688,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-balanced-gmm,balanced-gmm,2,0,broad,nan,nan,0.0027365828933099134,0.04691949962696352,0.2040441152816255,0.997678227685565,1.0757579830289818,1.0,0.15234375,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.19509060000564205,0.07532820000051288,0,0
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,16.0,0.016,0.019701468294114344,0.12229605761026184,0.32942049381029226,0.9114364981651306,1.0695158518026961,1.0,0.3037109375,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6262973999982933,0.0,2048,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,16.0,0.016,0.036330502289593225,0.1455692348150183,0.2555166781325025,1.0068150758743286,1.0719775098162663,0.75,0.3818359375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.9377457999944454,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,32.0,0.032,0.02155226082659545,0.1206082854627201,0.19783303111168243,0.9829400777816772,1.0631561862921663,1.0,0.20703125,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.22246829999494366,0.07430960000056075,2048,4610
kll-atlas-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,32.0,0.032,0.03426021590121198,0.1415162294521474,0.2129946805566619,1.0347654819488525,1.0121079256761256,0.75,0.349609375,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.2591074000010849,0.05777220000163652,2048,4610
kll-small-rsr,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,16.0,0.016,0.028910056326118427,0.13402933503344777,0.19820786134912846,0.9154712557792664,1.1206386392001217,0.75,0.3798828125,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.45350970000436064,0.05777220000163652,2048,4610
kll-paper-hybrid,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,32.0,0.032,0.12546244102391202,0.2417955916789645,0.29864285390668743,1.1906404495239258,1.0074120157720967,1.0,0.244140625,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.7821870000043418,0.05777220000163652,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-balanced-gmm,balanced-gmm,2,1,concentrated,nan,nan,0.0005287235564912507,0.02006622232988344,0.09901716771473718,0.9983225438474439,1.0771167472285856,1.0,0.15234375,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.19341119999444345,0.07430960000056075,0,0
paper-neural,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,broad,16.0,0.016,0.013089770037417514,0.0856092805206589,0.157210826340533,1.0278598070144653,1.0753228337621483,1.0,0.216796875,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.65518449999945,0.0,2048,4610
minibatch-sw,neural,NPR-d2-balanced-gmm,balanced-gmm,2,1,broad,16.0,0.016,0.04168060491448977,0.1642830563934402,0.2531519356378613,0.8329710364341736,1.2220467778005133,0.75,0.2734375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8800626999945962,0.0,2048,4610
