target,family,seed,atlas_samples,region_count,boundary_count,raw_candidate_count,unresolved,minimum_mass,maximum_persistence,control_false_positive
OASQD-D01-tail-min060-K7,unequal-tail,0,8192,7,6,6,0,0.063720703125,1.0,0
OASQD-D01-tail-min060-K7,unequal-tail,1,8192,7,6,6,0,0.0594482421875,1.0,0
OASQD-D01-tail-min060-K7,unequal-tail,2,8192,7,6,6,0,0.0618896484375,1.0,0
OASQD-D02-tail-min035-K9,unequal-tail,0,8192,9,8,8,0,0.0394287109375,1.0,0
OASQD-D02-tail-min035-K9,unequal-tail,1,8192,9,8,8,0,0.036376953125,1.0,0
OASQD-D02-tail-min035-K9,unequal-tail,2,8192,9,8,8,0,0.036865234375,1.0,0
OASQD-D03-tail-min018-K11,unequal-tail,0,8192,11,10,10,0,0.0166015625,1.0,0
OASQD-D03-tail-min018-K11,unequal-tail,1,8192,11,10,10,0,0.0157470703125,1.0,0
OASQD-D03-tail-min018-K11,unequal-tail,2,8192,11,10,10,0,0.016357421875,1.0,0
OASQD-D04-tail-min009-K15,unequal-tail,0,8192,15,14,14,0,0.0103759765625,1.0,0
OASQD-D04-tail-min009-K15,unequal-tail,1,8192,15,14,14,0,0.0103759765625,1.0,0
OASQD-D04-tail-min009-K15,unequal-tail,2,8192,15,14,14,0,0.009521484375,1.0,0
OASQD-D05-tail-min0045-K19,unequal-tail,0,8192,19,18,18,0,0.0035400390625,1.0,0
OASQD-D05-tail-min0045-K19,unequal-tail,1,8192,19,18,18,0,0.00439453125,1.0,0
OASQD-D05-tail-min0045-K19,unequal-tail,2,8192,19,18,18,0,0.005126953125,1.0,0
OASQD-D06-tail-min003-K21,resolution-boundary,0,8192,21,20,20,0,0.0028076171875,1.0,0
OASQD-D06-tail-min003-K21,resolution-boundary,1,8192,21,20,20,0,0.0028076171875,1.0,0
OASQD-D06-tail-min003-K21,resolution-boundary,2,8192,21,20,20,0,0.0023193359375,1.0,0
OASQD-D07-interior-min012-K9,unequal-interior,0,8192,9,8,8,0,0.0111083984375,1.0,0
OASQD-D07-interior-min012-K9,unequal-interior,1,8192,9,8,8,0,0.0111083984375,1.0,0
OASQD-D07-interior-min012-K9,unequal-interior,2,8192,9,8,8,0,0.010498046875,1.0,0
OASQD-D08-interior-min005-K14,unequal-interior,0,8192,12,11,13,0,0.07080078125,1.0,0
OASQD-D08-interior-min005-K14,unequal-interior,1,8192,12,11,13,0,0.0740966796875,1.0,0
OASQD-D08-interior-min005-K14,unequal-interior,2,8192,12,11,13,0,0.0699462890625,1.0,0
OASQD-D09-equal-K17,equal,0,8192,17,16,16,0,0.0555419921875,1.0,0
OASQD-D09-equal-K17,equal,1,8192,17,16,16,0,0.0545654296875,1.0,0
OASQD-D09-equal-K17,equal,2,8192,17,16,16,0,0.0537109375,1.0,0
OASQD-D10-hetero-K13,heteroscedastic,0,8192,7,6,7,0,0.07470703125,1.0,0
OASQD-D10-hetero-K13,heteroscedastic,1,8192,6,5,7,0,0.079833984375,1.0,0
OASQD-D10-hetero-K13,heteroscedastic,2,8192,7,6,6,0,0.0767822265625,1.0,0
OASQD-D11-contaminated-min012,contaminated,0,8192,8,7,7,0,0.01318359375,1.0,0
OASQD-D11-contaminated-min012,contaminated,1,8192,8,7,7,0,0.01220703125,1.0,0
OASQD-D11-contaminated-min012,contaminated,2,8192,8,7,7,0,0.0103759765625,1.0,0
OASQD-D12-overlap-K9,overlap,0,8192,1,0,0,0,1.0,0.0,0
OASQD-D12-overlap-K9,overlap,1,8192,1,0,0,0,1.0,0.0,0
OASQD-D12-overlap-K9,overlap,2,8192,1,0,0,0,1.0,0.0,0
OASQD-D13-connected-skew,connected,0,8192,1,0,0,0,1.0,0.0,0
OASQD-D13-connected-skew,connected,1,8192,1,0,0,0,1.0,0.0,0
OASQD-D13-connected-skew,connected,2,8192,1,0,0,0,1.0,0.0,0
OASQD-D14-heavy-t4p2,heavy-tail,0,8192,1,0,0,0,1.0,0.0,0
OASQD-D14-heavy-t4p2,heavy-tail,1,8192,1,0,0,0,1.0,0.0,0
OASQD-D14-heavy-t4p2,heavy-tail,2,8192,1,0,0,0,1.0,0.0,0
OASQD-D15-connected-normal,connected,0,8192,1,0,0,0,1.0,0.0,0
OASQD-D15-connected-normal,connected,1,8192,1,0,0,0,1.0,0.0,0
OASQD-D15-connected-normal,connected,2,8192,1,0,0,0,1.0,0.0,0
OASQD-D16-near-overlap-tail,resolution-boundary,0,8192,3,2,2,0,0.1531982421875,1.0,0
OASQD-D16-near-overlap-tail,resolution-boundary,1,8192,2,1,2,0,0.3648681640625,1.0,0
OASQD-D16-near-overlap-tail,resolution-boundary,2,8192,5,4,5,0,0.1588134765625,1.0,0
synthetic-lognormal,synthetic-control,0,8192,1,0,0,0,1.0,0.0,0
synthetic-normal,synthetic-control,0,8192,1,0,0,0,1.0,0.0,0
synthetic-rare-0.0025,synthetic-rare,0,8192,2,1,1,0,0.00244140625,0.78125,0
synthetic-rare-0.005,synthetic-rare,0,8192,2,1,1,0,0.0050048828125,1.0,0
synthetic-rare-0.01,synthetic-rare,0,8192,2,1,1,0,0.010009765625,1.0,0
synthetic-rare-0.02,synthetic-rare,0,8192,2,1,1,0,0.02001953125,1.0,0
synthetic-rare-0.05,synthetic-rare,0,8192,2,1,1,0,0.050048828125,1.0,0
synthetic-student3p2,synthetic-control,0,8192,1,0,0,0,1.0,0.0,0
