arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.2941755000210833,400,51200,0,3072,54272,51200,51200,51200,0,4096,0,55296,3932160,501760.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.012114221602858244,0.14633148899801807,1.0,0.06996093750000001,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,1.1437279999954626,4600,588800,0,2048,590848,302080,302080,302080,0,4096,0,306176,3932160,5734400.0,280,286720,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,1,0.014493670815605375,0.1612340144274452,1.0,0.03062500000000004,nan,50,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.30054230001405813,400,51200,0,2048,53248,51200,51200,51200,0,4096,0,55296,3932160,501760.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.013608563601542611,0.14355616567690055,1.0,0.09871093750000001,nan,50,0,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.5625054000120144,775,99200,24576,2048,125824,73600,73600,73600,8192,0,0,81792,3932160,968960.0,25,25600,0,12,4,"{""armed"": 25, ""cooldown"": 26, ""global"": 24, ""local"": 325}",7,0,0.055419921875,0,0.012322185870452973,0.14167575549704062,1.0,0.059218750000000014,0.07470703125,50,0,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,0.5397127000032924,775,99200,24576,2048,125824,73600,73600,73600,8192,0,0,81792,3932160,968960.0,25,25600,0,12,8,"{""armed"": 200, ""cooldown"": 26, ""global"": 24, ""local"": 150}",7,0,0.0618896484375,0,0.019586897785999424,0.1706581087202581,1.0,0.08167968750000001,0.07763671875,50,0,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.4324221000133548,775,99200,24576,2048,125824,73600,73600,73600,8192,0,0,81792,3932160,968960.0,25,25600,0,12,8,"{""armed"": 200, ""cooldown"": 26, ""global"": 24, ""local"": 150}",7,0,0.060302734375,0,0.012089766563037951,0.14336545092150837,1.0,0.09289062499999998,0.09130859375,50,0,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.6396729999978561,1525,195200,10240,2048,207488,118400,118400,118400,8192,0,0,126592,3932160,1903360.0,75,76800,0,5,3,"{""armed"": 25, ""cooldown"": 300, ""global"": 75, ""local"": 0}",7,0,0.055419921875,0,0.013617296997540551,0.13952913043444212,1.0,0.08753906250000001,0.10400390625,50,0,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,0.6741659000108484,1900,243200,12288,2048,257536,140800,140800,140800,8192,0,0,148992,3932160,2370560.0,100,102400,0,6,3,"{""armed"": 25, ""cooldown"": 275, ""global"": 100, ""local"": 0}",7,0,0.0618896484375,0,0.016070471182512147,0.16960876591164917,1.0,0.040585937499999974,0.037841796875,50,0,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.7507304000027943,1525,195200,10240,2048,207488,118400,118400,118400,8192,0,0,126592,3932160,1903360.0,75,76800,0,5,3,"{""armed"": 25, ""cooldown"": 300, ""global"": 75, ""local"": 0}",7,0,0.060302734375,0,0.011249452688455452,0.14171776949869583,1.0,0.07726562499999998,0.076416015625,50,0,0
paper-0.5,paper,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.6588205000152811,400,51200,0,3072,54272,51200,51200,51200,0,0,0,51200,13107200,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.014516060429274003,0.15422610741577877,1.0,0.08460937500000001,nan,100,0,0
