arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,concentrated,OASQD-D05-tail-min0045-K19/concentrated,0,40,40,0.12212219997309148,1804,57728,0,256,57984,29056,29056,29056,0,4096,0,33152,24576,573440.0,28,28672,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,1,0.28344518029664734,0.8974901936264406,0.49775,1.1058645833333334,nan,40,1,0
oa-stop-strat-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,concentrated,OASQD-D05-tail-min0045-K19/concentrated,0,40,40,0.03904589999001473,145,4640,4096,256,8992,4256,1568,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",18,0,0.04052734375,0,0.2793080057292934,0.8962374800728794,0.49775,1.0707083333333334,1.11328125,40,1,0
oasqd-stop-adaptive-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,concentrated,OASQD-D05-tail-min0045-K19/concentrated,0,40,40,0.03030030001536943,73,2336,4096,256,6688,1952,1568,1184,2048,0,768,3232,24576,20288.0,3,768,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",18,0,0.04052734375,0,0.2775558295018512,0.893131093838518,0.49775,1.0719444444444444,1.12109375,40,1,0
paper-0.5,paper,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,concentrated,OASQD-D05-tail-min0045-K19/concentrated,0,40,40,0.014786899992031977,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.14586144920856237,0.7206521678820268,0.6083611111111112,1.0328819444444446,nan,40,1,0
qld-v1,qld,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,concentrated,OASQD-D05-tail-min0045-K19/concentrated,0,40,40,0.014295600005425513,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.2820511168673083,0.9106759606710204,0.49775,1.0680381944444444,nan,40,1,0
fixed-lbqcd,fixed,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,missing,OASQD-D05-tail-min0045-K19/missing,0,40,40,0.12923330001649447,1804,57728,0,256,57984,29056,29056,29056,0,4096,0,33152,24576,573440.0,28,28672,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,1,4.059965975956563,5.226242463090737,0.39163888888888887,1.2333854166666667,nan,40,1,0
oa-stop-strat-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,missing,OASQD-D05-tail-min0045-K19/missing,0,40,40,0.03173439999227412,145,4640,4096,256,8992,4256,1568,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",18,0,0.0458984375,0,4.388074147830917,5.282317938992883,0.39163888888888887,1.2270069444444442,1.2333984375,40,1,0
oasqd-stop-adaptive-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,missing,OASQD-D05-tail-min0045-K19/missing,0,40,40,0.027262400020845234,73,2336,4096,256,6688,1952,1568,1184,2048,0,768,3232,24576,20288.0,3,768,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",18,0,0.0458984375,0,4.3814893040718434,5.281280494708544,0.39163888888888887,1.2270069444444442,1.2412109375,40,1,0
paper-0.5,paper,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,missing,OASQD-D05-tail-min0045-K19/missing,0,40,40,0.01942239998606965,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,3.6804650107768904,5.103454696286834,0.4469444444444444,1.2321493055555555,nan,40,1,0
qld-v1,qld,0.5,OASQD-D05-tail-min0045-K19,unequal-tail,missing,OASQD-D05-tail-min0045-K19/missing,0,40,40,0.013713899999856949,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,4.365733678429734,5.282107990400834,0.39163888888888887,1.2504444444444442,nan,40,1,0
