arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,edge_quantile,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.3803079999925103,400,51200,0,3072,54272,51200,51200,51200,0,4096,0,55296,3932160,501760.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.012114221602858244,0.14633148899801807,1.0,0.06996093750000001,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,1.1448993000085466,4600,588800,0,2048,590848,302080,302080,302080,0,4096,0,306176,3932160,5734400.0,280,286720,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,1,0.014493670815605375,0.1612340144274452,1.0,0.03062500000000004,nan,50,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.4058730000106152,400,51200,0,2048,53248,51200,51200,51200,0,4096,0,55296,3932160,501760.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.013608563601542611,0.14355616567690055,1.0,0.09871093750000001,nan,50,0,0
oasqd-edge-stop-Q0.05-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.5078411999857053,400,51200,24576,3072,78848,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.055419921875,0.05,0,0.012114221602858244,0.14633148899801807,1.0,0.06996093750000001,0.08642578125,100,0,0
oasqd-edge-stop-Q0.05-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,0.5399400999885984,400,51200,24576,3072,78848,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.0618896484375,0.05,0,0.013909236924789514,0.15101550191471594,1.0,0.05910156250000001,0.041748046875,100,0,0
oasqd-edge-stop-Q0.05-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.500448700011475,400,51200,24576,2048,77824,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.060302734375,0.05,0,0.013608563601542611,0.14355616567690055,1.0,0.09871093750000001,0.093505859375,50,0,0
oasqd-edge-stop-Q0.08-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.4760896999796387,400,51200,24576,3072,78848,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.055419921875,0.08,0,0.012114221602858244,0.14633148899801807,1.0,0.06996093750000001,0.08642578125,100,0,0
oasqd-edge-stop-Q0.08-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,400,400,0.5316090999986045,400,51200,24576,3072,78848,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.0618896484375,0.08,0,0.013909236924789514,0.15101550191471594,1.0,0.05910156250000001,0.041748046875,100,0,0
oasqd-edge-stop-Q0.08-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,400,400,0.4797767999989446,400,51200,24576,2048,77824,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.060302734375,0.08,0,0.013608563601542611,0.14355616567690055,1.0,0.09871093750000001,0.093505859375,50,0,0
oasqd-edge-stop-Q0.10-H25-P50-N2048-K8,oa-stratified,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,400,400,0.47428860000218265,400,51200,24576,3072,78848,51200,51200,51200,8192,0,0,59392,3932160,501760.0,0,0,0,12,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 400}",7,0,0.055419921875,0.1,0,0.012114221602858244,0.14633148899801807,1.0,0.06996093750000001,0.08642578125,100,0,0
