arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,edge_quantile,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,1200,1200,1.0022046999947634,1200,153600,0,6144,159744,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.01153552734318719,0.14183480310317886,1.0,0.06738281250000003,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,1200,1200,3.5882410000194795,13800,1766400,0,4096,1770496,906240,906240,906240,0,4096,0,910336,11796480,17203200.0,840,860160,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,1,0.013663144707404706,0.14465638985187318,1.0,0.01955078125000001,nan,50,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,2,1200,1200,1.0524654999899212,1200,153600,0,4096,157696,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.011109338085715237,0.13981520724192073,1.0,0.06810546874999998,nan,50,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,3,1200,1200,3.584132199990563,13800,1766400,0,4096,1770496,906240,906240,906240,0,4096,0,910336,11796480,17203200.0,840,860160,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,1,0.016214015993015307,0.14162505435928704,1.0,0.05908203125000003,nan,50,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,4,1200,1200,1.1601475999923423,1200,153600,0,6144,159744,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.017609412894207255,0.15057322287422728,1.0,0.06496093750000001,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,5,1200,1200,1.068418600014411,1200,153600,0,6144,159744,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.012156124315261474,0.13754223378831262,1.0,0.058320312500000054,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,6,1200,1200,1.0601540000061505,1200,153600,0,6144,159744,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.013038482131177975,0.15402240131549322,1.0,0.06611328125000002,nan,100,0,0
fixed-lbqcd,fixed,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,7,1200,1200,1.1390086000028532,1200,153600,0,6144,159744,153600,153600,153600,0,4096,0,157696,11796480,1505280.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0.0,0,0.01419002380060208,0.1434626872709857,1.0,0.03199218750000002,nan,100,0,0
oa-stop-full-H25-P50-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,0,1200,1200,1.243575000000419,2325,297600,10240,4096,311936,220800,220800,220800,8192,0,0,228992,11796480,2906880.0,75,76800,0,5,3,"{""armed"": 25, ""cooldown"": 1100, ""global"": 75, ""local"": 0}",7,0,0.055419921875,0.0,0,0.011154032236200706,0.14116240477549744,1.0,0.0740625,0.087158203125,50,0,0
oa-stop-full-H25-P50-N2048-K8,oa-full,0.5,OASQD-D01-tail-min060-K7,unequal-tail,concentrated,OASQD-D01-tail-min060-K7/concentrated,1,1200,1200,1.4456150000041816,2700,345600,12288,4096,361984,243200,243200,243200,8192,0,0,251392,11796480,3374080.0,100,102400,0,6,3,"{""armed"": 25, ""cooldown"": 1075, ""global"": 100, ""local"": 0}",7,0,0.0618896484375,0.0,0,0.013525719544331016,0.14322509010943932,1.0,0.051484375000000054,0.0654296875,50,0,0
