arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,tail_mass,stored_scalars,w2_quantile_rmse
gated-M1024-f0.70-u,gated,0.5,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,0,update,1024,0.7,0,0.0,4096,1,1.484375,5,2154.7840679597884,30,30,0.0979007999994792,1353,43296,21792,21792,18432,430080.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.8507186170901733,3.4189054513037123,0.32999999999999996,1.0990625,30,1,0,,,,,,,,
gated-M1024-f0.70-u,gated,0.5,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,1,update,1024,0.7,0,0.0,4096,1,1.328125,5,2057.6176306752445,30,30,0.0859500999795273,1353,43296,21792,21792,18432,430080.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.5910477145563764,3.25670242278231,0.57,0.9650000000000001,30,1,0,,,,,,,,
gated-M1024-f0.70-u,gated,0.5,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,0,update,1024,0.7,0,0.0,4096,1,1.5,8,931.5131771817366,30,30,0.07624329999089241,1353,43296,21792,21792,18432,430080.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.7750380537017119,1.6377926252947979,0.77,0.7575000000000001,30,1,0,,,,,,,,
gated-M1024-f0.70-u,gated,0.5,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,1,update,1024,0.7,0,0.0,4096,1,1.359375,8,969.934983287552,30,30,0.07888189997174777,1353,43296,21792,21792,18432,430080.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.6567895267886601,1.4763551648090658,0.77,0.6903125,30,1,0,,,,,,,,
paper-0.2,paper,0.2,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,0,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.010597399988910183,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.697053315943659,3.4580282980182226,0.57,0.9985937500000001,30,1,0,,,,,,,,
paper-0.2,paper,0.2,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,1,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.011958299990510568,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.3916072436834988,3.291837413346721,0.57,0.8601562500000001,30,1,0,,,,,,,,
paper-0.2,paper,0.2,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,0,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.008458900003461167,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.8703937077033475,1.636108683808619,0.67,0.6600000000000001,30,1,0,,,,,,,,
paper-0.2,paper,0.2,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,1,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.015185399999609217,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.73106414542724,1.4969239780248638,0.77,0.6207812500000001,30,1,0,,,,,,,,
paper-0.5,paper,0.5,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,0,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.010300299996742979,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.6269899997034747,3.457244901633171,0.57,1.0025,30,1,0,,,,,,,,
paper-0.5,paper,0.5,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,1,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.01014599998597987,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.2577081615200427,3.2502754644597536,0.57,0.84578125,30,1,0,,,,,,,,
paper-0.5,paper,0.5,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,0,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.009931400010827929,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.7916920751131911,1.5916434585701813,0.67,0.6676562500000001,30,1,0,,,,,,,,
paper-0.5,paper,0.5,PQTC-F02-unequal-K9,unequal,missing,PQTC-F02-unequal-K9/missing,1,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.010159700002986938,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.6685890714468341,1.4534662651800916,0.77,0.5582812500000001,30,1,0,,,,,,,,
paper-1,paper,1.0,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,0,update,0,0.0,0,0.0,0,0,nan,0,nan,30,30,0.01080679998267442,30,960,960,960,61440,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",2.6689685448192364,3.453731919614963,0.57,0.9517187500000001,30,1,0,,,,,,,,
