arm,kind,target,family,init,seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,training_projection_rmse,event_time,censored,diverged,wall_seconds,target_samples,kernel_pairs,sort_work,projection_dot_products,stored_scalars
paper-tau0.2,paper,PS2-GMM4-equal,gauss,concentrated,0,0.008298466162314333,0.053897441614807404,0.07321660369161567,1.0,0.0625,nan,220,0,0,0.10285759999533184,19200,2457600,0.0,0,128
paper-tau0.5,paper,PS2-GMM4-equal,gauss,concentrated,0,0.008799830081995141,0.05624847262842329,0.071099267228966,1.0,0.03125,nan,140,0,0,0.08986070001265034,19200,2457600,0.0,0,128
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,0,0.013845474682650183,0.07336252512529161,0.09118908680597831,1.0,0.03125,nan,120,0,0,0.08705929998541251,19200,2457600,0.0,0,128
paper-tau2,paper,PS2-GMM4-equal,gauss,concentrated,0,0.019197620280822836,0.09034351897074246,0.11405655823539494,1.0,0.03125,nan,120,0,0,0.08822309999959543,19200,2457600,0.0,0,128
coordinate-pqt,coordinate-negative-control,PS2-GMM4-equal,gauss,concentrated,0,0.0271049419985967,0.0968293738313239,0.12505525293803313,1.0,0.0625,0.0,20,0,0,0.041199600003892556,19200,0,460800.0,115200,325
psqt-L8-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.0037355539161989526,0.038324866305007456,0.05378223850152977,1.0,0.0625,0.016480873331394676,20,0,0,0.14307829999597743,19200,0,3686400.0,1075200,721
psqt-L16-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.0034791914112657363,0.037434565846941985,0.053316101255506614,1.0,0.0,0.01652759543279938,20,0,0,0.2672145999968052,19200,0,7372800.0,2150400,1249
psqt-L32-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.0033745888745255748,0.03679165749628871,0.05363212070149895,1.0,0.0,0.015045882989525047,20,0,0,0.5425652999838348,19200,0,14745600.0,4300800,2305
psqt-L16-K64-R6-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.003451837436260874,0.037021454211865513,0.05266352549275685,1.0,0.0,0.016206875540648126,20,0,0,0.328384599997662,19200,0,12902400.0,3993600,1249
psqt-L16-K64-R3-e1,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.0035612683633557962,0.03736574458381756,0.05378197036467141,1.0,0.0,0.0153041297279602,20,0,0,0.26062509999610484,19200,0,7372800.0,2150400,1249
paper-tau0.2,paper,PS2-GMM4-equal,gauss,concentrated,1,0.013409765825521336,0.07019869784850298,0.0956869437317372,1.0,0.0,nan,240,0,0,0.09808259998681024,19200,2457600,0.0,0,128
paper-tau0.5,paper,PS2-GMM4-equal,gauss,concentrated,1,0.01288263164274972,0.06979427475698038,0.08592877624687499,1.0,0.09375,nan,140,0,0,0.10702349999337457,19200,2457600,0.0,0,128
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,1,0.020044415867624732,0.09120307555193216,0.11173624609974855,1.0,0.09375,nan,120,0,0,0.08835169998928905,19200,2457600,0.0,0,128
paper-tau2,paper,PS2-GMM4-equal,gauss,concentrated,1,0.027163006748678775,0.11137578289622554,0.13894294068728258,1.0,0.09375,nan,120,0,0,0.08799910001107492,19200,2457600,0.0,0,128
coordinate-pqt,coordinate-negative-control,PS2-GMM4-equal,gauss,concentrated,1,0.036561293431413455,0.11216080481231593,0.1461441833658522,1.0,0.15625,0.0,20,0,0,0.04357589999563061,19200,0,460800.0,115200,325
psqt-L8-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,1,0.002887337075456853,0.03285449607039095,0.04750799632482786,1.0,0.03125,0.016681483196421435,20,0,0,0.14713200001278892,19200,0,3686400.0,1075200,721
psqt-L16-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,1,0.0024194598082056817,0.030835498645176908,0.043843136537752195,1.0,0.0,0.01574398968910038,20,0,0,0.2714338000223506,19200,0,7372800.0,2150400,1249
psqt-L32-K64-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,1,0.0022666036521300503,0.03037969176505542,0.04396393073112647,1.0,0.0,0.01567816463066548,20,0,0,0.5197046000103,19200,0,14745600.0,4300800,2305
psqt-L16-K64-R6-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,1,0.0023416516467533732,0.03048788430301131,0.04351573903897259,1.0,0.03125,0.015581393994817425,20,0,0,0.34243099999730475,19200,0,12902400.0,3993600,1249
psqt-L16-K64-R3-e1,psqt,PS2-GMM4-equal,gauss,concentrated,1,0.0024105382010930487,0.03089614530437059,0.04403267541863841,1.0,0.0,0.01686575852315136,20,0,0,0.26529210002627224,19200,0,7372800.0,2150400,1249
paper-tau0.2,paper,PS2-GMM4-equal,gauss,concentrated,2,0.01262554388343684,0.06843812650592085,0.09203393164977318,1.0,0.03125,nan,240,0,0,0.11935409999568947,19200,2457600,0.0,0,128
paper-tau0.5,paper,PS2-GMM4-equal,gauss,concentrated,2,0.009786112069860686,0.06004640101942644,0.07686572123401489,1.0,0.0625,nan,140,0,0,0.08907650000764988,19200,2457600,0.0,0,128
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,2,0.017131005640637187,0.08366038266468699,0.10357163341416695,1.0,0.03125,nan,140,0,0,0.08895689999917522,19200,2457600,0.0,0,128
paper-tau2,paper,PS2-GMM4-equal,gauss,concentrated,2,0.024930675067906027,0.10504550724114536,0.13088317991650397,1.0,0.0625,nan,120,0,0,0.08559060000698082,19200,2457600,0.0,0,128
