arm,kind,target,family,init,seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,training_projection_rmse,event_time,censored,diverged,wall_seconds,target_samples,kernel_pairs,sort_work,projection_dot_products,stored_scalars
paper-tau0.2,paper,PS2-GMM4-equal,gauss,concentrated,0,0.350899850120888,0.3770972757270963,0.42006741044317736,1.0,0.125,nan,40,1,0,0.012728200003039092,1280,81920,0.0,0,64
paper-tau0.5,paper,PS2-GMM4-equal,gauss,concentrated,0,0.2840165859433057,0.34019443268902394,0.37786566147065725,1.0,0.125,nan,40,1,0,0.005250299989711493,1280,81920,0.0,0,64
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,0,0.2569593366851326,0.32433513693217136,0.35994395256381223,1.0,0.1875,nan,40,1,0,0.00517830002354458,1280,81920,0.0,0,64
paper-tau2,paper,PS2-GMM4-equal,gauss,concentrated,0,0.23185444973597868,0.3088495930413453,0.3428226835995811,1.0,0.1875,nan,40,1,0,0.01450040002237074,1280,81920,0.0,0,64
coordinate-pqt,coordinate-negative-control,PS2-GMM4-equal,gauss,concentrated,0,0.042139926052735865,0.12560689359735033,0.15318603884248325,1.0,0.125,0.0,40,1,0,0.00465519999852404,1280,0,25600.0,7680,165
psqt-L8-K32-R2-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.012783047258193347,0.0735492626397011,0.09394325132407319,1.0,0.125,0.025568408930584322,10,0,0,0.004567199997836724,1280,0,153600.0,51200,369
psqt-L16-K32-R3-e0.5,psqt,PS2-GMM4-equal,gauss,concentrated,0,0.011907610616367581,0.07204014023548726,0.08986716774568346,1.0,0.0625,0.026047932910230876,10,0,0,0.006082600011723116,1280,0,409600.0,143360,641
paper-tau0.2,paper,PS2-GMM4-equal,gauss,far,0,3.129076409004602,1.3174565760600452,1.4958381388288873,0.5,1.0,nan,40,1,0,0.005149900011019781,1280,81920,0.0,0,64
paper-tau0.5,paper,PS2-GMM4-equal,gauss,far,0,1.2645384301773168,0.7627197940763104,0.8637898994551191,0.5,1.0,nan,40,1,0,0.005353700020350516,1280,81920,0.0,0,64
paper-tau1,paper,PS2-GMM4-equal,gauss,far,0,0.26531386165684034,0.3263300560992888,0.3756252353453902,0.75,0.625,nan,40,1,0,0.005171599972527474,1280,81920,0.0,0,64
