output_index,arm,target,family,init,stream,target_seed,data_seed,q0_seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,reference_bridge_fraction,excess_bridge_fraction,target_samples,particle_bytes,diverged,wall_seconds,kernel_pairs,projection_dot_products,sort_work,sort_work_complete,reconstruction_sweeps,persistent_bytes,peak_working_bytes,retained_items,serialized_sketch_bytes,normalized_rank_error,training_projection_rmse,target_table_rmse
0,paper-tau1,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172503,2026272506,2026372506,0.16964074425762243,0.31865112603756807,0.4125322016411641,0.6666666666666666,0.5832387296830001,0.0625,1,nan,nan,nan,1280,512,0,0.0036503000010270625,81920,0,0.0,1,0,512,1024,0,0,nan,nan,nan
1,historical-online-psqt,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172503,2026272506,2026372506,0.015479583995911872,0.10258317637338861,0.14522767612047724,1.0,0.145738729683,0.0625,1,nan,nan,nan,1280,512,0,0.0058129999961238354,0,143360,409600.0,1,120,5128,9224,0,0,nan,0.035339110806310435,0.09001186765807315
2,pooled-rank-kll128,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172503,2026272506,2026372506,0.009202160660358505,0.07075994735725757,0.1095958413922245,1.0,0.21799345091100003,0.0625,1,nan,nan,nan,1280,512,0,0.002279200009070337,0,81920,153600.0,0,60,18944,25088,4304,17920,0.020517839594286266,0.06001064574080028,0.015738327298425815
3,pooled-rank-reservoir1024,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172503,2026272506,2026372506,0.011110573542524538,0.07761194490685122,0.1204106101491642,1.0,0.14795629526100001,0.0625,1,nan,nan,nan,1280,512,0,0.002125599974533543,0,77824,317440.0,1,60,17424,152592,1024,0,nan,0.05753838821300203,0.0256375855507084
4,exact-pooled-ceiling,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172503,2026272506,2026372506,0.00914758867246257,0.06996087751493327,0.10813689653584986,1.0,0.14795629526100001,0.0625,1,nan,nan,nan,1280,512,0,0.0016680000117048621,0,81920,364993.0873832932,1,60,21504,189440,1280,0,nan,0.06286329221608218,0.0
5,paper-tau1,CF-F1-GMM-00,gaussian-mixture,far,0,2026172503,2026272506,2026373515,0.5165439746631866,0.6327489803768775,0.7802370645308129,0.5,1.0246271332049999,0.5,1,nan,nan,nan,1280,512,0,0.003614100016420707,81920,0,0.0,1,0,512,1024,0,0,nan,nan,nan
6,historical-online-psqt,CF-F1-GMM-00,gaussian-mixture,far,0,2026172503,2026272506,2026373515,0.0233219075434421,0.1146615985821745,0.13942179121902487,1.0,0.27073872968300006,0.125,1,nan,nan,nan,1280,512,0,0.0057554999948479235,0,143360,409600.0,1,120,5128,9224,0,0,nan,0.03641218901043266,0.11533877284108626
7,pooled-rank-kll128,CF-F1-GMM-00,gaussian-mixture,far,0,2026172503,2026272506,2026373515,0.008980981469741911,0.06929993297977827,0.10858862190946678,1.0,0.10058738754099998,0.0625,1,nan,nan,nan,1280,512,0,0.0024182999914046377,0,81920,153600.0,0,60,18944,25088,4304,17920,0.020517839594286266,0.05909272392319691,0.01487794682121394
8,pooled-rank-reservoir1024,CF-F1-GMM-00,gaussian-mixture,far,0,2026172503,2026272506,2026373515,0.007446877235792959,0.06294509257581012,0.09887516504210468,1.0,0.086712996439,0.03125,1,nan,nan,nan,1280,512,0,0.002199200011091307,0,77824,317440.0,1,60,17424,152592,1024,0,nan,0.05441634412753715,0.027489691051754236
9,exact-pooled-ceiling,CF-F1-GMM-00,gaussian-mixture,far,0,2026172503,2026272506,2026373515,0.009105501790518167,0.0702827621497637,0.10844244651740176,1.0,0.09083266631300001,0.0625,1,nan,nan,nan,1280,512,0,0.001511799986474216,0,81920,364993.0873832932,1,60,21504,189440,1280,0,nan,0.060707589044534896,0.0
