target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F1-GMM-00,gaussian-mixture,paper-tau1,0.3430923594604045,0.4757000532072228,0.5963846330859885,0.5833333333333333,0.803932931444,0.28125,1.0,nan,nan,0.0,0.003632200008723885,512.0,1024.0,nan,nan
CF-F1-GMM-00,gaussian-mixture,historical-online-psqt,0.019400745769676986,0.10862238747778155,0.14232473366975107,1.0,0.20823872968300003,0.09375,1.0,nan,nan,0.0,0.0057842499954858795,5128.0,9224.0,0.1026753202495797,0.03587564990837155
CF-F1-GMM-00,gaussian-mixture,pooled-rank-kll128,0.009091571065050208,0.07002994016851792,0.10909223165084564,1.0,0.159290419226,0.0625,1.0,nan,nan,0.0,0.0023487500002374873,18944.0,25088.0,0.015308137059819878,0.05955168483199859
CF-F1-GMM-00,gaussian-mixture,pooled-rank-reservoir1024,0.009278725389158748,0.07027851874133068,0.10964288759563444,1.0,0.11733464585,0.046875,1.0,nan,nan,0.0,0.002162399992812425,17424.0,152592.0,0.026563638301231318,0.05597736617026959
CF-F1-GMM-00,gaussian-mixture,exact-pooled-ceiling,0.009126545231490368,0.07012181983234848,0.1082896715266258,1.0,0.11939448078700002,0.0625,1.0,nan,nan,0.0,0.001589899999089539,21504.0,189440.0,0.0,0.06178544063030854
CF-F2-ELLIPSES-00,disconnected-nongaussian,paper-tau1,0.5884054289603781,0.528644214055223,0.6878401384858226,0.25,0.782730396492,0.0,0.0,nan,nan,0.0,0.004060399980517104,512.0,1024.0,nan,nan
CF-F2-ELLIPSES-00,disconnected-nongaussian,historical-online-psqt,0.032158985861073575,0.11681058062992077,0.17699680896951442,1.0,0.12796079298400004,0.03125,1.0,nan,nan,0.0,0.005786149995401502,5128.0,9224.0,0.15296297804447073,0.0324190413669657
CF-F2-ELLIPSES-00,disconnected-nongaussian,pooled-rank-kll128,0.002914256383084235,0.04145373776479237,0.10428007522312807,1.0,0.04695639075300001,0.046875,1.0,nan,nan,0.0,0.0024327500141225755,18944.0,25088.0,0.04937358551463145,0.09314451867360349
CF-F2-ELLIPSES-00,disconnected-nongaussian,pooled-rank-reservoir1024,0.002506970288430832,0.036918720255768006,0.0950190308242359,1.0,0.028451988521999996,0.0625,1.0,nan,nan,0.0,0.002206400007707998,17424.0,152592.0,0.030189435451480125,0.08474714517827925
CF-F2-ELLIPSES-00,disconnected-nongaussian,exact-pooled-ceiling,0.002534705806586768,0.036947488347805,0.09492944179035201,1.0,0.028451988521999996,0.0625,1.0,nan,nan,0.0,0.001610649997019209,21504.0,189440.0,0.0,0.08482528033371328
CF-F3-RARE-02-00,rare-mode,paper-tau1,1.5328167631730525,0.8613462603514789,1.1533111222998629,0.5,0.6875,0.34375,0.5,0.125,0.125,0.0,0.003826400003163144,512.0,1024.0,nan,nan
CF-F3-RARE-02-00,rare-mode,historical-online-psqt,0.05297227428217649,0.09338996278674155,0.22007164520784137,0.5,0.04000000000000002,0.0,0.0,0.0625,0.0625,0.0,0.005590349988779053,5128.0,9224.0,0.21524809225302116,0.027540451461776125
CF-F3-RARE-02-00,rare-mode,pooled-rank-kll128,0.003055207265365817,0.029926440061570456,0.1363298213926198,1.0,0.022499999999999982,0.03125,1.0,0.03125,0.03125,0.0,0.0022272000060183927,18944.0,25088.0,0.004814160111861707,0.16669424874387573
CF-F3-RARE-02-00,rare-mode,pooled-rank-reservoir1024,0.001436445557128796,0.02265984486890085,0.1130194705416844,1.0,0.022499999999999982,0.03125,1.0,0.0,0.0,0.0,0.002143449994036928,17424.0,152592.0,0.00354132015363928,0.15907832371265834
CF-F3-RARE-02-00,rare-mode,exact-pooled-ceiling,0.001391797800332717,0.02247708473968621,0.11373581315779355,1.0,0.022499999999999982,0.03125,1.0,0.0,0.0,0.0,0.001607099999091588,21504.0,189440.0,0.0,0.158277689728493
CF-F4-CORRELATED-00,correlated-unimodal,paper-tau1,0.41283004509126336,0.4373184016929921,0.5893438589408241,nan,nan,nan,0.0,nan,nan,0.0,0.003718649997608736,512.0,1024.0,nan,nan
CF-F4-CORRELATED-00,correlated-unimodal,historical-online-psqt,0.012974180230486243,0.060799441731285306,0.08241791247823982,nan,nan,nan,0.0,nan,nan,0.0,0.005208249989664182,5128.0,9224.0,0.07127742454679742,0.018466083807218054
CF-F4-CORRELATED-00,correlated-unimodal,pooled-rank-kll128,0.0024899781561992795,0.024222885160216874,0.03964969258312295,nan,nan,nan,0.0,nan,nan,0.0,0.002184199998737313,18944.0,25088.0,0.012028528357076962,0.041653692326086365
CF-F4-CORRELATED-00,correlated-unimodal,pooled-rank-reservoir1024,0.0026128733292846706,0.024040788831892455,0.03880257695337453,nan,nan,nan,0.0,nan,nan,0.0,0.0025273499923059717,17424.0,152592.0,0.01017619998001236,0.04167146990045158
CF-F4-CORRELATED-00,correlated-unimodal,exact-pooled-ceiling,0.0024234894962020803,0.02378933765316018,0.03904162833767057,nan,nan,nan,0.0,nan,nan,0.0,0.001596249989233911,21504.0,189440.0,0.0,0.04088841300837724
CF-F5-PERTURBED-RING-00,curved-connected,paper-tau1,0.2167609125735983,0.32747003445855,0.3703147870264025,nan,nan,nan,0.0,nan,nan,0.0,0.003881899989210069,512.0,1024.0,nan,nan
CF-F5-PERTURBED-RING-00,curved-connected,historical-online-psqt,0.008395581334691427,0.06342617009152772,0.07575516863978066,nan,nan,nan,0.0,nan,nan,0.0,0.005734100006520748,5128.0,9224.0,0.0582537318543602,0.025850540478336084
CF-F5-PERTURBED-RING-00,curved-connected,pooled-rank-kll128,0.0034439391901659455,0.035365311406201354,0.04584497514271022,nan,nan,nan,0.0,nan,nan,0.0,0.0023068999871611595,18944.0,25088.0,0.007949419938280054,0.03174715256286732
CF-F5-PERTURBED-RING-00,curved-connected,pooled-rank-reservoir1024,0.0033433711538157773,0.034466608771643245,0.04438192633955128,nan,nan,nan,0.0,nan,nan,0.0,0.002205100012361072,17424.0,152592.0,0.014145184434171055,0.03004825496200648
CF-F5-PERTURBED-RING-00,curved-connected,exact-pooled-ceiling,0.003480966174152056,0.03544798244945258,0.045719555249250296,nan,nan,nan,0.0,nan,nan,0.0,0.0016278000111924484,21504.0,189440.0,0.0,0.03089602540761241
CF-F6-MULTICURVE-00,multiple-curves,paper-tau1,0.1986127026704635,0.3529301976988668,0.3979785354983437,nan,nan,nan,0.0,nan,nan,0.0,0.004099500001757406,512.0,1024.0,nan,nan
CF-F6-MULTICURVE-00,multiple-curves,historical-online-psqt,0.01025021790554792,0.07910052727225048,0.0950437030259266,nan,nan,nan,0.0,nan,nan,0.0,0.006024250003974885,5128.0,9224.0,0.06847352550032688,0.033739301121909156
CF-F6-MULTICURVE-00,multiple-curves,pooled-rank-kll128,0.003502193897326422,0.03886946226012668,0.05024004370691815,nan,nan,nan,0.0,nan,nan,0.0,0.00235794999753125,18944.0,25088.0,0.009595207580796426,0.04182612320798988
CF-F6-MULTICURVE-00,multiple-curves,pooled-rank-reservoir1024,0.0035025276014740703,0.03828354543694689,0.0489846964798485,nan,nan,nan,0.0,nan,nan,0.0,0.002152500004740432,17424.0,152592.0,0.017571741209658487,0.036906288824553116
CF-F6-MULTICURVE-00,multiple-curves,exact-pooled-ceiling,0.003178900236653015,0.03694781275990901,0.047168728461125416,nan,nan,nan,0.0,nan,nan,0.0,0.0016282500000670552,21504.0,189440.0,0.0,0.0372974808241146
CF-F7-SKEW-00,skew-heavy,paper-tau1,1.0442812878736403,0.777892555784789,1.0178929836890058,nan,nan,nan,0.0,nan,nan,0.0,0.004659800004446879,512.0,1024.0,nan,nan
