output_index,arm,target,family,init,stream,target_seed,data_seed,q0_seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,reference_bridge_fraction,excess_bridge_fraction,target_samples,particle_bytes,diverged,wall_seconds,kernel_pairs,projection_dot_products,sort_work,sort_work_complete,reconstruction_sweeps,persistent_bytes,peak_working_bytes,retained_items,serialized_sketch_bytes,normalized_rank_error,training_projection_rmse,target_table_rmse
0,paper-tau1,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172504,2026272507,2026372507,0.016497445862333482,0.0869691141011498,0.12555763895136185,1.0,0.07267788532600006,0.03125,1,nan,nan,nan,19200,1024,0,0.0761538999795448,2457600,0,0.0,1,0,1024,2048,0,0,nan,nan,nan
1,historical-online-psqt,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172504,2026272507,2026372507,0.003358244942233135,0.04763736559043728,0.08508791836978011,1.0,0.03500402039600004,0.046875,1,nan,nan,nan,19200,1024,0,0.1081177000014577,0,4300800,14745600.0,1,900,18440,34824,0,0,nan,0.024119947777787375,0.0689804914673362
2,pooled-rank-kll128,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172504,2026272507,2026372507,0.0013937844584481773,0.025241382267195432,0.05301944685722528,1.0,0.024892304848000042,0.046875,1,nan,nan,nan,19200,1024,0,0.029001599992625415,0,1024000,1228800.0,0,100,48000,72576,11008,45952,0.020517839594286266,0.051633496210799545,0.031395142586719334
3,pooled-rank-reservoir1024,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172504,2026272507,2026372507,0.0016082512754795886,0.024017561820776988,0.04414201166643245,1.0,0.09396745870799994,0.046875,1,nan,nan,nan,19200,1024,0,0.031179399986285716,0,442368,1556480.0,1,100,18448,296976,1024,0,nan,0.043151735281887385,0.03765406742675965
4,exact-pooled-ceiling,CF-F1-GMM-00,gaussian-mixture,concentrated,0,2026172504,2026272507,2026372507,0.0012559552719257905,0.024125984396203146,0.04757512827972116,1.0,0.04935929266800005,0.046875,1,nan,nan,nan,19200,1024,0,0.027531500003533438,0,1024000,9970986.20344067,1,100,309248,5240832,19200,0,nan,0.04336978217179455,0.0
5,paper-tau1,CF-F1-GMM-00,gaussian-mixture,far,0,2026172504,2026272507,2026373516,0.01816864344246505,0.08841810358661464,0.12632633904761398,1.0,0.18771745870799994,0.0625,1,nan,nan,nan,19200,1024,0,0.07804220000980422,2457600,0,0.0,1,0,1024,2048,0,0,nan,nan,nan
6,historical-online-psqt,CF-F1-GMM-00,gaussian-mixture,far,0,2026172504,2026272507,2026373516,0.004733076714345308,0.05370435367275439,0.08753742296751685,1.0,0.03500402039600004,0.046875,1,nan,nan,nan,19200,1024,0,0.12456289998954162,0,4300800,14745600.0,1,900,18440,34824,0,0,nan,0.02301048099024072,0.06926663083805196
7,pooled-rank-kll128,CF-F1-GMM-00,gaussian-mixture,far,0,2026172504,2026272507,2026373516,0.0013726423872062465,0.024818449302752524,0.048582112944701966,1.0,0.04935929266800005,0.046875,1,nan,nan,nan,19200,1024,0,0.026938199996948242,0,1024000,1228800.0,0,100,48000,72576,11008,45952,0.020517839594286266,0.05061322469018476,0.024961797990637326
8,pooled-rank-reservoir1024,CF-F1-GMM-00,gaussian-mixture,far,0,2026172504,2026272507,2026373516,0.001100608189812946,0.02197843845569398,0.04348947224820933,1.0,0.04085609612200004,0.046875,1,nan,nan,nan,19200,1024,0,0.030311600014101714,0,442368,1556480.0,1,100,18448,296976,1024,0,nan,0.04209603333597201,0.03590406786580561
9,exact-pooled-ceiling,CF-F1-GMM-00,gaussian-mixture,far,0,2026172504,2026272507,2026373516,0.0012715447688531611,0.02418110311364519,0.04818440883796637,1.0,0.04935929266800005,0.046875,1,nan,nan,nan,19200,1024,0,0.02757710000150837,0,1024000,9970986.20344067,1,100,309248,5240832,19200,0,nan,0.04272273732302348,0.0
