target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F1-GMM-00,gaussian-mixture,paper-tau1,0.014396210357828343,0.08125320936050609,0.11974232442702468,1.0,0.08650151959299995,0.03125,1.0,nan,nan,0.0,0.0773685000021942,1024.0,2048.0,nan,nan
CF-F1-GMM-00,gaussian-mixture,historical-online-psqt,0.0038586943997310774,0.050171624697290175,0.08547125710740802,1.0,0.046197848498000044,0.046875,1.0,nan,nan,0.0,0.10539885000616778,18440.0,34824.0,0.07104424497883426,0.02304196985043346
CF-F1-GMM-00,gaussian-mixture,pooled-rank-kll128,0.0013106736533195495,0.024965046671671553,0.0504080523412741,1.0,0.052072672017,0.046875,1.0,nan,nan,0.0,0.02776399999856949,48000.0,72576.0,0.027816319646561588,0.05112336045049215
CF-F1-GMM-00,gaussian-mixture,pooled-rank-reservoir1024,0.0016338895185395996,0.027164594064364098,0.06823395300561594,1.0,0.06578855216900004,0.046875,1.0,nan,nan,0.0,0.030410400009714067,18448.0,296976.0,0.059339266513437586,0.0420713522973277
CF-F1-GMM-00,gaussian-mixture,exact-pooled-ceiling,0.0012557631182057438,0.022982887826343907,0.04653284914653864,1.0,0.04935929266800005,0.046875,1.0,nan,nan,0.0,0.027643399997032247,309248.0,5240832.0,0.0,0.04417149501375406
CF-F1-GMM-01,gaussian-mixture,paper-tau1,0.009769310603277348,0.07254396458699698,0.10837712130452884,1.0,0.116934444566,0.0625,1.0,nan,nan,0.0,0.07980954999220558,1024.0,2048.0,nan,nan
CF-F1-GMM-01,gaussian-mixture,historical-online-psqt,0.003930545839518462,0.05358131680601745,0.07550510764580981,1.0,0.08640317943300002,0.046875,1.0,nan,nan,0.0,0.10694015001354273,18440.0,34824.0,0.05707261585254812,0.025065209405907028
CF-F1-GMM-01,gaussian-mixture,pooled-rank-kll128,0.0013423442552887854,0.026929394876424685,0.04202048585094612,1.0,0.07077817943300002,0.046875,1.0,nan,nan,0.0,0.02797399999690242,48000.0,72576.0,0.022514625299160474,0.038416693507546895
CF-F1-GMM-01,gaussian-mixture,pooled-rank-reservoir1024,0.002633424266263784,0.03888355930492421,0.06162496824039374,1.0,0.085684444566,0.046875,1.0,nan,nan,0.0,0.031201749996398576,18448.0,296976.0,0.04266146573817846,0.03597989097865974
CF-F1-GMM-01,gaussian-mixture,exact-pooled-ceiling,0.0012026031197504006,0.026169106457253496,0.0398351873208372,1.0,0.08811576456100001,0.046875,1.0,nan,nan,0.0,0.02758015001018066,309248.0,5240832.0,0.0,0.0338120956090666
CF-F1-GMM-02,gaussian-mixture,paper-tau1,0.007194515762191878,0.05596564458852009,0.08374098069854198,1.0,0.06304618255899996,0.046875,1.0,nan,nan,0.0,0.07866250001825392,1024.0,2048.0,nan,nan
CF-F1-GMM-02,gaussian-mixture,historical-online-psqt,0.002827742799452748,0.03884789279249129,0.05859860722397178,1.0,0.05371345447499998,0.0390625,1.0,nan,nan,0.0,0.10519060000660829,18440.0,34824.0,0.048488785852042346,0.017950892887502342
