arm,kind,target,family,init,seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,diverged,wall_seconds,target_samples,kernel_pairs,sort_work,projection_dot_products,persistent_scalars,peak_working_scalars,retained_items,retained_weight,reconstruction_sweeps,training_projection_rmse,target_table_rmse,bridge_fraction,reference_bridge_fraction,excess_bridge_fraction,minority_particle_mass,minority_recovered,split_target_table_rmse
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,0,0.25585235959136665,0.32476356165782366,0.3598033314228861,1.0,0.1875,0,0.0036533999955281615,1280,81920,0.0,0,64,128,0,0,0,nan,nan,nan,nan,nan,nan,0,0.07352485512885869
historical-online-psqt,historical,PS2-GMM4-equal,gauss,concentrated,0,0.013499812323971794,0.07486231676495533,0.09509140866279996,1.0,0.0625,0,0.005500700004631653,1280,0,409600.0,143360,641,1153,0,1280,120,0.023636325210004076,0.0732887388075146,nan,nan,nan,nan,0,0.07352485512885869
batch-mean-table,batch-mean,PS2-GMM4-equal,gauss,concentrated,0,0.013916574598949238,0.07574826163177291,0.09769552012077816,1.0,0.0625,0,0.003940300026442856,1280,0,256000.0,81920,641,1665,0,1280,60,0.028010181434991982,0.0732887388075146,nan,nan,nan,nan,0,0.07352485512885869
batch-median-table,batch-median,PS2-GMM4-equal,gauss,concentrated,0,0.007240785984013787,0.05427541927124831,0.08590592433341478,1.0,0.0625,0,0.003600900003220886,1280,0,364993.0873832932,81920,20608,21632,0,1280,60,0.02670429879527809,0.03812659442272198,nan,nan,nan,nan,0,0.07352485512885869
reservoir-R512,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.007533442046067318,0.05109897577681313,0.08452952063029631,1.0,0.0625,0,0.002327900001546368,1280,0,227328.0,69632,1154,9858,512,1280,60,0.0350238522955614,0.035693737960263254,nan,nan,nan,nan,0,0.07352485512885869
reservoir-R1024,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.0077929178880639105,0.05100776848400764,0.08102770652901345,1.0,0.0625,0,0.00206679999246262,1280,0,317440.0,77824,2178,19074,1024,1280,60,0.04057474796934607,0.027252347686609352,nan,nan,nan,nan,0,0.07352485512885869
reservoir-R2048,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.006266073606969735,0.04566860740041711,0.07102393882183286,1.0,0.125,0,0.0025366999907419086,1280,0,364993.0873832932,81920,2690,23682,1280,1280,60,0.03469240020410196,0.0,nan,nan,nan,nan,0,0.07352485512885869
kll-style-k64,kll-style,PS2-GMM4-equal,gauss,concentrated,0,0.006816921058377279,0.04695972392989006,0.07563469518876875,1.0,0.125,0,0.008329900010721758,1280,0,407239.3146635599,81920,2976,4000,2816,1280,60,0.04302780103544597,0.024800918057326017,nan,nan,nan,nan,0,0.07352485512885869
kll-style-k128,kll-style,PS2-GMM4-equal,gauss,concentrated,0,0.006601580153821507,0.04552149380331614,0.0712615504343795,1.0,0.125,0,0.009284500003559515,1280,0,442854.1068051304,81920,1440,2464,1280,1280,60,0.05012122034609489,0.013635323707034994,nan,nan,nan,nan,0,0.07352485512885869
exact-pooled-ceiling,exact-pooled,PS2-GMM4-equal,gauss,concentrated,0,0.006266073606969735,0.04566860740041711,0.07102393882183286,1.0,0.125,0,0.0015869000053498894,1280,0,364993.0873832932,81920,2688,23680,1280,1280,60,0.03469240020410196,0.0,nan,nan,nan,nan,0,0.07352485512885869
paper-tau1,paper,PS2-GMM4-equal,gauss,far,0,0.22986686492115083,0.30063844324455213,0.34727400498183525,1.0,0.4375,0,0.0036911999923177063,1280,81920,0.0,0,64,128,0,0,0,nan,nan,nan,nan,nan,nan,0,0.10517572531871763
historical-online-psqt,historical,PS2-GMM4-equal,gauss,far,0,0.012622331989895819,0.07147773700725486,0.09022294081613283,1.0,0.0625,0,0.005506699992110953,1280,0,409600.0,143360,641,1153,0,1280,120,0.02611423873887901,0.07139897958703935,nan,nan,nan,nan,0,0.10517572531871763
batch-mean-table,batch-mean,PS2-GMM4-equal,gauss,far,0,0.012716653320822058,0.07166225470006571,0.0903431550617444,1.0,0.0625,0,0.003854799986584112,1280,0,256000.0,81920,641,1665,0,1280,60,0.028915503449039807,0.07139897958703935,nan,nan,nan,nan,0,0.10517572531871763
batch-median-table,batch-median,PS2-GMM4-equal,gauss,far,0,0.004795235623335503,0.04615513283801383,0.06724578627932873,1.0,0.0625,0,0.004461000004084781,1280,0,364993.0873832932,81920,20608,21632,0,1280,60,0.02428765454699747,0.04364555047379558,nan,nan,nan,nan,0,0.10517572531871763
reservoir-R512,reservoir,PS2-GMM4-equal,gauss,far,0,0.006564891074704815,0.049312506524911065,0.07781773935255311,1.0,0.0625,0,0.002337100013392046,1280,0,227328.0,69632,1154,9858,512,1280,60,0.028335296593762722,0.06313262962797196,nan,nan,nan,nan,0,0.10517572531871763
reservoir-R1024,reservoir,PS2-GMM4-equal,gauss,far,0,0.002865420160550025,0.031089145286437955,0.04589039804045295,1.0,0.0,0,0.002058100013528019,1280,0,317440.0,77824,2178,19074,1024,1280,60,0.026660451439795046,0.01198227668912781,nan,nan,nan,nan,0,0.10517572531871763
reservoir-R2048,reservoir,PS2-GMM4-equal,gauss,far,0,0.0032844609724382856,0.03357119830771849,0.04819252138963379,1.0,0.0625,0,0.0020342000061646104,1280,0,364993.0873832932,81920,2690,23682,1280,1280,60,0.030448155017470536,0.0,nan,nan,nan,nan,0,0.10517572531871763
kll-style-k64,kll-style,PS2-GMM4-equal,gauss,far,0,0.003010154830934253,0.03237470253679981,0.04756283736258227,1.0,0.0,0,0.008557299996027723,1280,0,407239.3146635599,81920,2976,4000,2816,1280,60,0.03201164197697186,0.01879559073201187,nan,nan,nan,nan,0,0.10517572531871763
kll-style-k128,kll-style,PS2-GMM4-equal,gauss,far,0,0.0028390554159692938,0.032184885617254036,0.04743254506550823,1.0,0.0,0,0.008305499999551103,1280,0,442854.1068051304,81920,1440,2464,1280,1280,60,0.026015283505396843,0.017448212285982975,nan,nan,nan,nan,0,0.10517572531871763
exact-pooled-ceiling,exact-pooled,PS2-GMM4-equal,gauss,far,0,0.0032844609724382856,0.03357119830771849,0.04819252138963379,1.0,0.0625,0,0.0015591999981552362,1280,0,364993.0873832932,81920,2688,23680,1280,1280,60,0.030448155017470536,0.0,nan,nan,nan,nan,0,0.10517572531871763
paper-tau1,paper,PS2-diagonal-dependence,dependence,concentrated,0,0.22461070873744804,0.3491026674305387,0.49764259027671265,1.0,0.1875,0,0.004051399999298155,1280,81920,0.0,0,64,128,0,0,0,nan,nan,0.40625,0.0,0.40625,nan,0,0.05263604336265938
historical-online-psqt,historical,PS2-diagonal-dependence,dependence,concentrated,0,0.0705801571460336,0.18536626343429993,0.3844578250130832,1.0,0.0625,0,0.005394100007833913,1280,0,409600.0,143360,641,1153,0,1280,120,0.017503068410983223,0.2520588651686655,0.125,0.0,0.125,nan,0,0.05263604336265938
batch-mean-table,batch-mean,PS2-diagonal-dependence,dependence,concentrated,0,0.07072546135488489,0.1852428653247879,0.38394700119846686,1.0,0.0625,0,0.0034047999943140894,1280,0,256000.0,81920,641,1665,0,1280,60,0.03429558150513627,0.2520588651686655,0.15625,0.0,0.15625,nan,0,0.05263604336265938
batch-median-table,batch-median,PS2-diagonal-dependence,dependence,concentrated,0,0.030922822015845064,0.14240690007915466,0.44633891526618924,1.0,0.0625,0,0.00359729997580871,1280,0,364993.0873832932,81920,20608,21632,0,1280,60,0.017527895683676718,0.020349375969779336,0.0,0.0,0.0,nan,0,0.05263604336265938
