arm,kind,target,family,init,seed,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,diverged,wall_seconds,target_samples,kernel_pairs,sort_work,projection_dot_products,persistent_scalars,peak_working_scalars,retained_items,retained_weight,reconstruction_sweeps,training_projection_rmse,target_table_rmse,bridge_fraction,reference_bridge_fraction,excess_bridge_fraction,minority_particle_mass,minority_recovered,split_target_table_rmse
paper-tau1,paper,PS2-GMM4-equal,gauss,concentrated,0,0.014763031732342835,0.07652935226730788,0.09732739016074225,1.0,0.0,0,0.07633899999200366,19200,2457600,0.0,0,128,256,0,0,0,nan,nan,nan,nan,nan,nan,0,0.00889936303682938
historical-online-psqt,historical,PS2-GMM4-equal,gauss,concentrated,0,0.0035667797450694705,0.03809084892894483,0.05524758750758746,1.0,0.0625,0,0.10868619999382645,19200,0,14745600.0,4300800,2305,4353,0,19200,900,0.01552892912903482,0.041187736968904765,nan,nan,nan,nan,0,0.00889936303682938
batch-mean-table,batch-mean,PS2-GMM4-equal,gauss,concentrated,0,0.0035492961808065715,0.03759616349862483,0.054744593993370165,1.0,0.0,0,0.05504869998549111,19200,0,4915200.0,1024000,2305,6401,0,19200,100,0.015781018829696205,0.041187736968904765,nan,nan,nan,nan,0,0.00889936303682938
batch-median-table,batch-median,PS2-GMM4-equal,gauss,concentrated,0,0.0016574504778341659,0.025937485799376006,0.044273672869871106,1.0,0.0,0,0.0667198000010103,19200,0,9970986.20344067,1024000,614656,618752,0,19200,100,0.013697364217949176,0.013224415590980901,nan,nan,nan,nan,0,0.00889936303682938
reservoir-R512,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.0034793460877249327,0.034071128823373605,0.06189331998704128,1.0,0.03125,0,0.028509299998404458,19200,0,1376256.0,425984,1282,19714,512,19200,100,0.020402727347053694,0.03178905306992352,nan,nan,nan,nan,0,0.00889936303682938
reservoir-R1024,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.0019871466210765742,0.025251814056454925,0.04220797383692488,1.0,0.03125,0,0.027552900020964444,19200,0,1556480.0,442368,2306,37122,1024,19200,100,0.017230378476711352,0.03112008875446906,nan,nan,nan,nan,0,0.00889936303682938
reservoir-R2048,reservoir,PS2-GMM4-equal,gauss,concentrated,0,0.003500229949128353,0.03539145541077939,0.06043197030258792,1.0,0.03125,0,0.028053000016370788,19200,0,1949696.0,475136,4354,71938,2048,19200,100,0.020442496097954708,0.03161767189523612,nan,nan,nan,nan,0,0.00889936303682938
kll-style-k64,kll-style,PS2-GMM4-equal,gauss,concentrated,0,0.001750477472760359,0.023514685914106496,0.03789969683769485,1.0,0.0625,0,0.19423039999674074,19200,0,9781248.0,1024000,8512,12608,8192,19200,100,0.027300178846666443,0.022535861761446067,nan,nan,nan,nan,0,0.00889936303682938
kll-style-k128,kll-style,PS2-GMM4-equal,gauss,concentrated,0,0.0015602081108923027,0.022401163955352587,0.04114246599226085,1.0,0.0,0,0.18003280000993982,19200,0,10484689.920886002,1024000,9536,13632,9216,19200,100,0.019281234973838816,0.010574737016657522,nan,nan,nan,nan,0,0.00889936303682938
exact-pooled-ceiling,exact-pooled,PS2-GMM4-equal,gauss,concentrated,0,0.0017463718722390276,0.02365471397022304,0.042077013042876366,1.0,0.0,0,0.027217900002142414,19200,0,9970986.20344067,1024000,38656,655104,19200,19200,100,0.018313770746848906,0.0,nan,nan,nan,nan,0,0.00889936303682938
