arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_coverage,endpoint_mass_l1,selected_ed2,selected_sw1,selected_coverage,selected_mass_l1,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.17617473698956476,0.613806164753445,0.9930000000000002,0.2901250000000001,0.25351744697812184,0.7246793526423962,0.9930000000000002,0.3291875000000001,52,0,0.0,0.0,0.0,0.0,0,0.0037078305276211556,0.00407048655330418,0.8019547496773989,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.4267905000015162
lbqcd,paper,0.0,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.9930000000000002,0.2862187500000001,0.25021515542649886,0.7248476463740244,0.9930000000000002,0.3291875000000001,52,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.24365799999213777
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.1456916321723496,0.5403334098732774,0.9930000000000002,0.25887500000000013,0.17413727626414732,0.5958774967685809,0.9930000000000002,0.2823125000000001,57,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.33144839998567477
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.9930000000000002,0.2862187500000001,0.25021515542649886,0.7248476463740244,0.9930000000000002,0.3291875000000001,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8023774931392115,-0.016433090885259186,-0.0019781291416759664,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.5292658999969717
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.9930000000000002,0.2862187500000001,0.25021515542649886,0.7248476463740244,0.9930000000000002,0.3291875000000001,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8023774931392115,-0.016433090885259186,-0.0019781291416759664,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.6373534000013024
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.1706558821076134,0.6135465520647926,0.9930000000000002,0.2862187500000001,0.25021515542649886,0.7248476463740244,0.9930000000000002,0.3291875000000001,52,0,0.05555555555555558,0.0,0.0,0.0,0,0.0,0.0,0.8023837223528447,-0.016433157408113765,-0.0019781291416759664,"{""none"": 17, ""quantile"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.743976500001736
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.11383580862984544,0.4735273819451657,0.9930000000000002,0.22762500000000013,0.14121985306656737,0.5504787645301076,0.9930000000000002,0.2666875000000001,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8602312478715004,-0.02480007131765586,-0.012069192120171345,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36288.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.8597678999940399
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.20532703328578172,0.6613473284932397,0.8980000000000002,0.2895625,0.21219743460580465,0.6748134090722637,0.8980000000000002,0.2629374999999999,57,0,0.0,0.0,0.0,0.0,0,0.00447920725142858,0.0055211763147933034,0.8805193235008629,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.4119440999929793
lbqcd,paper,0.0,paper,adam,0.0,0.2125907754289451,0.668180964830022,0.8980000000000002,0.33253125,0.3355776250561444,0.8615249804829198,0.8980000000000002,0.3059062499999999,42,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,12.0,3584.0,3584.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.2141323999967426
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.16549994371113508,0.614951484364371,0.8980000000000002,0.22671874999999997,0.16549994371113508,0.614951484364371,0.8980000000000002,0.22671874999999997,60,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.3029245999932755
