arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_proposal_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.17617473698956476,0.613806164753445,0.7666321447604855,0.9930000000000002,0.2901250000000001,0.13546874999999997,0.25351744697812184,0.7246793526423962,0.8691009776075477,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.18986282815428934,-0.24382988671051564,-0.2672055381428464,-0.3547030745994669,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0037078305276211556,0.00407048655330418,0.8019547496773989,0.8565992130010487,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.448008800012758
lbqcd,paper,0.0,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.7714385292366799,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.26771720001124777
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.1456916321723496,0.5403334098732774,0.6823771697533665,0.9930000000000002,0.25887500000000013,0.11789062499999999,0.17413727626414732,0.5958774967685809,0.7420644475161259,0.9930000000000002,0.2823125000000001,0.12960937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.26924299886826386,-0.37263174258433096,-0.2976886429600616,-0.4281758294796345,47,0,57,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.355707100010477
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.77143852923668,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8023774931392115,0.8538917595502253,-0.016433090885259186,-0.0019781291416759664,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.5461679000000004
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.17064871249877167,0.6135676866421507,0.77143852923668,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727315626336395,-0.3549415527107612,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8023774931392115,0.8538917595502253,-0.016433090885259186,-0.0019781291416759664,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.6489181999932043
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.1706558821076134,0.6135465520647926,0.7713928679952271,0.9930000000000002,0.2862187500000001,0.13937499999999997,0.25021515542649886,0.7248476463740244,0.8716466895517462,0.9930000000000002,0.3291875000000001,0.16085937499999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.19316511970591232,-0.24366159297888745,-0.2727243930247978,-0.3549626872881193,47,0,52,0,0.05555555555555558,0.0,0.0,0.0,0,0.0,0.0,0.8023837223528447,0.8538917595502253,-0.016433157408113765,-0.0019781291416759664,"{""none"": 17, ""quantile"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.7513914000010118
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.11383580862984544,0.4735273819451657,0.6261838282376273,0.9930000000000002,0.22762500000000013,0.11007812499999999,0.14121985306656737,0.5504787645301076,0.7071944427320654,0.9930000000000002,0.2666875000000001,0.12765624999999997,0.4433802751324112,0.9685092393529119,1.0853983012423847,0.55,0.3995000000000001,0.19796874999999997,-0.3021604220658438,-0.4180304748228043,-0.32954446650256575,-0.4949818574077462,47,0,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8602312478715004,0.8795961128566878,-0.02480007131765586,-0.012069192120171345,"{""none"": 18}",60.0,2706.0,86592.0,43584.0,36288.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,3.5625,3,1021.5147463415369,0.8596446999872569
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.20532703328578172,0.6613473284932397,0.9114697077990294,0.8980000000000002,0.2895625,0.14478124999999992,0.21219743460580465,0.6748134090722637,0.9230954184884259,0.8980000000000002,0.2629374999999999,0.12915624999999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,-0.12338019045033977,-0.18671157141065609,-0.1302505917703627,-0.20017765198968007,60,1,57,0,0.0,0.0,0.0,0.0,0,0.00447920725142858,0.0055211763147933034,0.8805193235008629,0.5707978476018359,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.4081843000021763
lbqcd,paper,0.0,paper,adam,0.0,0.2125907754289451,0.668180964830022,0.9235569320830443,0.8980000000000002,0.33253125,0.16626562499999992,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,0.0,0.0,-0.1229868496271993,-0.19334401565289783,60,1,42,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,12.0,3584.0,3584.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.22854750000988133
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.16549994371113508,0.614951484364371,0.8476006210093009,0.8980000000000002,0.22671874999999997,0.09500000000000001,0.16549994371113508,0.614951484364371,0.8476006210093009,0.8980000000000002,0.22671874999999997,0.09500000000000001,0.3355776250561444,0.8615249804829198,1.0867085792173006,0.8980000000000002,0.3059062499999999,0.09500000000000001,-0.17007768134500933,-0.24657349611854884,-0.17007768134500933,-0.24657349611854884,60,1,60,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.31764860000112094
