arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_proposal_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.0454294488334388,0.28743014101613595,0.39729119742515995,0.9930000000000002,0.0769765625,0.03148828125000008,0.044031471599323524,0.28574805212369436,0.39439561357438674,0.9930000000000002,0.04767968749999999,0.016839843750000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015418554375512539,-0.005935702522294639,-0.00014387820343597646,-0.004253613629853048,280,0,290,0,0.0,0.0,0.0,0.0,0,0.000644612327547471,0.0013881321941042967,0.7738607652104601,0.6048062878041485,nan,nan,"{""fixed-mix"": 120}",400.0,9080.0,581120.0,294400.0,983040.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,15.962418900016928
lbqcd,paper,0.0,paper,adam,0.0,0.04542047993098164,0.28705526576508306,0.39722037999616355,0.9930000000000002,0.077953125,0.03197656250000008,0.043995483606230845,0.28603874896583936,0.39456298379675364,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015778434306439326,-0.0056450056801496395,-0.0001528471058931391,-0.0046284888809059455,280,0,290,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,6.0843942000065
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.04643558713107776,0.2976391555798465,0.4133264013267685,0.9930000000000002,0.08016406250000012,0.026093749999999985,0.04303183160104185,0.2827972184318116,0.3938849609875601,0.9930000000000002,0.05939843749999999,0.022699218750000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.00254149543583293,-0.008886536214177398,0.0008622600942029823,0.005955400933857491,280,0,310,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,786432.0,5752832.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,11.066524599998957
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.045568858249252164,0.28678609005425865,0.3972112445277666,0.9930000000000002,0.07990625,0.03295312500000008,0.04405113135372929,0.2867032543724661,0.39485962934377555,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015221956831454886,-0.004980500273522925,-4.46878762261349e-06,-0.004897664591730355,280,0,290,0,0.5,0.0,0.21666666666666667,0.0,0,3.458521618304747e-05,0.008913035582894841,0.777281931112952,0.5355029526806295,-0.0006700913104211961,-8.548987843082711e-05,"{""local"": 2, ""none"": 60, ""quantile"": 54, ""quantile+local"": 4}",400.0,9080.0,581120.0,294400.0,983040.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,20.95414780001738
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.044911326991038614,0.28635639135250746,0.3976743643194329,0.9930000000000002,0.081859375,0.03392968750000008,0.04297702659201619,0.28512841951044915,0.3952225494053978,0.9930000000000002,0.06428125,0.025140625000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0025963004448585902,-0.006555335135539853,-0.0006620000458361641,-0.005327363293481546,280,0,370,0,0.7416666666666667,0.0,0.25,0.0,0,0.002111678111043774,0.01714115044093361,0.7778668569484184,0.559744524626019,-0.001007732116916253,-0.00012735413999817325,"{""local"": 4, ""none"": 31, ""quantile"": 83, ""quantile+local"": 2}",400.0,9080.0,581120.0,294400.0,983040.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,25.981350100017153
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.0446943026404556,0.28960714253570763,0.4048157733289129,0.9930000000000002,0.0867421875,0.03637109375000008,0.044197479852515986,0.28790927539865036,0.39637498121090037,0.9930000000000002,0.05060937499999999,0.018304687500000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0013758471843587916,-0.003774479247338647,-0.0008790243964191813,-0.002076612110281373,280,0,290,0,0.875,0.0,0.3,0.0,0,0.007570440509541669,0.03860548887242066,0.7963344778913439,0.5367594517915534,-0.002053299868273737,-0.0002312282310556073,"{""local"": 1, ""none"": 15, ""quantile"": 101, ""quantile+local"": 3}",400.0,9080.0,581120.0,294400.0,983040.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,30.97235450000153
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.038426162422477095,0.26914842342224954,0.3989235477861134,0.9930000000000002,0.08826562500000003,0.03588281250000008,0.038426162422477095,0.26914842342224954,0.3989235477861134,0.9930000000000002,0.08826562500000003,0.03588281250000008,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.007147164614397683,-0.022535331223739463,-0.007147164614397683,-0.022535331223739463,280,0,400,0,0.4666666666666667,0.0,0.25833333333333336,0.0,0,0.0,0.01841852659837828,0.7771528661284782,0.45244369020538533,-0.0018381612628784573,-0.0009492423516167791,"{""local"": 4, ""none"": 64, ""quantile"": 47, ""quantile+local"": 5}",400.0,9080.0,581120.0,294400.0,975360.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,36.25907610001741
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.06287619438149061,0.3131249843150076,0.4348532124909754,0.9930000000000002,0.0715312499999999,0.024664062499999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009578330283466219,0.012207445570877995,280,0,280,0,0.0,0.0,0.0,0.0,0,0.0007389229971587689,0.001201414486722356,0.8723569261416533,0.5981365467516755,nan,nan,"{""fixed-mix"": 120}",400.0,9080.0,581120.0,294400.0,983040.0,5826560.0,302080.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,16.12515930001973
lbqcd,paper,0.0,paper,adam,0.0,0.0628238548254787,0.3136057461919543,0.4348109875135387,0.9930000000000002,0.0705546874999999,0.024175781249999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009054934723347063,0.012688207447824673,280,0,280,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,6.118216800008668
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.07549758079605828,0.33913399077613354,0.4799223293863712,0.9930000000000002,0.1115703124999999,0.03746874999999994,0.061501125466470796,0.29908585906954727,0.40397664269641936,0.9930000000000002,0.04559374999999986,0.015796875000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,-0.0004172358866731951,-0.001831679674582365,0.013579219442914292,0.03821645203200391,280,0,360,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,786432.0,5752832.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,11.123544100002619
