arm,kind,rho,local_kind,metric,quantile_weight,minimum_gradient_agreement,minimum_ascent_cosine,minimum_signal_to_null,maximum_correction_ratio,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,safety_robust_ascent_fraction,safety_intervention_fraction,safety_cap_rejected_fraction,safety_local_rejected_fraction,median_correction_metric_norm,p90_correction_metric_norm,median_correction_ratio,p90_correction_ratio,median_gradient_cosine,median_proposal_cosine,median_safety_ascent_cosine,median_safety_signal_to_null,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04542047993098164,0.28705526576508306,0.39722037999616355,0.9930000000000002,0.077953125,0.03197656250000008,0.043995483606230845,0.28603874896583936,0.39456298379675364,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015778434306439326,-0.0056450056801496395,-0.0001528471058931391,-0.0046284888809059455,280,0,290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,7.588709100004053
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04542047993098164,0.28705526576508306,0.39722037999616355,0.9930000000000002,0.077953125,0.03197656250000008,0.043995483606230845,0.28603874896583936,0.39456298379675364,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015778434306439326,-0.0056450056801496395,-0.0001528471058931391,-0.0046284888809059455,280,0,290,0,0.0,0.0,0.0,0.0,0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.003388528601701041,0.004565804073051268,0.4867277992691679,0.6693406745139118,0.2896004077391973,nan,-0.402535624810836,0.8390583968582166,-0.00035916679617569765,-6.074088016079966e-05,"{""cap-rejected"": 2, ""inactive"": 118}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,14.221442400012165
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.04542047993098164,0.28705526576508306,0.39722037999616355,0.9930000000000002,0.077953125,0.03197656250000008,0.043995483606230845,0.28603874896583936,0.39456298379675364,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015778434306439326,-0.0056450056801496395,-0.0001528471058931391,-0.0046284888809059455,280,0,290,0,0.0,0.0,0.0,0.0,0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.003388528601701041,0.004565804073051268,0.4867277992691679,0.6693406745139118,0.2896004077391973,nan,-0.402535624810836,0.8390583968582166,-0.00035916679617569765,-6.074088016079966e-05,"{""cap-rejected"": 2, ""inactive"": 118}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,20.55593790000421
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.04542047993098164,0.28705526576508306,0.39722037999616355,0.9930000000000002,0.077953125,0.03197656250000008,0.043995483606230845,0.28603874896583936,0.39456298379675364,0.9930000000000002,0.04865624999999999,0.017328125000000083,0.04557332703687478,0.291683754645989,0.39745048548381406,0.9930000000000002,0.05744531249999999,0.021722656250000083,-0.0015778434306439326,-0.0056450056801496395,-0.0001528471058931391,-0.0046284888809059455,280,0,290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.2896004077391973,nan,-0.402535624810836,0.8390583968582166,-0.00035916679617569765,-6.074088016079966e-05,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,0,1,6.875,3,4015.324172895193,26.728743799991207
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.0628238548254787,0.3136057461919543,0.4348109875135387,0.9930000000000002,0.0705546874999999,0.024175781249999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009054934723347063,0.012688207447824673,280,0,280,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,7.521697499993024
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.0628238548254787,0.3136057461919543,0.4348109875135387,0.9930000000000002,0.0705546874999999,0.024175781249999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009054934723347063,0.012688207447824673,280,0,280,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,-0.1077048017070659,nan,-0.5297199009567561,0.8336698362893071,-0.0003153468887703015,-6.216029081061146e-05,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,14.160859800002072
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.0628238548254787,0.3136057461919543,0.4348109875135387,0.9930000000000002,0.0705546874999999,0.024175781249999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009054934723347063,0.012688207447824673,280,0,280,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,-0.1077048017070659,nan,-0.5297199009567561,0.8336698362893071,-0.0003153468887703015,-6.216029081061146e-05,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,20.416966099990532
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.0628238548254787,0.3136057461919543,0.4348109875135387,0.9930000000000002,0.0705546874999999,0.024175781249999917,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.06191836135314399,0.30091753874412963,0.40981146756317377,0.9930000000000002,0.05340624999999986,0.019703125000000016,0.0,0.0,0.0009054934723347063,0.012688207447824673,280,0,280,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,-0.1077048017070659,nan,-0.5297199009567561,0.8336698362893071,-0.0003153468887703015,-6.216029081061146e-05,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,1,1,6.8125,3,3544.689030489384,26.687659299990628
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.06664298509405642,0.2813429588907855,0.40604463012597625,0.9930000000000002,0.04292187499999998,0.019257812499999985,0.06610466419891559,0.2797788890900116,0.4081605098669072,0.9930000000000002,0.04682812499999998,0.014410156249999917,0.06696787852127861,0.278423617715802,0.4037864144386017,0.9930000000000002,0.05757031249999998,0.020722656249999985,-0.0008632143223630262,0.001355271374209599,-0.00032489342722219483,0.002919341174983492,280,0,330,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,2,1,6.59375,3,3824.923256631003,7.556432999990648
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.06664298509405642,0.2813429588907855,0.40604463012597625,0.9930000000000002,0.04292187499999998,0.019257812499999985,0.06610466419891559,0.2797788890900116,0.4081605098669072,0.9930000000000002,0.04682812499999998,0.014410156249999917,0.06696787852127861,0.278423617715802,0.4037864144386017,0.9930000000000002,0.05757031249999998,0.020722656249999985,-0.0008632143223630262,0.001355271374209599,-0.00032489342722219483,0.002919341174983492,280,0,330,0,0.0,0.0,0.0,0.0,0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.003446946533222607,0.003446946533222607,0.6365166693578158,0.6365166693578158,-0.05884319341909118,nan,-0.47412258949381003,0.8374094237425849,-0.00035483386373375426,-7.514700496562144e-05,"{""cap-rejected"": 1, ""inactive"": 119}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,2,1,6.59375,3,3824.923256631003,14.193364199978532
