arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,training_batch,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,400,400,1024,1024,1.0,4096,1,7.375,0.0009765625,0.30224449999514036,6144,6144,409600,0,4096000.0,2048,0.0026304720740615295,0.06397437714664038,0.11131505568201025,1.0,0.04429687500000001,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,400,400,1024,1024,1.0,4096,1,7.0625,0.0009765625,0.3231818999920506,6144,6144,409600,0,4096000.0,2048,0.006098095093554967,0.062095320820719065,0.11628580092620538,1.0,0.030859374999999967,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,400,400,1024,1024,1.0,4096,1,7.1875,0.0009765625,0.3132497000042349,6144,6144,409600,0,4096000.0,2048,0.011802384891403062,0.06780204859195707,0.12902001166208493,1.0,0.05699218750000001,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,400,400,1024,1024,1.0,4096,1,6.75,0.0009765625,0.28985060000559315,6144,6144,409600,0,4096000.0,2048,0.013626936750662288,0.05943238733256613,0.12235315974803333,1.0,0.043789062499999976,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,400,400,1024,1024,1.0,4096,1,6.4375,0.0009765625,0.306224400002975,6144,6144,409600,0,4096000.0,2048,0.01367768143037873,0.06938662808520187,0.14806148581065526,1.0,0.0555078125,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,400,400,1024,1024,1.0,4096,1,7.25,0.0009765625,0.29442230000859126,6144,6144,409600,0,4096000.0,2048,0.012742795040343369,0.07321088439701962,0.13867521111423942,1.0,0.09046875000000001,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,400,400,1024,1024,1.0,4096,1,4.1875,0.0009765625,0.29512210001121275,6144,6144,409600,0,4096000.0,2048,0.001982923208433185,0.03704994322755691,0.0774357896522572,1.0,0.04628906249999999,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,1,400,400,1024,1024,1.0,4096,1,4.6875,0.0009765625,0.3199995000031777,6144,6144,409600,0,4096000.0,2048,0.0053611323730278215,0.059091495512543335,0.09532910505180127,1.0,0.043515625000000016,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,2,400,400,1024,1024,1.0,4096,1,3.375,0.0009765625,0.31551660000695847,6144,6144,409600,0,4096000.0,2048,0.002519226822846665,0.050307249576610084,0.08995444931871002,1.0,0.049023437499999975,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,0,400,400,1024,1024,1.0,4096,1,4.4375,0.0009765625,0.30095239999354817,6144,6144,409600,0,4096000.0,2048,0.0046827179228796645,0.06525141411299026,0.10220613820417797,1.0,0.03601562500000001,50,0,0
