arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,1200,1200,1024,840,360,1024,1.0,4096,1,7.375,0.0009765625,0.6748810000135563,8192,8192,906240,0,8924160.0,2048,0.004642655453980904,0.06658335761385455,0.10427673712620344,1.0,0.03306640625000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,1200,1200,1024,840,360,1024,1.0,4096,1,7.0625,0.0009765625,0.7101967000053264,8192,8192,906240,0,8924160.0,2048,0.005971893699749264,0.07563290913024362,0.12240702107524465,1.0,0.02783203125,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,1200,1200,1024,840,360,1024,1.0,4096,1,7.1875,0.0009765625,0.6831190999946557,8192,8192,906240,0,8924160.0,2048,0.0032403322264029644,0.059645115708699584,0.09495552805343793,1.0,0.03177734374999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,3,1200,1200,1024,840,360,1024,1.0,4096,1,7.0625,0.0009765625,0.6126046999997925,8192,8192,906240,0,8924160.0,2048,0.0028733985635021053,0.060675570134020564,0.09456118358435191,1.0,0.02953125000000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,4,1200,1200,1024,840,360,1024,1.0,4096,1,6.5,0.0009765625,0.6931297999981325,8192,8192,906240,0,8924160.0,2048,0.00642081192906474,0.08299908408113067,0.12625773934037463,1.0,0.045097656250000034,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,5,1200,1200,1024,840,360,1024,1.0,4096,1,6.75,0.0009765625,0.732489500020165,8192,8192,906240,0,8924160.0,2048,0.004672736758124518,0.06630014088607936,0.10811816526630191,1.0,0.029179687499999996,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,6,1200,1200,1024,840,360,1024,1.0,4096,1,7.4375,0.0009765625,0.686468399973819,8192,8192,906240,0,8924160.0,2048,0.003917150962727378,0.07098023206928905,0.1193355635720697,1.0,0.047968750000000004,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,7,1200,1200,1024,840,360,1024,1.0,4096,1,6.75,0.0009765625,0.6150476000038907,8192,8192,906240,0,8924160.0,2048,0.004981656799437184,0.05794927807498086,0.09923824191293562,1.0,0.025449218750000002,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,1200,1200,1024,840,360,1024,1.0,4096,1,6.75,0.0009765625,0.7177541999844834,8192,8192,906240,0,8924160.0,2048,0.004261348124966702,0.07786148626503271,0.14189232099952823,1.0,0.03736328124999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,1200,1200,1024,840,360,1024,1.0,4096,1,6.4375,0.0009765625,0.6056727000104729,8192,8192,906240,0,8924160.0,2048,0.0026484942927944566,0.08115898965920985,0.13643638726626092,1.0,0.04125000000000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,1200,1200,1024,840,360,1024,1.0,4096,1,7.25,0.0009765625,0.6738439000037033,8192,8192,906240,0,8924160.0,2048,0.012456012003198236,0.0675363126724481,0.10666956143189466,1.0,0.0496484375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,3,1200,1200,1024,840,360,1024,1.0,4096,1,6.75,0.0009765625,0.7507476999890059,8192,8192,906240,0,8924160.0,2048,0.002581271596883594,0.06623335024553066,0.11927927310628005,1.0,0.04738281249999998,50,0,0
