arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,0,400,400,1024,280,120,128,1.0,4096,1,2.0625,0.0078125,0.07249530000262894,6144,6144,302080,0,2974720.0,256,0.006853104058940573,0.1460762137143047,0.22682964563348043,0.9999999999999998,0.05429687500000002,100,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,1,400,400,1024,280,120,128,1.0,4096,1,2.375,0.0078125,0.08146300000953488,6144,6144,302080,0,2974720.0,256,0.011554301517751053,0.12465182475468027,0.17370156244476292,0.9999999999999998,0.04957031249999995,100,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,2,400,400,1024,280,120,128,1.0,4096,1,2.75,0.0078125,0.08213769999565557,6144,6144,302080,0,2974720.0,256,0.02072081387758251,0.11166055825411644,0.15161768006270013,0.9999999999999998,0.0400390625,100,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,0,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.06406249999417923,6144,6144,51200,0,358400.0,256,0.002584313233626956,0.022893451161355428,0.031385630981380044,1.0,0.0380859375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,1,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.05624199999147095,6144,6144,51200,0,358400.0,256,0.0006065163951334274,0.01605649318887561,0.021268029986457264,1.0,0.0439453125,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D09-overlap-K8,control-overlap,far,LBQCD-D09-overlap-K8/far,2,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.05734410000150092,6144,6144,51200,0,358400.0,256,0.0026400870630549633,0.03605955034967376,0.04177570368416769,1.0,0.048828125,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D11-heavy-t5,control-heavy-tail,far,LBQCD-D11-heavy-t5/far,0,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.04840590001549572,6144,6144,51200,0,358400.0,256,0.0038193935456569683,0.03568628951329039,0.22466351205642035,1.0,0.0,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D11-heavy-t5,control-heavy-tail,far,LBQCD-D11-heavy-t5/far,1,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.041982100025052205,6144,6144,51200,0,358400.0,256,0.004765015087530466,0.04757226610426949,0.16827595599047313,1.0,0.0,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D11-heavy-t5,control-heavy-tail,far,LBQCD-D11-heavy-t5/far,2,400,400,128,0,400,128,1.0,4096,0,128.0,0.0078125,0.051212499995017424,6144,6144,51200,0,358400.0,256,0.0056314093814007204,0.04890695574787447,0.15173340304330818,1.0,0.0,50,0,0
pqt-B128,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,far,LBQCD-D03-unequal-min020-K12/far,0,400,400,128,0,400,128,1.0,0,0,nan,0.0078125,0.05300300000817515,6144,6144,51200,0,358400.0,256,0.01197954018438363,0.19825213820438625,0.2588766875162922,0.9799999999999998,0.08425781249999997,100,0,0
