arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,0,1200,1200,1024,840,360,128,1.0,4096,1,6.875,0.0078125,0.266020999988541,8192,8192,906240,0,8924160.0,256,0.00729175942561322,0.0843109398359744,0.14947343041399508,1.0,0.04876953125000004,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,1,1200,1200,1024,840,360,128,1.0,4096,1,6.0625,0.0078125,0.2694146000139881,8192,8192,906240,0,8924160.0,256,0.007432767060188805,0.06368883135510518,0.10439532156263995,1.0,0.04091796874999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,2,1200,1200,1024,840,360,128,1.0,4096,1,5.5,0.0078125,0.24721500001032837,8192,8192,906240,0,8924160.0,256,0.007190717824536064,0.07139162140994244,0.12234757260042302,1.0,0.028554687500000023,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,3,1200,1200,1024,840,360,128,1.0,4096,1,6.25,0.0078125,0.23601210000924766,8192,8192,906240,0,8924160.0,256,0.003670481630634992,0.06216845906086827,0.10075738719299675,1.0,0.017734374999999983,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,4,1200,1200,1024,840,360,128,1.0,4096,1,6.5,0.0078125,0.21651770002790727,8192,8192,906240,0,8924160.0,256,0.0026414190785810643,0.06425952578177724,0.10968963383070236,1.0,0.04058593749999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,5,1200,1200,1024,840,360,128,1.0,4096,1,6.9375,0.0078125,0.27521329998853616,8192,8192,906240,0,8924160.0,256,0.0026452069286961866,0.0684188827914115,0.11901886386854404,1.0,0.04410156249999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,6,1200,1200,1024,840,360,128,1.0,4096,1,6.3125,0.0078125,0.2909644999890588,8192,8192,906240,0,8924160.0,256,0.006709800108954944,0.05970809084465286,0.09824258339727314,1.0,0.019316406250000015,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,7,1200,1200,1024,840,360,128,1.0,4096,1,5.875,0.0078125,0.251711199991405,8192,8192,906240,0,8924160.0,256,0.002623310998845829,0.0676222445196016,0.11545877837837477,1.0,0.020273437500000005,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,8,1200,1200,1024,840,360,128,1.0,4096,1,6.375,0.0078125,0.281767900014529,8192,8192,906240,0,8924160.0,256,0.005650222663000637,0.07595823380850619,0.14698345683227998,1.0,0.036894531250000015,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-C01-unequal-min045-K7,unequal,concentrated,LBQCD-C01-unequal-min045-K7/concentrated,9,1200,1200,1024,840,360,128,1.0,4096,1,5.1875,0.0078125,0.2151884000049904,8192,8192,906240,0,8924160.0,256,0.005765904264846133,0.061888682759104474,0.10332872323125121,1.0,0.02425781249999999,50,0,0
